plotId	timePoint	projected_shoot_area	yPred	sd_yPred	lwr	upr	outlier
c10r14	2020-09-10T00:00:00Z	32.15705947406711	29.7720828069923	35.077863305332485	-145.6172337196701	205.1613993336547	0
c10r14	2020-09-14T00:00:00Z	85.83280299957593	106.38175816100896	28.17782668869377	-34.507375282459876	247.2708916044778	0
c10r14	2020-09-16T00:00:00Z	196.38353917089842	165.50266807590043	24.315915204931283	43.92309205124401	287.08224410055686	0
c10r14	2020-09-18T00:00:00Z	211.51073508808759	232.53351648539376	29.508078920691112	84.99312188193821	380.0739110888493	0
c10r14	2020-09-21T00:00:00Z	396.1788397688481	381.2380231704158	29.719798608773583	232.63903012654785	529.8370162142837	0
c10r14	2020-09-23T00:00:00Z	495.1632461131185	502.14040715391985	25.64849832342123	373.8979155368137	630.382898771026	0
c10r14	2020-09-25T00:00:00Z	619.1199744889096	619.2631196417782	34.970310151193146	444.41156888581247	794.1146703977439	0
c10r14	2020-09-28T00:00:00Z	805.3474104083356	812.6141865830324	29.671168560898902	664.2583437785379	960.9700293875269	0
c10r14	2020-09-30T00:00:00Z	966.7413978085601	953.2930058958483	27.14578853467086	817.564063222494	1089.0219485692026	0
c10r14	2020-10-02T00:00:00Z	1110.6472781165808	1131.549540422133	27.91536315540934	991.9727246450864	1271.1263561991798	0
c10r14	2020-10-05T00:00:00Z	1562.0801115279562	1558.5170405905546	34.89979319835794	1384.018074598765	1733.0160065823443	0
c10r16	2020-09-10T00:00:00Z	11.009126457444554	10.35208134675959	12.174952982442079	-50.522683565450805	71.22684625896999	0
c10r16	2020-09-14T00:00:00Z	29.117194105224776	35.271687095442324	9.780063058461606	-13.628628196865705	84.17200238775035	0
c10r16	2020-09-16T00:00:00Z	67.62106940017446	61.17732511828372	8.439656707941001	18.979041578578716	103.37560865798872	0
c10r16	2020-09-18T00:00:00Z	84.09473681633565	87.37223732818431	10.24177186433674	36.16337800650061	138.58109664986802	0
c10r16	2020-09-21T00:00:00Z	138.62940283322453	136.3855172986646	10.31525630737206	84.8092357618043	187.96179883552492	0
c10r16	2020-09-23T00:00:00Z	177.7813912633311	179.17404698762667	8.90217452641784	134.66317435553748	223.68491961971586	0
c10r16	2020-09-25T00:00:00Z	229.78186190322018	230.8199893369968	12.137623040667638	170.1318741336586	291.508104540335	0
c10r16	2020-09-28T00:00:00Z	366.26465216217474	354.7951922518692	10.298377612645004	303.3033041886442	406.2870803150942	0
c10r16	2020-09-30T00:00:00Z	443.28391015866265	453.32250239451	9.421859484545372	406.21320497178317	500.4317998172369	0
c10r16	2020-10-02T00:00:00Z	585.826448015692	583.9053725549701	9.688966256198347	535.4605412739784	632.3502038359618	0
c10r16	2020-10-05T00:00:00Z	897.8317101842753	898.1591834654632	12.113147758984697	837.5934446705397	958.7249222603867	0
c10r17	2020-09-10T00:00:00Z	42.19546782534547	40.98342809032111	70.65173683633077	-312.2752560913327	394.242112271975	0
c10r17	2020-09-14T00:00:00Z	128.90295473334967	140.6688904632185	56.754095268017345	-143.1015858768682	424.43936680330523	0
c10r17	2020-09-16T00:00:00Z	291.4707629811345	281.3109402750541	48.97566385499247	36.432621000091785	526.1892595500165	0
c10r17	2020-09-18T00:00:00Z	456.658805129668	465.1653349047584	59.433409848923716	167.99828566013986	762.332384149377	0
c10r17	2020-09-21T00:00:00Z	821.5029799963834	823.9379755187501	59.85984299723919	524.6387605325542	1123.237190504946	0
c10r17	2020-09-23T00:00:00Z	1084.2842033913648	1061.6098230536031	51.65967316823294	803.3114572124384	1319.9081888947678	0
c10r17	2020-09-25T00:00:00Z	1240.3536570563738	1249.3203435235716	70.43510969812607	897.1447950329413	1601.4958920142021	0
c10r17	2020-09-28T00:00:00Z	1925.479523387041	1849.0906594071007	59.76189525980509	1550.2811831080753	2147.900135706126	0
c10r17	2020-09-30T00:00:00Z	2144.2660287122967	2206.84683162256	54.67542566866365	1933.4697032792417	2480.2239599658783	0
c10r17	2020-10-02T00:00:00Z	2613.6820771835673	2589.4336535760494	56.225456897962296	2308.306369086238	2870.5609380658607	0
c10r17	2020-10-05T00:00:00Z	3476.4109526327265	3480.5444224469716	70.29307866417037	3129.0790291261196	3832.0098157678235	0
c10r18	2020-09-10T00:00:00Z	33.75849744619821	32.059929485124485	62.00008858224405	-277.9405134260958	342.06037239634475	0
c10r18	2020-09-14T00:00:00Z	99.48526860148893	114.41428800166341	49.80428070966778	-134.6071155466755	363.4356915500023	0
c10r18	2020-09-16T00:00:00Z	212.17315302772545	191.41035374715605	42.978355994530965	-23.48142622549878	406.30213371981085	0
c10r18	2020-09-18T00:00:00Z	270.37064899430175	277.06244720139176	52.1555002096316	16.28494615323376	537.8399482495497	0
c10r18	2020-09-21T00:00:00Z	484.69832506098317	482.74119677482406	52.52971454821484	220.09262403374987	745.3897695158983	0
c10r18	2020-09-23T00:00:00Z	693.7692658704425	695.229992379268	45.33369533405738	468.56151570898106	921.8984690495549	0
c10r18	2020-09-25T00:00:00Z	959.8674389960204	958.4876335261254	61.809988489034396	649.4376910809534	1267.5375759712974	0
c10r18	2020-09-28T00:00:00Z	1344.8830394680301	1356.0488679610125	52.44376098685494	1093.830063026738	1618.2676728952872	0
c10r18	2020-09-30T00:00:00Z	1604.3754550416056	1564.7414339896925	47.980154296587514	1324.840662506755	1804.64220547263	0
c10r18	2020-10-02T00:00:00Z	1776.6859751866227	1854.7797976433003	49.340376675046336	1608.0779142680685	2101.481681018532	0
