plotId	timePoint	height_above_reference	yPred	sd_yPred	lwr	upr	outlier
c10r14	2020-09-10T00:00:00Z	8.398622591793549	8.247056120398987	1.5680384100946507	0.4068640699257333	16.087248170872243	0
c10r14	2020-09-14T00:00:00Z	9.896903872489943	11.525749723637238	1.259595380034029	5.2277728234670935	17.82372662380738	0
c10r14	2020-09-16T00:00:00Z	18.123088130354866	17.51140123245184	1.0869615599460012	12.076593432721832	22.946209032181844	0
c10r14	2020-09-18T00:00:00Z	21.723090356588347	21.395751076355243	1.319059851308392	14.800451819813283	27.991050332897203	0
c10r14	2020-09-21T00:00:00Z	25.20001558363436	25.893558271026716	1.3285240709558899	19.250937916247267	32.536178625806166	0
c10r14	2020-09-23T00:00:00Z	30.646172797679878	29.94138850361249	1.1465302256953287	24.208737375135847	35.67403963208913	0
c10r14	2020-09-25T00:00:00Z	34.061559525132154	33.97223191578055	1.5632306065135335	26.156078883212878	41.78838494834822	0
c10r14	2020-09-28T00:00:00Z	38.147355204820634	38.67388276446618	1.326350227518264	32.04213162687486	45.305633902057494	0
c10r14	2020-09-30T00:00:00Z	42.98945879042148	42.28799231212846	1.2134615704543248	36.220684459856834	48.355300164400084	0
c10r14	2020-10-02T00:00:00Z	46.147352433204645	46.936067263889825	1.2478628267180871	40.69675313029939	53.17538139748026	0
c10r14	2020-10-05T00:00:00Z	57.85261153578758	57.71816451209645	1.560078382284653	49.91777260067319	65.51855642351971	0
c10r16	2020-09-10T00:00:00Z	3.917524449527269	3.832166968473416	1.4805994220137664	-3.5708301415954153	11.235164078542248	0
c10r16	2020-09-14T00:00:00Z	6.597935914993295	7.394980098901659	1.1893561915597592	1.4481991411028625	13.341761056700456	0
c10r16	2020-09-16T00:00:00Z	11.969238170981399	11.121696364040698	1.0263490020694623	5.989951353693386	16.25344137438801	0
c10r16	2020-09-18T00:00:00Z	14.61539365351199	14.652304483468178	1.2455047279938007	8.424780843499175	20.879828123437182	0
c10r16	2020-09-21T00:00:00Z	22.83078334927557	23.58218570602696	1.2544411915712783	17.30997974817057	29.854391663883348	0
c10r16	2020-09-23T00:00:00Z	32.615404784679384	31.110961911589985	1.082595922751247	25.69798229783375	36.52394152534622	0
c10r16	2020-09-25T00:00:00Z	36.184637761116	35.99795214961921	1.476059717400964	28.61765356261439	43.378250736624025	0
c10r16	2020-09-28T00:00:00Z	36.126303273439405	36.06679038259043	1.2523885688060596	29.804847538560136	42.328733226620734	0
c10r16	2020-09-30T00:00:00Z	38.484197193384176	39.049701177664026	1.1457949552027493	33.320726401650276	44.77867595367778	0
c10r16	2020-10-02T00:00:00Z	45.51577370464801	44.89062291753313	1.1782778840728394	38.99923349716893	50.78201233789733	0
c10r16	2020-10-05T00:00:00Z	56.799980321526526	56.906545671712955	1.4730832715809556	49.54112931380818	64.27196202961774	0
c10r17	2020-09-10T00:00:00Z	10.350511966645733	9.955801016792057	3.797514438113596	-9.031771173775924	28.94337320736004	0
c10r17	2020-09-14T00:00:00Z	13.759445522725603	17.578839096008057	3.050519433112403	2.3262419304460433	32.83143626157007	0
c10r17	2020-09-16T00:00:00Z	30.584634298086144	27.22462491382275	2.632430552080835	14.062472153418575	40.38677767422693	0
c10r17	2020-09-18T00:00:00Z	32.461558535695055	34.22296639147364	3.1945319692629384	18.25030654515895	50.19562623778833	0
c10r17	2020-09-21T00:00:00Z	44.33848895728585	43.13355742013521	3.217452651897672	27.046294160646852	59.22082067962357	0
c10r17	2020-09-23T00:00:00Z	48.892337927222215	49.75696714363456	2.7766954290034476	35.87348999861732	63.6404442886518	0
c10r17	2020-09-25T00:00:00Z	56.12311162948603	56.091007198609375	3.7858707797711935	37.16165329975341	75.02036109746534	0
c10r17	2020-09-28T00:00:00Z	63.494714844226834	64.2650691518436	3.2121879837700047	48.20412923299358	80.32600907069363	0
c10r17	2020-09-30T00:00:00Z	72.75786952972412	72.10590341246726	2.9387914251527416	57.41194628670355	86.79986053823096	0
c10r17	2020-10-02T00:00:00Z	81.5157612323761	81.96996915024631	3.022105243557864	66.859442932457	97.08049536803563	0
c10r17	2020-10-05T00:00:00Z	99.53680762052537	99.45938179442116	3.778236644698811	80.56819857092711	118.35056501791522	0
c10r18	2020-09-10T00:00:00Z	8.371131192147743	8.00263494531194	3.8991720434851906	-11.493225272114014	27.498495162737893	0
c10r18	2020-09-14T00:00:00Z	11.835047547519224	15.256551393980619	3.1321803473138945	-0.40435034258885416	30.917453130550093	0
c10r18	2020-09-16T00:00:00Z	25.56924658119677	21.82913884538341	2.70289943128923	8.314641688937261	35.343636001829566	0
c10r18	2020-09-18T00:00:00Z	23.938476341962797	25.13525590955939	3.280048028667203	8.735015766223373	41.53549605289541	0
c10r18	2020-09-21T00:00:00Z	33.969251775741554	34.59046746488564	3.303582286772972	18.07255603102078	51.1083788987505	0
c10r18	2020-09-23T00:00:00Z	45.72310519814488	43.4032175459921	2.8510262084537454	29.14808650372337	57.65834858826083	0
c10r18	2020-09-25T00:00:00Z	47.10772143900391	47.00326658615245	3.887216690100111	27.567183135651895	66.439350036653	0
c10r18	2020-09-28T00:00:00Z	50.14735104739666	50.04995328676152	3.2981766860527744	33.55906985649765	66.5408367170254	0
c10r18	2020-09-30T00:00:00Z	55.62103336155414	56.20188163251623	3.017461435191204	41.11457445656021	71.28918880847226	0
c10r18	2020-10-02T00:00:00Z	65.72629301846027	64.76786512301734	3.1030055237931755	49.25283750405147	80.28289274198322	0
c10r18	2020-10-05T00:00:00Z	77.26313112676144	77.4265080343609	3.8793781929632285	58.02961706954475	96.82339899917704	0
