timeNumber	timePoint	S_Area_cmsquared_corr	S_Area_cmsquared	wt	genotype	geno.decomp	rowId	colId	plotId
1	2020-06-17T00:00:00Z	1.0783444558238555	0.942771269609595	7.895130185455002	EPPN01_H	Hybrid	4	12	66
1	2020-06-17T00:00:00Z	0.18997522306781106	0.259595762394026	7.895130185455002	EPPN01_H	Hybrid	6	3	94
1	2020-06-17T00:00:00Z	0.6583161621333581	0.767684354851431	7.895130185455002	EPPN01_H	Hybrid	2	7	25
1	2020-06-17T00:00:00Z	0.2858648906146356	0.282319380376439	7.895130185455002	EPPN01_H	Hybrid	4	5	59
1	2020-06-17T00:00:00Z	0.969510969764326	0.903939770525724	7.895130185455002	EPPN01_H	Hybrid	5	2	74
1	2020-06-17T00:00:00Z	0.5289898876994331	0.507973536163823	7.895130185455002	EPPN01_H	Hybrid	1	17	15
1	2020-06-17T00:00:00Z	0.2570970838309691	0.212077513144726	7.895130185455002	EPPN01_H	Hybrid	7	13	120
1	2020-06-17T00:00:00Z	0.35574405814185833	0.263737788962972	7.895130185455002	EPPN01_H	Hybrid	5	10	81
1	2020-06-17T00:00:00Z	0.6148484436276815	0.479209462768363	7.895130185455002	EPPN01_H	Hybrid	3	15	49
1	2020-06-17T00:00:00Z	0.6363553809422355	0.698161589454604	7.8950448224492	EPPN02_H	Hybrid	2	9	27
1	2020-06-17T00:00:00Z	0.4918644985958208	0.538405925816219	7.8950448224492	EPPN02_H	Hybrid	1	19	17
1	2020-06-17T00:00:00Z	0.6623633669127931	0.615579934736238	7.8950448224492	EPPN02_H	Hybrid	3	18	52
1	2020-06-17T00:00:00Z	0.8074180932029816	0.770905931071722	7.8950448224492	EPPN02_H	Hybrid	5	8	79
1	2020-06-17T00:00:00Z	0.8844421628664678	0.717375990482771	7.8950448224492	EPPN02_H	Hybrid	4	14	68
1	2020-06-17T00:00:00Z	0.6975160939890932	0.692466302922303	7.8950448224492	EPPN02_H	Hybrid	4	6	60
1	2020-06-17T00:00:00Z	0.8463392798895292	0.808126642045447	7.8950448224492	EPPN02_H	Hybrid	2	12	30
1	2020-06-17T00:00:00Z	0.22910896514905493	0.360471367791904	7.8950448224492	EPPN02_H	Hybrid	7	4	114
1	2020-06-17T00:00:00Z	0.4923598901062273	0.315541885148196	7.8950448224492	EPPN02_H	Hybrid	5	15	86
1	2020-06-17T00:00:00Z	0.92290816949749	1.01335830572205	7.895784798727812	EPPN03_H	Hybrid	6	6	96
1	2020-06-17T00:00:00Z	0.8210348546659539	0.821214295440381	7.895784798727812	EPPN03_H	Hybrid	1	12	11
1	2020-06-17T00:00:00Z	NA	0.361190469626791	7.895784798727812	EPPN03_H	Hybrid	5	16	87
1	2020-06-17T00:00:00Z	NA	1.29610914719943	7.895784798727812	EPPN03_H	Hybrid	7	2	112
1	2020-06-17T00:00:00Z	NA	0.230544048264612	7.895784798727812	EPPN03_H	Hybrid	4	10	64
1	2020-06-17T00:00:00Z	0.2529823293004523	0.164703084262404	7.895784798727812	EPPN03_H	Hybrid	3	17	51
1	2020-06-17T00:00:00Z	1.230044194107693	1.15033282323123	7.895784798727812	EPPN03_H	Hybrid	6	14	104
1	2020-06-17T00:00:00Z	0.45415598859659295	0.474204513997553	7.895784798727812	EPPN03_H	Hybrid	3	8	44
1	2020-06-17T00:00:00Z	0.16481764845554758	0.22700606723697	7.895784798727812	EPPN03_H	Hybrid	7	19	125
1	2020-06-17T00:00:00Z	NA	1.05385812106286	7.895784798727812	EPPN03_H	Hybrid	2	3	21
1	2020-06-17T00:00:00Z	0.714703987110697	0.742688375070776	7.893976566938294	EPPN04_H	Hybrid	2	10	28
1	2020-06-17T00:00:00Z	1.2103478758698885	1.24479404026192	7.893976566938294	EPPN04_H	Hybrid	1	11	10
1	2020-06-17T00:00:00Z	0.6169018944199518	0.546632450807321	7.893976566938294	EPPN04_H	Hybrid	6	13	103
1	2020-06-17T00:00:00Z	0.8725763516789612	0.914553713608649	7.893976566938294	EPPN04_H	Hybrid	3	6	42
1	2020-06-17T00:00:00Z	0.1585560728226335	0.163379936886213	7.893976566938294	EPPN04_H	Hybrid	5	20	91
1	2020-06-17T00:00:00Z	0.940027506478441	1.04836418304433	7.893976566938294	EPPN04_H	Hybrid	7	8	116
1	2020-06-17T00:00:00Z	0.44348609417231605	0.277889713073539	7.893976566938294	EPPN04_H	Hybrid	4	15	69
1	2020-06-17T00:00:00Z	0.42864794749014634	0.439658861849605	7.897431700572024	EPPN05_H	Hybrid	7	11	118
1	2020-06-17T00:00:00Z	0.7467572045116078	0.799065958925877	7.897431700572024	EPPN05_H	Hybrid	6	19	109
1	2020-06-17T00:00:00Z	0.6468947099638475	0.838357683184076	7.897431700572024	EPPN05_H	Hybrid	1	5	5
1	2020-06-17T00:00:00Z	0.32525503202483735	0.300296926248602	7.897431700572024	EPPN05_H	Hybrid	3	1	37
1	2020-06-17T00:00:00Z	NA	0.990519631446059	7.897431700572024	EPPN05_H	Hybrid	5	19	90
1	2020-06-17T00:00:00Z	0.9265823732311668	1.04706979974153	7.897431700572024	EPPN05_H	Hybrid	7	3	113
1	2020-06-17T00:00:00Z	0.6155136541330557	0.697241139105949	7.897431700572024	EPPN05_H	Hybrid	6	7	97
1	2020-06-17T00:00:00Z	0.9710431050152183	0.889672790121576	7.897431700572024	EPPN05_H	Hybrid	5	18	89
1	2020-06-17T00:00:00Z	0.8909111513439075	0.86772580212084	7.897431700572024	EPPN05_H	Hybrid	4	8	62
1	2020-06-17T00:00:00Z	NA	0.215960663053113	7.897431700572024	EPPN05_H	Hybrid	6	9	99
1	2020-06-17T00:00:00Z	0.4576012359022281	0.374508235608889	7.897431700572024	EPPN05_H	Hybrid	2	15	32
1	2020-06-17T00:00:00Z	0.8079577111788407	0.736906796318288	7.897431700572024	EPPN05_H	Hybrid	4	18	71
1	2020-06-17T00:00:00Z	1.394663383662354	1.23602099787631	7.897431700572024	EPPN05_H	Hybrid	4	13	67
1	2020-06-17T00:00:00Z	1.2768402159775414	1.44680412771824	7.900275836905276	EPPN06_H	Hybrid	1	2	2
1	2020-06-17T00:00:00Z	NA	0.722438467400372	7.900275836905276	EPPN06_H	Hybrid	3	16	50
1	2020-06-17T00:00:00Z	NA	0.188145804079704	7.900275836905276	EPPN06_H	Hybrid	3	13	47
1	2020-06-17T00:00:00Z	0.9238128976053904	0.894879087406154	7.900275836905276	EPPN06_H	Hybrid	4	3	57
1	2020-06-17T00:00:00Z	0.7163834217421793	0.672619092279436	7.900275836905276	EPPN06_H	Hybrid	5	3	75
1	2020-06-17T00:00:00Z	NA	0.842758586413581	7.900275836905276	EPPN06_H	Hybrid	3	20	54
1	2020-06-17T00:00:00Z	0.46722764139498774	0.403790062325467	7.900275836905276	EPPN06_H	Hybrid	5	9	80
1	2020-06-17T00:00:00Z	0.9599781179806527	0.979100294308061	7.900275836905276	EPPN06_H	Hybrid	6	1	92
1	2020-06-17T00:00:00Z	0.23351462868724404	0.123743043747269	7.900275836905276	EPPN06_H	Hybrid	4	11	65
1	2020-06-17T00:00:00Z	0.058093957590115486	0.133206423894375	7.900275836905276	EPPN06_H	Hybrid	7	1	111
1	2020-06-17T00:00:00Z	0.4825383191965084	0.347326186250179	7.900275836905276	EPPN06_H	Hybrid	3	14	48
1	2020-06-17T00:00:00Z	NA	0.0887659304983894	7.900275836905276	EPPN06_H	Hybrid	6	15	105
1	2020-06-17T00:00:00Z	0.5242738846405592	0.409830517738513	7.900275836905276	EPPN06_H	Hybrid	4	17	70
1	2020-06-17T00:00:00Z	0.12266196568607568	0.287985902835345	7.900275836905276	EPPN06_H	Hybrid	1	7	7
1	2020-06-17T00:00:00Z	1.2448966817885614	1.28123812125397	7.900275836905276	EPPN06_H	Hybrid	3	4	40
1	2020-06-17T00:00:00Z	NA	0.513007249008028	7.900275836905276	EPPN06_H	Hybrid	2	18	34
1	2020-06-17T00:00:00Z	1.4792753923647615	1.5750631309886	7.900275836905276	EPPN06_H	Hybrid	6	20	110
1	2020-06-17T00:00:00Z	0.43050399344603996	0.55252908585339	7.900275836905276	EPPN06_H	Hybrid	2	6	24
1	2020-06-17T00:00:00Z	0.5854991042069742	0.463302930180673	7.8941081290907	EPPN08_H	Hybrid	5	11	82
1	2020-06-17T00:00:00Z	1.3833239186225033	1.34348357608175	7.8941081290907	EPPN08_H	Hybrid	3	10	46
1	2020-06-17T00:00:00Z	0.5013780105978243	0.421767608197629	7.8941081290907	EPPN08_H	Hybrid	2	14	31
1	2020-06-17T00:00:00Z	0.5077930687244163	0.690797986665366	7.8941081290907	EPPN08_H	Hybrid	1	3	3
1	2020-06-17T00:00:00Z	0.4037732412527912	0.373817897847397	7.8941081290907	EPPN08_H	Hybrid	4	19	72
1	2020-06-17T00:00:00Z	1.1042060828897937	1.11811706102832	7.8941081290907	EPPN08_H	Hybrid	1	18	16
1	2020-06-17T00:00:00Z	0.2990565916910604	0.25671935505448	7.8941081290907	EPPN08_H	Hybrid	7	16	122
1	2020-06-17T00:00:00Z	1.581260490609659	1.71997653275492	7.896389287721517	EPPN09_H	Hybrid	7	5	115
1	2020-06-17T00:00:00Z	0.9251626915252937	0.957901172215607	7.896389287721517	EPPN09_H	Hybrid	2	19	35
1	2020-06-17T00:00:00Z	1.1742509727477262	1.11434896741351	7.896389287721517	EPPN09_H	Hybrid	6	16	106
1	2020-06-17T00:00:00Z	1.1718645861064623	1.2658493419874	7.896389287721517	EPPN09_H	Hybrid	2	8	26
