Unit ID	Timestamp	Device ID	Variable ID	Value
104	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.1335
105	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	NA
106	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3114
107	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	1.0255
108	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.5077
109	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.951
110	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.7459
111	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.7319
112	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3384
113	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.8123
114	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.7071
115	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.5736
116	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4883
117	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3276
118	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.5965
201	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3718
202	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.7521
203	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.2868
204	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.689
205	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.8637
206	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.8364
207	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4343
208	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.2348
209	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3446
210	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4604
211	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.6532
212	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.7246
213	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4732
214	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4438
215	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.6401
216	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3573
217	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3272
218	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.5624
301	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.1756
302	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.3332
303	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.282
304	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4018
305	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.4339
306	2019_11_11	MT_XS205DU_#2	Shoot_dry_weight	0.9525
