Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Characteristics[...],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Parameter Value[…],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Characteristics[…],Factor Value[e.g. SomeTreatment],…
EPPN2_L,NCBITAXON:4577,Zea,mays,N22,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,203,Rhizotron,,row=21; column=1; rep=1,,,
EPPN1_L,NCBITAXON:4577,Zea,mays,B73,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,204,Rhizotron,,row=22; column=1; rep=1,,,
EPPN4_H,NCBITAXON:4577,Zea,mays,UH_P148_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,205,Rhizotron,,row=23; column=1; rep=1,,,
EPPN3_H,NCBITAXON:4577,Zea,mays,PHT77_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,206,Rhizotron,,row=24; column=1; rep=1,,,
EPPN20_T,NCBITAXON:4577,Zea,mays,UH007,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,207,Rhizotron,,row=25; column=1; rep=1,,,
EPPN4_L,NCBITAXON:4577,Zea,mays,UH_P148,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,208,Rhizotron,,row=26; column=1; rep=1,,,
EPPN2_H,NCBITAXON:4577,Zea,mays,N22_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,209,Rhizotron,,row=27; column=1; rep=1,,,
EPPN20_T,NCBITAXON:4577,Zea,mays,UH007,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,210,Rhizotron,,row=28; column=1; rep=6,,,
EPPN1_H,NCBITAXON:4577,Zea,mays,B73_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,211,Rhizotron,,row=29; column=1; rep=6,,,
EPPN4_H,NCBITAXON:4577,Zea,mays,UH_P148_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,212,Rhizotron,,row=30; column=1; rep=6,,,
EPPN2_H,NCBITAXON:4577,Zea,mays,N22_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,213,Rhizotron,,row=31; column=1; rep=6,,,
EPPN3_L,NCBITAXON:4577,Zea,mays,PHT77,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,214,Rhizotron,,row=32; column=1; rep=6,,,
EPPN1_L,NCBITAXON:4577,Zea,mays,B73,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,215,Rhizotron,,row=33; column=1; rep=6,,,
EPPN2_L,NCBITAXON:4577,Zea,mays,N22,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,216,Rhizotron,,row=34; column=1; rep=6,,,
EPPN4_L,NCBITAXON:4577,Zea,mays,UH_P148,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,217,Rhizotron,,row=35; column=1; rep=6,,,
EPPN3_H,NCBITAXON:4577,Zea,mays,PHT77_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,218,Rhizotron,,row=36; column=1; rep=6,,,
EPPN2_L,NCBITAXON:4577,Zea,mays,N22,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,301,Rhizotron,,row=1; column=2; rep=3,,,
EPPN2_H,NCBITAXON:4577,Zea,mays,N22_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,302,Rhizotron,,row=2; column=2; rep=3,,,
EPPN20_T,NCBITAXON:4577,Zea,mays,UH007,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,303,Rhizotron,,row=3; column=2; rep=3,,,
EPPN3_H,NCBITAXON:4577,Zea,mays,PHT77_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,304,Rhizotron,,row=4; column=2; rep=3,,,
EPPN3_L,NCBITAXON:4577,Zea,mays,PHT77,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,305,Rhizotron,,row=5; column=2; rep=3,,,
EPPN4_H,NCBITAXON:4577,Zea,mays,UH_P148_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,306,Rhizotron,,row=6; column=2; rep=3,,,
EPPN1_L,NCBITAXON:4577,Zea,mays,B73,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,307,Rhizotron,,row=7; column=2; rep=3,,,
EPPN4_L,NCBITAXON:4577,Zea,mays,UH_P148,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,308,Rhizotron,,row=8; column=2; rep=3,,,
EPPN1_H,NCBITAXON:4577,Zea,mays,B73_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,309,Rhizotron,,row=9; column=2; rep=3,,,
EPPN3_H,NCBITAXON:4577,Zea,mays,PHT77_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,310,Rhizotron,,row=10; column=2; rep=4,,,
EPPN1_H,NCBITAXON:4577,Zea,mays,B73_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,311,Rhizotron,,row=11; column=2; rep=4,,,
