Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Characteristics[...],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Parameter Value[…],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Characteristics[…],Factor Value[e.g. SomeTreatment],…
EPPN1_L,NCBITAXON:4577,Zea,mays,B73,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,111,Rhizotron,,row=11; column=1; rep=7,,,
EPPN4_L,NCBITAXON:4577,Zea,mays,UH_P148,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,112,Rhizotron,,row=12; column=1; rep=7,,,
EPPN4_H,NCBITAXON:4577,Zea,mays,UH_P148_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,113,Rhizotron,,row=13; column=1; rep=7,,,
EPPN2_H,NCBITAXON:4577,Zea,mays,N22_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,114,Rhizotron,,row=14; column=1; rep=7,,,
EPPN3_L,NCBITAXON:4577,Zea,mays,PHT77,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,115,Rhizotron,,row=15; column=1; rep=7,,,
EPPN20_T,NCBITAXON:4577,Zea,mays,UH007,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,116,Rhizotron,,row=16; column=1; rep=7,,,
EPPN2_L,NCBITAXON:4577,Zea,mays,N22,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,117,Rhizotron,,row=17; column=1; rep=7,,,
EPPN3_H,NCBITAXON:4577,Zea,mays,PHT77_H,,,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,118,Rhizotron,,row=18; column=1; rep=7,,,
EPPN3_L,NCBITAXON:4577,Zea,mays,PHT77,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,201,Rhizotron,,row=19; column=1; rep=1,,,
EPPN1_H,NCBITAXON:4577,Zea,mays,B73_H,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,"seed storage at 4°C, seed sterilisation with 1% NaHypochloride solution and pre-germination in Petri Dishes at 23/18°C day/night temperature in darkness for 48 hours",,,,,,,,,,,,,INRAE LEPSE,,Growth,Rhizotron,17.1 L,1,Soil,Plantaflor Graberde commercial peat substrate,6.2,automated drip irrigation,400 ml,202,Rhizotron,,row=20; column=1; rep=1,,,
