Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
9	NA	2019-10-31	NA	22.5	3.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	5	9	1	FZJ
9	NA	2019-11-04	NA	42	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	5	9	1	FZJ
9	NA	2019-11-11	NA	54.3	6.5	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	5	9	1	FZJ
9	NA	2019-11-07	NA	57	5.2	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	5	9	1	FZJ
10	NA	2019-10-28	NA	8.8	2	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	7	10	1	FZJ
10	NA	2019-10-31	NA	18.8	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	7	10	1	FZJ
10	NA	2019-11-04	NA	32	4	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	7	10	1	FZJ
10	NA	2019-11-07	NA	39.5	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	7	10	1	FZJ
10	NA	2019-11-11	NA	43	5.8	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	7	10	1	FZJ
11	NA	2019-10-28	NA	6.6	2	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	7	11	1	FZJ
11	NA	2019-10-31	NA	15.5	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	7	11	1	FZJ
11	NA	2019-11-04	NA	29.7	4.2	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	7	11	1	FZJ
11	NA	2019-11-07	NA	32.5	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	7	11	1	FZJ
11	NA	2019-11-11	NA	43.5	6.2	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	7	11	1	FZJ
12	NA	2019-10-28	NA	5.3	2	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	7	12	1	FZJ
12	NA	2019-10-31	NA	10.2	3.2	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	7	12	1	FZJ
12	NA	2019-11-04	NA	17.2	4.8	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	7	12	1	FZJ
12	NA	2019-11-07	NA	21.5	5.5	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	7	12	1	FZJ
