Unit.ID	Genotype	Soil	Replication	Row	Column	Platform
118	EPPN12_L	WW	4	2	58	M3P
119	EPPN14_L	WW	4	2	59	M3P
120	EPPN5_L	WW	4	2	60	M3P
121	EPPN9_L	WD2	1	3	1	M3P
122	EPPN14_L	WD2	1	3	2	M3P
123	EPPN3_L	WD2	1	3	3	M3P
124	EPPN10_L	WD2	1	3	4	M3P
125	EPPN2_L	WD2	1	3	5	M3P
126	EPPN1_L	WD2	1	3	6	M3P
127	EPPN12_L	WD2	1	3	7	M3P
128	EPPN4_L	WD2	1	3	8	M3P
129	EPPN20_T	WD2	1	3	9	M3P
130	EPPN13_L	WD2	1	3	10	M3P
131	EPPN6_L	WD2	1	3	11	M3P
132	EPPN11_L	WD2	1	3	12	M3P
133	EPPN5_L	WD2	1	3	13	M3P
134	EPPN7_L	WD2	1	3	14	M3P
135	EPPN8_L	WD2	1	3	15	M3P
136	EPPN9_L	WD1	2	3	16	M3P
137	EPPN12_L	WD1	2	3	17	M3P
138	EPPN3_L	WD1	2	3	18	M3P
139	EPPN5_L	WD1	2	3	19	M3P
140	EPPN6_L	WD1	2	3	20	M3P
141	EPPN20_T	WD1	2	3	21	M3P
142	EPPN11_L	WD1	2	3	22	M3P
143	EPPN1_L	WD1	2	3	23	M3P
144	EPPN13_L	WD1	2	3	24	M3P
145	EPPN7_L	WD1	2	3	25	M3P
146	EPPN4_L	WD1	2	3	26	M3P
147	EPPN10_L	WD1	2	3	27	M3P
148	EPPN2_L	WD1	2	3	28	M3P
149	EPPN8_L	WD1	2	3	29	M3P
150	EPPN14_L	WD1	2	3	30	M3P
151	EPPN6_H	WD2	3	3	31	M3P
152	EPPN11_H	WD2	3	3	32	M3P
153	EPPN8_H	WD2	3	3	33	M3P
154	EPPN2_H	WD2	3	3	34	M3P
155	EPPN14_H	WD2	3	3	35	M3P
156	EPPN1_H	WD2	3	3	36	M3P
157	EPPN13_H	WD2	3	3	37	M3P
158	EPPN5_H	WD2	3	3	38	M3P
159	EPPN9_H	WD2	3	3	39	M3P
160	EPPN3_H	WD2	3	3	40	M3P
161	EPPN10_H	WD2	3	3	41	M3P
162	EPPN4_H	WD2	3	3	42	M3P
163	EPPN7_H	WD2	3	3	43	M3P
164	EPPN12_H	WD2	3	3	44	M3P
165	EPPN15_H	WD2	3	3	45	M3P
166	EPPN7_H	WD2	4	3	46	M3P
167	EPPN3_H	WD2	4	3	47	M3P
168	EPPN6_H	WD2	4	3	48	M3P
169	EPPN1_H	WD2	4	3	49	M3P
170	EPPN12_H	WD2	4	3	50	M3P
171	EPPN8_H	WD2	4	3	51	M3P
172	EPPN4_H	WD2	4	3	52	M3P
173	EPPN5_H	WD2	4	3	53	M3P
174	EPPN10_H	WD2	4	3	54	M3P
175	EPPN13_H	WD2	4	3	55	M3P
176	EPPN11_H	WD2	4	3	56	M3P
177	EPPN14_H	WD2	4	3	57	M3P
178	EPPN15_H	WD2	4	3	58	M3P
179	EPPN9_H	WD2	4	3	59	M3P
180	EPPN2_H	WD2	4	3	60	M3P
181	EPPN8_H	WD2	1	4	1	M3P
182	EPPN13_H	WD2	1	4	2	M3P
183	EPPN7_H	WD2	1	4	3	M3P
184	EPPN14_H	WD2	1	4	4	M3P
185	EPPN12_H	WD2	1	4	5	M3P
186	EPPN10_H	WD2	1	4	6	M3P
187	EPPN9_H	WD2	1	4	7	M3P
188	EPPN4_H	WD2	1	4	8	M3P
189	EPPN15_H	WD2	1	4	9	M3P
190	EPPN6_H	WD2	1	4	10	M3P
191	EPPN2_H	WD2	1	4	11	M3P
192	EPPN1_H	WD2	1	4	12	M3P
193	EPPN3_H	WD2	1	4	13	M3P
194	EPPN5_H	WD2	1	4	14	M3P
195	EPPN11_H	WD2	1	4	15	M3P
196	EPPN12_H	WD1	2	4	16	M3P
197	EPPN10_H	WD1	2	4	17	M3P
198	EPPN3_H	WD1	2	4	18	M3P
199	EPPN7_H	WD1	2	4	19	M3P
200	EPPN1_H	WD1	2	4	20	M3P
201	EPPN4_H	WD1	2	4	21	M3P
202	EPPN9_H	WD1	2	4	22	M3P
203	EPPN13_H	WD1	2	4	23	M3P
204	EPPN2_H	WD1	2	4	24	M3P
205	EPPN11_H	WD1	2	4	25	M3P
206	EPPN15_H	WD1	2	4	26	M3P
207	EPPN5_H	WD1	2	4	27	M3P
208	EPPN8_H	WD1	2	4	28	M3P
209	EPPN14_H	WD1	2	4	29	M3P
210	EPPN6_H	WD1	2	4	30	M3P
211	EPPN14_L	WD2	3	4	31	M3P
212	EPPN11_L	WD2	3	4	32	M3P
213	EPPN20_T	WD2	3	4	33	M3P
214	EPPN3_L	WD2	3	4	34	M3P
215	EPPN8_L	WD2	3	4	35	M3P
216	EPPN7_L	WD2	3	4	36	M3P
217	EPPN2_L	WD2	3	4	37	M3P
218	EPPN1_L	WD2	3	4	38	M3P
219	EPPN9_L	WD2	3	4	39	M3P
220	EPPN10_L	WD2	3	4	40	M3P
221	EPPN5_L	WD2	3	4	41	M3P
222	EPPN4_L	WD2	3	4	42	M3P
223	EPPN12_L	WD2	3	4	43	M3P
224	EPPN6_L	WD2	3	4	44	M3P
225	EPPN13_L	WD2	3	4	45	M3P
226	EPPN9_L	WD2	4	4	46	M3P
227	EPPN6_L	WD2	4	4	47	M3P
228	EPPN1_L	WD2	4	4	48	M3P
229	EPPN10_L	WD2	4	4	49	M3P
230	EPPN13_L	WD2	4	4	50	M3P
231	EPPN12_L	WD2	4	4	51	M3P
232	EPPN2_L	WD2	4	4	52	M3P
233	EPPN11_L	WD2	4	4	53	M3P
234	EPPN8_L	WD2	4	4	54	M3P
235	EPPN5_L	WD2	4	4	55	M3P
236	EPPN20_T	WD2	4	4	56	M3P
237	EPPN7_L	WD2	4	4	57	M3P
238	EPPN14_L	WD2	4	4	58	M3P
239	EPPN3_L	WD2	4	4	59	M3P
240	EPPN4_L	WD2	4	4	60	M3P
241	EPPN13_H	WW	1	5	1	M3P
242	EPPN8_H	WW	1	5	2	M3P
243	EPPN5_H	WW	1	5	3	M3P
244	EPPN7_H	WW	1	5	4	M3P
245	EPPN14_H	WW	1	5	5	M3P
246	EPPN9_H	WW	1	5	6	M3P
247	EPPN10_H	WW	1	5	7	M3P
248	EPPN15_H	WW	1	5	8	M3P
249	EPPN4_H	WW	1	5	9	M3P
250	EPPN11_H	WW	1	5	10	M3P
