Unit.ID	Time	Date	Timestamp	Manual_Plant_height_cm	Leaf_number	Wue	Plant_biomass	Ligulated_leaf_number	Plant_emergence	Plant_transpiration	Daily_wu	Soil_water_potential	Genotype	Soil	Replication	Row	Column	Platform
78	10:09:11	2020-09-10	2020-09-10 10:09:11	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	8	25	15	ALSIA
68	10:09:51	2020-09-10	2020-09-10 10:09:51	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	8	26	15	ALSIA
35	10:40:28	2020-09-10	2020-09-10 10:40:28	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	5	1	16	ALSIA
5	10:40:58	2020-09-10	2020-09-10 10:40:58	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	5	3	16	ALSIA
75	10:41:36	2020-09-10	2020-09-10 10:41:36	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	5	4	16	ALSIA
45	10:42:00	2020-09-10	2020-09-10 10:42:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	5	5	16	ALSIA
55	10:43:55	2020-09-10	2020-09-10 10:43:55	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	5	8	16	ALSIA
25	10:44:33	2020-09-10	2020-09-10 10:44:33	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	5	9	16	ALSIA
85	10:45:09	2020-09-10	2020-09-10 10:45:09	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	5	10	16	ALSIA
15	10:45:47	2020-09-10	2020-09-10 10:45:47	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	5	11	16	ALSIA
65	10:46:25	2020-09-10	2020-09-10 10:46:25	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	5	12	16	ALSIA
86	10:47:04	2020-09-10	2020-09-10 10:47:04	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	6	13	16	ALSIA
76	10:49:33	2020-09-10	2020-09-10 10:49:33	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	6	17	16	ALSIA
6	10:50:38	2020-09-10	2020-09-10 10:50:38	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	6	19	16	ALSIA
36	10:51:15	2020-09-10	2020-09-10 10:51:15	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	6	20	16	ALSIA
16	10:51:39	2020-09-10	2020-09-10 10:51:39	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	6	21	16	ALSIA
56	10:52:18	2020-09-10	2020-09-10 10:52:18	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	6	22	16	ALSIA
66	10:52:55	2020-09-10	2020-09-10 10:52:55	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	6	23	16	ALSIA
46	10:53:34	2020-09-10	2020-09-10 10:53:34	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	6	24	16	ALSIA
26	10:54:54	2020-09-10	2020-09-10 10:54:54	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	6	26	16	ALSIA
73	11:25:28	2020-09-10	2020-09-10 11:25:28	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	3	1	17	ALSIA
13	11:25:45	2020-09-10	2020-09-10 11:25:45	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	3	2	17	ALSIA
33	11:25:59	2020-09-10	2020-09-10 11:25:59	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	3	3	17	ALSIA
3	11:27:14	2020-09-10	2020-09-10 11:27:14	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	3	5	17	ALSIA
53	11:27:53	2020-09-10	2020-09-10 11:27:53	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	3	6	17	ALSIA
63	11:28:31	2020-09-10	2020-09-10 11:28:31	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	3	7	17	ALSIA
43	11:30:32	2020-09-10	2020-09-10 11:30:32	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	3	10	17	ALSIA
23	11:31:11	2020-09-10	2020-09-10 11:31:11	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	3	11	17	ALSIA
