Unit.ID	Timestamp	Date	Time	T_Area_cmsquared	T_Area_pixel	T_Perimeter_cm	T_Perimeter_pixel	T_Convex_hull_area_cmsquared	T_Solidity	T_Compactness	T_Roundness	T_Roundness2	T_Isotropy	T_Eccentricity	T_Rms	T_Sol	Genotype	Soil	Replication	Row	Column	Platform
58	2020-09-10 10:03:31	2020-09-10	10:03:31	26.1467618481416	NA	NA	NA	80.2494867522502	0.325818430825147	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	8	16	15	ALSIA
88	2020-09-10 10:04:47	2020-09-10	10:04:47	7.3847535282036	NA	NA	NA	11.083470950744	0.666285278413425	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	8	18	15	ALSIA
48	2020-09-10 10:05:25	2020-09-10	10:05:25	20.015345137976	NA	NA	NA	29.6626569523679	0.674765755816025	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	8	19	15	ALSIA
38	2020-09-10 10:06:00	2020-09-10	10:06:00	19.768059458869	NA	NA	NA	32.5064422620983	0.608127438231469	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	8	20	15	ALSIA
8	2020-09-10 10:06:38	2020-09-10	10:06:38	22.9722055231954	NA	NA	NA	45.0038800446592	0.510449443479078	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	8	21	15	ALSIA
28	2020-09-10 10:07:16	2020-09-10	10:07:16	19.3474624491058	NA	NA	NA	27.0872928498733	0.714263420724095	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	8	22	15	ALSIA
78	2020-09-10 10:09:11	2020-09-10	10:09:11	21.6491214623324	NA	NA	NA	52.6707928733823	0.411027066070103	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	8	25	15	ALSIA
68	2020-09-10 10:09:51	2020-09-10	10:09:51	18.4048178945612	NA	NA	NA	31.4803123714449	0.58464533888348	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	8	26	15	ALSIA
35	2020-09-10 10:40:28	2020-09-10	10:40:28	14.2347781947485	NA	NA	NA	20.6821710504397	0.688263246640437	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	5	1	16	ALSIA
5	2020-09-10 10:40:58	2020-09-10	10:40:58	20.5183707074415	NA	NA	NA	28.5477578435735	0.718738431924187	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	5	3	16	ALSIA
75	2020-09-10 10:41:36	2020-09-10	10:41:36	29.069805388355	NA	NA	NA	76.6680715108247	0.379164426801196	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	5	4	16	ALSIA
45	2020-09-10 10:42:00	2020-09-10	10:42:00	20.6790007212204	NA	NA	NA	34.4371727566644	0.600484855924142	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	5	5	16	ALSIA
55	2020-09-10 10:43:55	2020-09-10	10:43:55	23.1074729032198	NA	NA	NA	50.7263242855324	0.455532176412991	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	5	8	16	ALSIA
25	2020-09-10 10:44:33	2020-09-10	10:44:33	20.0470484301692	NA	NA	NA	34.6062569816948	0.57928970592726	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	5	9	16	ALSIA
85	2020-09-10 10:45:09	2020-09-10	10:45:09	6.40195147021428	NA	NA	NA	12.7679725426096	0.501407051812614	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	5	10	16	ALSIA
15	2020-09-10 10:45:47	2020-09-10	10:45:47	23.6739050570717	NA	NA	NA	47.9554565478464	0.493664470349721	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	5	11	16	ALSIA
65	2020-09-10 10:46:25	2020-09-10	10:46:25	21.549784480127	NA	NA	NA	38.5850201519419	0.558501314636284	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	5	12	16	ALSIA
86	2020-09-10 10:47:04	2020-09-10	10:47:04	12.9159212395112	NA	NA	NA	24.2688701738975	0.532201175702155	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	6	13	16	ALSIA
76	2020-09-10 10:49:33	2020-09-10	10:49:33	17.597440720041	NA	NA	NA	44.2968966287507	0.397261254383663	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	6	17	16	ALSIA
6	2020-09-10 10:50:38	2020-09-10	10:50:38	20.3344916127209	NA	NA	NA	49.6684911026859	0.409404255319149	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	6	19	16	ALSIA
36	2020-09-10 10:51:15	2020-09-10	10:51:15	11.7703756149301	NA	NA	NA	22.502996798736	0.523058138442754	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	6	20	16	ALSIA
16	2020-09-10 10:51:39	2020-09-10	10:51:39	19.5862939169613	NA	NA	NA	41.6644666003084	0.470095875817988	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	6	21	16	ALSIA
56	2020-09-10 10:52:18	2020-09-10	10:52:18	25.7219377327527	NA	NA	NA	77.5821831023954	0.331544392077805	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	6	22	16	ALSIA
66	2020-09-10 10:52:55	2020-09-10	10:52:55	11.4913866436299	NA	NA	NA	17.3617795814048	0.66187838578124	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	6	23	16	ALSIA
46	2020-09-10 10:53:34	2020-09-10	10:53:34	19.5440228607037	NA	NA	NA	40.11734594128	0.487171381908224	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	6	24	16	ALSIA
26	2020-09-10 10:54:54	2020-09-10	10:54:54	11.8401228577552	NA	NA	NA	15.6846754243843	0.754884786416925	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	6	26	16	ALSIA
73	2020-09-10 11:25:28	2020-09-10	11:25:28	17.1261184427687	NA	NA	NA	37.1139873941772	0.461446469248292	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	3	1	17	ALSIA
13	2020-09-10 11:25:45	2020-09-10	11:25:45	18.3181622292331	NA	NA	NA	26.8093606549795	0.683274863021798	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	3	2	17	ALSIA
33	2020-09-10 11:25:59	2020-09-10	11:25:59	24.3291064290646	NA	NA	NA	60.5902752632446	0.401534839103514	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	3	3	17	ALSIA
3	2020-09-10 11:27:14	2020-09-10	11:27:14	22.9785461816341	NA	NA	NA	59.1340373751701	0.388584091355863	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	3	5	17	ALSIA
53	2020-09-10 11:27:53	2020-09-10	11:27:53	27.622021711532	NA	NA	NA	44.3116914984409	0.623357420524195	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	3	6	17	ALSIA
63	2020-09-10 11:28:31	2020-09-10	11:28:31	21.8012972648598	NA	NA	NA	32.6765832635351	0.667184114355939	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	3	7	17	ALSIA
43	2020-09-10 11:30:32	2020-09-10	11:30:32	24.6461393509966	NA	NA	NA	53.7487048079512	0.45854387448143	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	3	10	17	ALSIA
23	2020-09-10 11:31:11	2020-09-10	11:31:11	26.4954980622668	NA	NA	NA	108.852196968959	0.243408022989398	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	3	11	17	ALSIA
83	2020-09-10 11:32:26	2020-09-10	11:32:26	15.1288110345968	NA	NA	NA	21.7040738354673	0.697049371895998	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	3	13	17	ALSIA
64	2020-09-10 11:33:04	2020-09-10	11:33:04	18.6140596230364	NA	NA	NA	39.5128698367963	0.471088526343942	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	4	14	17	ALSIA
44	2020-09-10 11:34:20	2020-09-10	11:34:20	26.6117434669752	NA	NA	NA	55.3391532996436	0.480884543406027	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	4	16	17	ALSIA
74	2020-09-10 11:34:57	2020-09-10	11:34:57	23.597817155808	NA	NA	NA	113.169128589267	0.208518148455957	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	4	17	17	ALSIA
24	2020-09-10 11:35:35	2020-09-10	11:35:35	17.755957181007	NA	NA	NA	22.601277004535	0.785617431149764	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	4	18	17	ALSIA
34	2020-09-10 11:36:14	2020-09-10	11:36:14	20.7318395415424	NA	NA	NA	42.739208205658	0.485077763766288	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	4	19	17	ALSIA
4	2020-09-10 11:36:51	2020-09-10	11:36:51	23.38646187452	NA	NA	NA	69.0677355957073	0.338601833009471	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	4	20	17	ALSIA
54	2020-09-10 11:38:07	2020-09-10	11:38:07	32.210544868295	NA	NA	NA	174.72741104081	0.184347405346559	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	4	22	17	ALSIA
84	2020-09-10 11:39:21	2020-09-10	11:39:21	9.9421524317887	NA	NA	NA	21.8308870042401	0.455416787685158	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	4	24	17	ALSIA
14	2020-09-10 11:40:00	2020-09-10	11:40:00	16.0482065081997	NA	NA	NA	50.8425696902409	0.315645070773836	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	4	25	17	ALSIA
61	2020-09-10 12:10:26	2020-09-10	12:10:26	18.1321695816997	NA	NA	NA	23.5608299815826	0.76958959407939	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	1	1	18	ALSIA
21	2020-09-10 12:10:42	2020-09-10	12:10:42	14.9068879892444	NA	NA	NA	18.3879094720582	0.810689655172414	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	1	2	18	ALSIA
71	2020-09-10 12:10:57	2020-09-10	12:10:57	26.1996006684636	NA	NA	NA	81.1995287416399	0.322657053242578	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	1	3	18	ALSIA
11	2020-09-10 12:12:12	2020-09-10	12:12:12	24.8701759491619	NA	NA	NA	50.7791631058545	0.489771284676698	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	1	5	18	ALSIA
1	2020-09-10 12:12:49	2020-09-10	12:12:49	22.3656158658988	NA	NA	NA	35.3787605348025	0.632176354620945	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	1	6	18	ALSIA
31	2020-09-10 12:14:44	2020-09-10	12:14:44	22.6234693090702	NA	NA	NA	50.8901246285307	0.444555195614254	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	1	9	18	ALSIA
51	2020-09-10 12:15:20	2020-09-10	12:15:20	20.0512755357949	NA	NA	NA	32.6607316174385	0.613926098492202	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	1	10	18	ALSIA
41	2020-09-10 12:16:00	2020-09-10	12:16:00	26.5356555657115	NA	NA	NA	62.0718757850736	0.427498850809541	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	1	11	18	ALSIA
81	2020-09-10 12:16:38	2020-09-10	12:16:38	12.6622949019656	NA	NA	NA	33.8823651432833	0.373713430228931	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	1	12	18	ALSIA
62	2020-09-10 12:17:15	2020-09-10	12:17:15	19.2502390197133	NA	NA	NA	40.0338606051713	0.480848929599029	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	2	13	18	ALSIA
32	2020-09-10 12:17:53	2020-09-10	12:17:53	14.8350271936065	NA	NA	NA	19.7310722846436	0.751861175084355	NA	NA	NA	NA	NA	NA	NA	EPPN4_L	NA	2	14	18	ALSIA
2	2020-09-10 12:18:35	2020-09-10	12:18:35	22.4438173199754	NA	NA	NA	46.5890446543194	0.481740234995237	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	2	15	18	ALSIA
22	2020-09-10 12:20:29	2020-09-10	12:20:29	33.0242627012539	NA	NA	NA	122.511032022197	0.26956154197828	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	2	18	18	ALSIA
82	2020-09-10 12:21:10	2020-09-10	12:21:10	13.3069285098941	NA	NA	NA	31.0935322066878	0.427964517554294	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	2	19	18	ALSIA
52	2020-09-10 12:21:49	2020-09-10	12:21:49	26.9752745507906	NA	NA	NA	86.5869748616716	0.311539635076585	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	2	20	18	ALSIA
72	2020-09-10 12:23:04	2020-09-10	12:23:04	28.1187066225589	NA	NA	NA	117.975347685756	0.238343918234994	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	2	22	18	ALSIA
12	2020-09-10 12:23:47	2020-09-10	12:23:47	23.2892384451275	NA	NA	NA	48.2851707866558	0.48232693528266	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	2	23	18	ALSIA
42	2020-09-10 12:25:44	2020-09-10	12:25:44	21.1059383894222	NA	NA	NA	34.7087642931195	0.608086712946048	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	2	26	18	ALSIA
