Unit.ID	Time	Date	Timestamp	DW_shoot_g	FW_shoot_g	DW_root_g	FW_root_g	Leaf_number	Plant_height_cm	DW_plant_g	Root_length_cm	Root_number	Root_angle	Total_wu	DW_seed_g	FW_seed_g	Leaf_area_cmsquared	Genotype	Soil	Replication	Row	Column	Platform
40	NA	2020-12-23	NA	0.2592	3.35	0.0992	1.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN8_L	NA	NA	40	1	UCL
41	NA	2020-12-23	NA	0.2146	3.16	0.098	3.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN15_H	NA	NA	41	1	UCL
42	NA	2020-12-23	NA	0.2078	2.83	0.0818	2.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	NA	42	1	UCL
43	NA	2020-12-23	NA	0.271	3.72	0.1117	1.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	NA	43	1	UCL
44	NA	2020-12-23	NA	0.1862	2.38	0.0905	1.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN12_L	NA	NA	44	1	UCL
45	NA	2020-12-23	NA	0.3505	5.32	0.1693	3.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	NA	45	1	UCL
48	NA	2020-12-23	NA	0.1008	1.33	0.0184	0.38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN14_L	NA	NA	48	1	UCL
49	NA	2020-12-23	NA	0.2223	2.97	0.1101	2.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_L	NA	NA	49	1	UCL
50	NA	2020-12-23	NA	0.1921	2.78	0.0794	2.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN12_H	NA	NA	50	1	UCL
55	NA	2020-12-23	NA	0.3873	5.77	0.1743	4.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN8_H	NA	NA	55	1	UCL
56	NA	2020-12-23	NA	0.1709	2.31	0.082	2.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN15_L	NA	NA	56	1	UCL
57	NA	2020-12-23	NA	0.3204	4.49	0.1305	2.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Local	NA	NA	57	1	UCL
58	NA	2020-12-23	NA	0.0552	0.68	0.0248	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN10_L	NA	NA	58	1	UCL
59	NA	2020-12-23	NA	0.2538	3.45	0.2002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN6_H	NA	NA	59	1	UCL
60	NA	2020-12-23	NA	0.2689	3.99	0.137	3.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN9_H	NA	NA	60	1	UCL
62	NA	2020-12-23	NA	0.2137	2.9	0.0653	1.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Local	NA	NA	62	1	UCL
66	NA	2020-12-23	NA	0.1986	2.64	0.101	2.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN13_L	NA	NA	66	1	UCL
67	NA	2020-12-23	NA	0.2462	3.54	0.1246	4.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN15_H	NA	NA	67	1	UCL
70	NA	2020-12-23	NA	0.2181	2.91	0.1099	2.08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN7_L	NA	NA	70	1	UCL
74	NA	2020-12-23	NA	0.2551	3.6	0.1642	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN7_H	NA	NA	74	1	UCL
76	NA	2020-12-23	NA	NA	NA	0.0057	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN6_H	NA	NA	76	1	UCL
78	NA	2020-12-23	NA	0.2602	3.83	0.1232	3.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN9_H	NA	NA	78	1	UCL
81	NA	2020-12-23	NA	0.3547	5.18	0.1736	3.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	NA	81	1	UCL
83	NA	2020-12-23	NA	0.2291	3.24	0.1097	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN12_H	NA	NA	83	1	UCL
85	NA	2020-12-23	NA	0.2698	3.6	0.1401	2.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN11_H	NA	NA	85	1	UCL
90	NA	2020-12-23	NA	NA	0	0.0064	0.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	NA	90	1	UCL
91	NA	2020-12-23	NA	0.2654	3.16	0.1043	1.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	NA	91	1	UCL
93	NA	2020-12-23	NA	0.2223	3.14	0.1052	2.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	NA	93	1	UCL
96	NA	2020-12-23	NA	0.148	1.53	0.0572	0.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN11_L	NA	NA	96	1	UCL
99	NA	2020-12-23	NA	0.3878	5.51	0.2042	4.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN13_H	NA	NA	99	1	UCL
102	NA	2020-12-23	NA	0.1869	2.85	0.0899	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN9_H	NA	NA	3	2	UCL
103	NA	2020-12-23	NA	0.3253	5.12	0.1269	2.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN10_H	NA	NA	4	2	UCL
106	NA	2020-12-23	NA	0.202	2.64	0.0947	2.14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN20_T	NA	NA	7	2	UCL
107	NA	2020-12-23	NA	0.2025	2.88	0.1132	2.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN7_L	NA	NA	8	2	UCL
108	NA	2020-12-23	NA	0.3703	5.7	0.1564	3.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN14_H	NA	NA	9	2	UCL
109	NA	2020-12-23	NA	0.2474	3.48	0.0848	1.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_L	NA	NA	10	2	UCL
110	NA	2020-12-23	NA	0.1185	1.48	0.0324	0.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN15_L	NA	NA	11	2	UCL
112	NA	2020-12-23	NA	0.2159	2.91	0.0773	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN12_L	NA	NA	13	2	UCL
114	NA	2020-12-23	NA	0.196	2.6	0.0919	2.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN4_H	NA	NA	15	2	UCL
115	NA	2020-12-23	NA	0.0758	1.01	0.0266	0.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN13_L	NA	NA	16	2	UCL
116	NA	2020-12-23	NA	0.0701	0.84	0.0096	0.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN10_L	NA	NA	17	2	UCL
118	NA	2020-12-23	NA	0.3995	6.6	0.1849	4.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN8_H	NA	NA	19	2	UCL
119	NA	2020-12-23	NA	0.3264	4.86	0.085	1.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Local	NA	NA	20	2	UCL
120	NA	2020-12-23	NA	0.2676	3.47	0.0844	1.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN8_L	NA	NA	21	2	UCL
121	NA	2020-12-23	NA	0.3374	4.99	0.1409	3.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN12_H	NA	NA	22	2	UCL
122	NA	2020-12-23	NA	0.3177	4.9	0.1236	3.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Local	NA	NA	23	2	UCL
123	NA	2020-12-23	NA	0.2154	3.49	0.1321	3.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN15_H	NA	NA	24	2	UCL
124	NA	2020-12-23	NA	0.402	5.59	0.1426	4.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN11_H	NA	NA	25	2	UCL
127	NA	2020-12-23	NA	0.3287	4.57	0.1717	4.15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_L	NA	NA	28	2	UCL
128	NA	2020-12-23	NA	0.2225	3.04	0.1391	3.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN2_H	NA	NA	29	2	UCL
129	NA	2020-12-23	NA	0.253	3.67	0.0935	2.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN3_H	NA	NA	30	2	UCL
131	NA	2020-12-23	NA	0.3746	5.49	0.1255	3.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	NA	32	2	UCL
133	NA	2020-12-23	NA	0.2051	3.27	0.0592	1.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN9_L	NA	NA	34	2	UCL
135	NA	2020-12-23	NA	0.4374	6.32	0.1571	4.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	EPPN1_H	NA	NA	36	2	UCL
