plotId	timePoint	S_Height_cm	yPred	sd_yPred	lwr	upr	outlier
1	2021-06-13T00:00:00Z	1.64	2.1577307151871343	0.5177503553864449	0.6044796490277997	3.7109817813464687	0
1	2021-06-14T00:00:00Z	2.32	2.1548778667470287	0.31841841123772424	1.199622633033856	3.1101331004602013	0
1	2021-06-15T00:00:00Z	2.01	2.228965003520653	0.19732939602570598	1.6369768154435351	2.8209531915977712	0
1	2021-06-16T00:00:00Z	2.36	2.4263452898175726	0.177829526655999	1.8928567098495757	2.9598338697855695	0
1	2021-06-17T00:00:00Z	2.02	2.6919731743073942	0.1996228183219849	2.0931047193414396	3.290841629273349	1
1	2021-06-18T00:00:00Z	3.55	2.991877790243933	0.20698713525776105	2.37091638447065	3.6128391960172164	0
1	2021-06-19T00:00:00Z	3.49	3.305306854675314	0.2116846255840808	2.6702529779230715	3.9403607314275564	0
1	2021-06-20T00:00:00Z	3.04	3.3186872152193865	0.21430512871806412	2.6757718290651944	3.9616026013735786	0
1	2021-06-21T00:00:00Z	3.38	3.2404620993420075	0.21823882283637783	2.585745630832874	3.895178567851141	0
1	2021-06-22T00:00:00Z	3.42	3.631411488443252	0.2143051287180641	2.9884961022890595	4.2743268745974445	0
1	2021-06-23T00:00:00Z	4.05	4.075241108624969	0.21168462558408085	3.4401872318727262	4.710294985377211	0
1	2021-06-24T00:00:00Z	4.78	4.485050994760623	0.20698713525776105	3.86408958898734	5.106012400533906	0
1	2021-06-25T00:00:00Z	4.71	4.716762066806342	0.1996228183219849	4.117893611840387	5.315630521772297	0
1	2021-06-26T00:00:00Z	4.6	4.795856937478611	0.177829526655999	4.2623683575106135	5.329345517446608	0
1	2021-06-27T00:00:00Z	4.65	4.762338738737145	0.19732939602570598	4.170350550660027	5.354326926814263	0
1	2021-06-28T00:00:00Z	4.74	4.632027499625487	0.31841841123772424	3.676772265912314	5.587282733338659	0
2	2021-06-13T00:00:00Z	1.82	2.1632785252218585	0.5181767763334734	0.6087481962214385	3.7178088542222785	0
2	2021-06-14T00:00:00Z	2.52	2.389505128189108	0.31868066172014053	1.4334631430286864	3.3455471133495296	0
2	2021-06-15T00:00:00Z	2.43	2.6280469702712406	0.1974919171848987	2.0355712187165445	3.2205227218259367	0
2	2021-06-16T00:00:00Z	2.8	2.9018301370079427	0.17797598765670591	2.367902174037825	3.4357580999780604	0
2	2021-06-17T00:00:00Z	3.23	3.1979635289349333	0.19978722835155177	2.598601843880278	3.7973252139895886	0
2	2021-06-18T00:00:00Z	3.68	3.4891659265765487	0.20715761056370932	2.8676930948854205	4.110638758267677	0
2	2021-06-19T00:00:00Z	3.73	3.7634658379289383	0.2118589697589787	3.127888928652002	4.399042747205875	0
2	2021-06-20T00:00:00Z	3.82	4.256200338109088	0.21448163114822238	3.612755444664421	4.899645231553755	0
2	2021-06-21T00:00:00Z	4.88	4.75030656768085	0.21841856507034077	4.095050872469828	5.4055622628918725	0
2	2021-06-22T00:00:00Z	5.44	4.758696165499642	0.21448163114822236	4.115251272054975	5.402141058944309	1
2	2021-06-23T00:00:00Z	4.26	4.638101001127188	0.21185896975897872	4.002524091850252	5.273677910404124	0
2	2021-06-24T00:00:00Z	4	4.364012064345255	0.20715761056370932	3.742539232654127	4.985484896036383	0
2	2021-06-25T00:00:00Z	4.52	4.386224245050447	0.19978722835155177	3.7868625599957917	4.985585930105103	0
2	2021-06-26T00:00:00Z	4.95	4.664135901235826	0.17797598765670591	4.130207938265709	5.198063864205944	0
2	2021-06-27T00:00:00Z	5.19	5.113795607824563	0.1974919171848987	4.521319856269867	5.706271359379259	0
2	2021-06-28T00:00:00Z	5.59	5.706230087824707	0.31868066172014053	4.750188102664286	6.662272072985129	0
3	2021-06-13T00:00:00Z	1.99	2.2713615949061436	0.4883966661133339	0.806171596566142	3.736551593246145	0
3	2021-06-14T00:00:00Z	2.67	2.2916137082212584	0.3060240218001981	1.3735416428206642	3.2096857736218527	0
3	2021-06-15T00:00:00Z	2.66	2.347521234702269	0.2892460226288485	1.4797831668157235	3.215259302588815	0
3	2021-06-16T00:00:00Z	2.13	2.3543030752513063	0.3156865167434184	1.407243525021051	3.301362625481562	0
3	2021-06-17T00:00:00Z	2.88	2.509329048762957	0.3249360227131542	1.5345209806234943	3.48413711690242	0
3	2021-06-18T00:00:00Z	2.26	3.0259755693944	0.32099487957080314	2.0629909306819902	3.9889602081068096	0
