timestamp	date	plantbarcode	genotype	type	Column	Row	replica	potId	fresh_weight	manual_plant_height
2020-10-03 12:00:00	2020-10-03	DIC09D11E09	EPPN1_H	Hybrid	14	8	9	c8r14	23.1	77
2020-10-03 12:00:00	2020-10-03	DIC09D11E10	EPPN1_H	Hybrid	14	14	10	c14r14	105.8	132
2020-10-03 12:00:00	2020-10-03	DIC09D11F01	EPPN2_H	Hybrid	18	10	1	c10r18	92.4	99
2020-10-03 12:00:00	2020-10-03	DIC09D11F02	EPPN2_H	Hybrid	18	20	2	c20r18	36.3	94
2020-10-03 12:00:00	2020-10-03	DIC09D11F03	EPPN2_H	Hybrid	17	6	3	c6r17	83.8	103
2020-10-03 12:00:00	2020-10-03	DIC09D11F04	EPPN2_H	Hybrid	17	22	4	c22r17	97.8	120
2020-10-03 12:00:00	2020-10-03	DIC09D11F05	EPPN2_H	Hybrid	16	8	5	c8r16	86.4	131
2020-10-03 12:00:00	2020-10-03	DIC09D11F06	EPPN2_H	Hybrid	16	22	6	c22r16	107.2	141
2020-10-03 12:00:00	2020-10-03	DIC09D11F07	EPPN2_H	Hybrid	15	3	7	c3r15	123	139
2020-10-03 12:00:00	2020-10-03	DIC09D11F08	EPPN2_H	Hybrid	15	16	8	c16r15	60.1	104
2020-10-03 12:00:00	2020-10-03	DIC09D11F09	EPPN2_H	Hybrid	14	2	9	c2r14	93	125
2020-10-03 12:00:00	2020-10-03	DIC09D11F10	EPPN2_H	Hybrid	14	25	10	c25r14	39.9	94
2020-10-03 12:00:00	2020-10-03	DIC09D11G01	EPPN3_H	Hybrid	18	1	1	c1r18	118.5	140
2020-10-03 12:00:00	2020-10-03	DIC09D11G02	EPPN3_H	Hybrid	18	13	2	c13r18	82.3	83
2020-10-03 12:00:00	2020-10-03	DIC09D11G03	EPPN3_H	Hybrid	17	7	3	c7r17	93.9	123
2020-10-03 12:00:00	2020-10-03	DIC09D11G04	EPPN3_H	Hybrid	17	14	4	c14r17	108.3	124
2020-10-03 12:00:00	2020-10-03	DIC09D11G05	EPPN3_H	Hybrid	16	12	5	c12r16	125.9	141
2020-10-03 12:00:00	2020-10-03	DIC09D11G06	EPPN3_H	Hybrid	16	23	6	c23r16	70.9	121
2020-10-03 12:00:00	2020-10-03	DIC09D11G07	EPPN3_H	Hybrid	15	14	7	c14r15	25.7	82
