Date and Time,Type:,Fixture ID:,Measurement:
23/06/2021 11.06.40,Height (mm)                   ,93,"269,00"
23/06/2021 11.03.53,Height (mm)                   ,84,"437,00"
23/06/2021 11.01.05,Height (mm)                   ,75,"417,00"
23/06/2021 10.58.18,Height (mm)                   ,66,"542,00"
23/06/2021 10.55.29,Height (mm)                   ,57,"445,00"
23/06/2021 10.52.38,Height (mm)                   ,48,"606,00"
23/06/2021 10.49.53,Height (mm)                   ,39,"470,00"
23/06/2021 10.47.06,Height (mm)                   ,30,"505,00"
23/06/2021 10.44.21,Height (mm)                   ,21,"420,00"
23/06/2021 10.41.32,Height (mm)                   ,12,"547,00"
23/06/2021 10.39.34,Height (mm)                   ,3,"495,00"
23/06/2021 10.35.57,Height (mm)                   ,112,"346,00"
23/06/2021 10.33.14,Height (mm)                   ,103,"590,00"
23/06/2021 10.30.26,Height (mm)                   ,94,"370,00"
23/06/2021 10.27.39,Height (mm)                   ,85,"400,00"
23/06/2021 10.24.52,Height (mm)                   ,76,"479,00"
23/06/2021 10.22.04,Height (mm)                   ,67,"518,00"
23/06/2021 10.19.14,Height (mm)                   ,58,"437,00"
23/06/2021 10.16.27,Height (mm)                   ,49,"486,00"
23/06/2021 10.13.42,Height (mm)                   ,40,"457,00"
23/06/2021 10.10.57,Height (mm)                   ,31,"565,00"
23/06/2021 10.08.09,Height (mm)                   ,22,"490,00"
23/06/2021 10.05.23,Height (mm)                   ,13,"523,00"
23/06/2021 10.03.21,Height (mm)                   ,4,"320,00"
23/06/2021 09.59.47,Height (mm)                   ,113,"339,00"
23/06/2021 09.57.00,Height (mm)                   ,104,"415,00"
23/06/2021 09.54.12,Height (mm)                   ,95,"582,00"
23/06/2021 09.51.24,Height (mm)                   ,86,"294,00"
23/06/2021 09.48.36,Height (mm)                   ,77,"511,00"
23/06/2021 09.45.50,Height (mm)                   ,68,"370,00"
23/06/2021 09.43.04,Height (mm)                   ,59,"456,00"
23/06/2021 09.40.16,Height (mm)                   ,50,"539,00"
23/06/2021 09.37.30,Height (mm)                   ,41,"499,00"
23/06/2021 09.34.46,Height (mm)                   ,32,"588,00"
23/06/2021 09.31.56,Height (mm)                   ,23,"218,00"
23/06/2021 09.29.08,Height (mm)                   ,14,"525,00"
23/06/2021 09.27.08,Height (mm)                   ,5,"490,00"
23/06/2021 09.23.31,Height (mm)                   ,114,"303,00"
23/06/2021 09.20.44,Height (mm)                   ,105,"448,00"
23/06/2021 09.17.58,Height (mm)                   ,96,"463,00"
23/06/2021 09.15.11,Height (mm)                   ,87,"547,00"
23/06/2021 09.12.23,Height (mm)                   ,78,"593,00"
23/06/2021 09.09.33,Height (mm)                   ,69,"453,00"
23/06/2021 09.06.47,Height (mm)                   ,60,"463,00"
23/06/2021 09.04.00,Height (mm)                   ,51,"607,00"
23/06/2021 09.01.12,Height (mm)                   ,42,"408,00"
23/06/2021 08.58.23,Height (mm)                   ,33,"560,00"
23/06/2021 08.55.39,Height (mm)                   ,24,"405,00"
23/06/2021 08.52.57,Height (mm)                   ,15,"298,00"
23/06/2021 08.16.31,Height (mm)                   ,16,"558,00"
23/06/2021 08.14.30,Height (mm)                   ,7,"404,00"
23/06/2021 08.10.53,Height (mm)                   ,116,"396,00"
23/06/2021 08.08.07,Height (mm)                   ,107,"552,00"
23/06/2021 08.05.18,Height (mm)                   ,98,"556,00"
23/06/2021 08.02.31,Height (mm)                   ,89,"344,00"
23/06/2021 07.59.43,Height (mm)                   ,80,"507,00"
23/06/2021 07.56.57,Height (mm)                   ,71,"523,00"
23/06/2021 07.54.11,Height (mm)                   ,62,"490,00"
23/06/2021 07.51.22,Height (mm)                   ,53,"362,00"
23/06/2021 07.48.36,Height (mm)                   ,44,"311,00"
23/06/2021 07.45.50,Height (mm)                   ,35,"347,00"
23/06/2021 07.43.03,Height (mm)                   ,26,"544,00"
23/06/2021 07.40.16,Height (mm)                   ,17,"501,00"
23/06/2021 07.38.17,Height (mm)                   ,8,"534,00"
23/06/2021 07.34.38,Height (mm)                   ,117,"460,00"
23/06/2021 07.31.54,Height (mm)                   ,108,"478,00"
23/06/2021 07.29.06,Height (mm)                   ,99,"492,00"
23/06/2021 07.26.20,Height (mm)                   ,90,"440,00"
23/06/2021 07.23.33,Height (mm)                   ,81,"343,00"
23/06/2021 07.20.46,Height (mm)                   ,72,"296,00"
23/06/2021 07.17.59,Height (mm)                   ,63,"497,00"
23/06/2021 07.15.11,Height (mm)                   ,54,"529,00"
23/06/2021 07.12.26,Height (mm)                   ,45,"395,00"
23/06/2021 07.09.39,Height (mm)                   ,36,"502,00"
23/06/2021 07.06.54,Height (mm)                   ,27,"529,00"
23/06/2021 07.04.12,Height (mm)                   ,18,"538,00"
23/06/2021 07.03.18,Height (mm)                   ,9,"395,00"
22/06/2021 18.52.46,Height (mm)                   ,109,"601,00"
22/06/2021 18.50.00,Height (mm)                   ,100,"400,00"
22/06/2021 18.47.09,Height (mm)                   ,91,"417,00"
22/06/2021 18.44.24,Height (mm)                   ,82,"431,00"
22/06/2021 18.41.33,Height (mm)                   ,73,"588,00"
22/06/2021 18.38.46,Height (mm)                   ,64,"428,00"
22/06/2021 18.35.57,Height (mm)                   ,55,"547,00"
22/06/2021 18.33.10,Height (mm)                   ,46,"466,00"
22/06/2021 18.30.23,Height (mm)                   ,37,"275,00"
22/06/2021 18.27.34,Height (mm)                   ,28,"606,00"
22/06/2021 18.24.49,Height (mm)                   ,19,"509,00"
22/06/2021 18.22.01,Height (mm)                   ,10,"445,00"
22/06/2021 18.20.00,Height (mm)                   ,1,"342,00"
22/06/2021 18.16.22,Height (mm)                   ,110,"308,00"
22/06/2021 18.13.37,Height (mm)                   ,101,"488,00"
22/06/2021 18.10.49,Height (mm)                   ,92,"372,00"
22/06/2021 18.08.01,Height (mm)                   ,83,"488,00"
22/06/2021 18.05.13,Height (mm)                   ,74,"423,00"
22/06/2021 18.02.25,Height (mm)                   ,65,"507,00"
22/06/2021 17.59.37,Height (mm)                   ,56,"294,00"
22/06/2021 17.56.51,Height (mm)                   ,47,"520,00"
22/06/2021 17.54.03,Height (mm)                   ,38,"206,00"
22/06/2021 17.51.14,Height (mm)                   ,29,"471,00"
22/06/2021 17.48.26,Height (mm)                   ,20,"283,00"
22/06/2021 17.45.39,Height (mm)                   ,11,"600,00"
22/06/2021 17.43.37,Height (mm)                   ,2,"544,00"
22/06/2021 17.40.02,Height (mm)                   ,111,"312,00"
22/06/2021 17.37.19,Height (mm)                   ,102,"447,00"
22/06/2021 17.34.34,Height (mm)                   ,93,"279,00"
22/06/2021 17.31.48,Height (mm)                   ,84,"434,00"
22/06/2021 17.28.58,Height (mm)                   ,75,"379,00"
22/06/2021 17.26.08,Height (mm)                   ,66,"492,00"
22/06/2021 17.23.22,Height (mm)                   ,57,"421,00"
22/06/2021 17.20.34,Height (mm)                   ,48,"585,00"
22/06/2021 17.17.47,Height (mm)                   ,39,"406,00"
22/06/2021 17.14.59,Height (mm)                   ,30,"450,00"
22/06/2021 17.12.11,Height (mm)                   ,21,"272,00"
22/06/2021 17.09.26,Height (mm)                   ,12,"479,00"
22/06/2021 17.07.25,Height (mm)                   ,3,"485,00"
22/06/2021 17.03.47,Height (mm)                   ,112,"361,00"
22/06/2021 17.00.58,Height (mm)                   ,103,"534,00"
22/06/2021 16.58.10,Height (mm)                   ,94,"377,00"
22/06/2021 16.55.22,Height (mm)                   ,85,"356,00"
22/06/2021 16.52.35,Height (mm)                   ,76,"506,00"
22/06/2021 16.49.47,Height (mm)                   ,67,"561,00"
22/06/2021 16.47.01,Height (mm)                   ,58,"390,00"
22/06/2021 16.44.16,Height (mm)                   ,49,"467,00"
22/06/2021 16.41.28,Height (mm)                   ,40,"424,00"
22/06/2021 16.38.40,Height (mm)                   ,31,"531,00"
22/06/2021 16.35.56,Height (mm)                   ,22,"412,00"
22/06/2021 16.33.09,Height (mm)                   ,13,"538,00"
22/06/2021 16.31.08,Height (mm)                   ,4,"326,00"
22/06/2021 16.27.33,Height (mm)                   ,113,"339,00"
22/06/2021 16.24.49,Height (mm)                   ,104,"379,00"
22/06/2021 16.22.02,Height (mm)                   ,95,"564,00"
22/06/2021 16.19.13,Height (mm)                   ,86,"255,00"
22/06/2021 16.16.27,Height (mm)                   ,77,"550,00"
22/06/2021 16.13.39,Height (mm)                   ,68,"354,00"
22/06/2021 16.10.53,Height (mm)                   ,59,"393,00"
22/06/2021 16.08.05,Height (mm)                   ,50,"508,00"
22/06/2021 16.05.17,Height (mm)                   ,41,"416,00"
22/06/2021 16.02.29,Height (mm)                   ,32,"539,00"
22/06/2021 15.59.45,Height (mm)                   ,23,"240,00"
22/06/2021 15.56.58,Height (mm)                   ,14,"450,00"
22/06/2021 15.55.00,Height (mm)                   ,5,"444,00"
22/06/2021 15.51.23,Height (mm)                   ,114,"275,00"
22/06/2021 15.48.38,Height (mm)                   ,105,"468,00"
22/06/2021 15.45.50,Height (mm)                   ,96,"433,00"
22/06/2021 15.43.02,Height (mm)                   ,87,"544,00"
22/06/2021 15.40.15,Height (mm)                   ,78,"551,00"
22/06/2021 15.37.31,Height (mm)                   ,69,"439,00"
22/06/2021 15.34.45,Height (mm)                   ,60,"486,00"
22/06/2021 15.31.58,Height (mm)                   ,51,"599,00"
22/06/2021 15.29.11,Height (mm)                   ,42,"397,00"
22/06/2021 15.26.22,Height (mm)                   ,33,"496,00"
22/06/2021 15.23.34,Height (mm)                   ,24,"415,00"
22/06/2021 15.20.44,Height (mm)                   ,15,"283,00"
22/06/2021 15.18.41,Height (mm)                   ,6,"318,00"
22/06/2021 15.15.04,Height (mm)                   ,115,"376,00"
22/06/2021 15.12.19,Height (mm)                   ,106,"482,00"
22/06/2021 15.09.29,Height (mm)                   ,97,"422,00"
22/06/2021 15.06.42,Height (mm)                   ,88,"512,00"
22/06/2021 15.03.58,Height (mm)                   ,79,"252,00"
22/06/2021 15.01.09,Height (mm)                   ,70,"369,00"
22/06/2021 14.58.23,Height (mm)                   ,61,"566,00"
22/06/2021 14.55.37,Height (mm)                   ,52,"349,00"
22/06/2021 14.52.48,Height (mm)                   ,43,"509,00"
22/06/2021 14.50.01,Height (mm)                   ,34,"437,00"
22/06/2021 14.47.15,Height (mm)                   ,25,"536,00"
22/06/2021 14.44.30,Height (mm)                   ,16,"487,00"
22/06/2021 14.42.31,Height (mm)                   ,7,"339,00"
22/06/2021 14.38.54,Height (mm)                   ,116,"360,00"
22/06/2021 14.36.10,Height (mm)                   ,107,"516,00"
22/06/2021 14.33.23,Height (mm)                   ,98,"501,00"
22/06/2021 14.30.35,Height (mm)                   ,89,"354,00"
22/06/2021 14.27.48,Height (mm)                   ,80,"476,00"
22/06/2021 14.25.04,Height (mm)                   ,71,"458,00"
22/06/2021 14.22.17,Height (mm)                   ,62,"493,00"
22/06/2021 14.19.30,Height (mm)                   ,53,"324,00"
22/06/2021 14.16.42,Height (mm)                   ,44,"296,00"
22/06/2021 14.13.56,Height (mm)                   ,35,"321,00"
22/06/2021 14.11.07,Height (mm)                   ,26,"533,00"
22/06/2021 14.08.20,Height (mm)                   ,17,"519,00"
22/06/2021 14.06.23,Height (mm)                   ,8,"482,00"
22/06/2021 14.02.46,Height (mm)                   ,117,"411,00"
22/06/2021 14.00.01,Height (mm)                   ,108,"428,00"
22/06/2021 13.57.11,Height (mm)                   ,99,"441,00"
22/06/2021 13.54.27,Height (mm)                   ,90,"457,00"
22/06/2021 13.51.37,Height (mm)                   ,81,"311,00"
22/06/2021 13.48.51,Height (mm)                   ,72,"294,00"
22/06/2021 13.46.06,Height (mm)                   ,63,"515,00"
22/06/2021 13.43.19,Height (mm)                   ,54,"537,00"
22/06/2021 13.40.30,Height (mm)                   ,45,"363,00"
22/06/2021 13.37.43,Height (mm)                   ,36,"464,00"
22/06/2021 13.34.56,Height (mm)                   ,27,"553,00"
22/06/2021 13.32.20,Height (mm)                   ,18,"576,00"
22/06/2021 13.31.30,Height (mm)                   ,9,"398,00"
22/06/2021 12.36.12,Height (mm)                   ,109,"602,00"
22/06/2021 12.33.22,Height (mm)                   ,100,"384,00"
22/06/2021 12.30.39,Height (mm)                   ,91,"392,00"
22/06/2021 12.27.52,Height (mm)                   ,82,"401,00"
22/06/2021 12.24.53,Height (mm)                   ,73,"572,00"
22/06/2021 12.21.52,Height (mm)                   ,64,"411,00"
22/06/2021 12.19.06,Height (mm)                   ,55,"576,00"
22/06/2021 12.16.04,Height (mm)                   ,46,"458,00"
22/06/2021 12.13.05,Height (mm)                   ,37,"272,00"
22/06/2021 12.10.11,Height (mm)                   ,28,"581,00"
22/06/2021 12.07.27,Height (mm)                   ,19,"505,00"
22/06/2021 12.04.34,Height (mm)                   ,10,"422,00"
22/06/2021 12.02.41,Height (mm)                   ,1,"348,00"
22/06/2021 11.58.49,Height (mm)                   ,110,"312,00"
22/06/2021 11.56.05,Height (mm)                   ,101,"484,00"
22/06/2021 11.53.08,Height (mm)                   ,92,"359,00"
22/06/2021 11.50.14,Height (mm)                   ,83,"477,00"
22/06/2021 11.47.22,Height (mm)                   ,74,"448,00"
22/06/2021 11.44.19,Height (mm)                   ,65,"501,00"
22/06/2021 11.41.17,Height (mm)                   ,56,"296,00"
22/06/2021 11.38.09,Height (mm)                   ,47,"515,00"
22/06/2021 11.35.15,Height (mm)                   ,38,"212,00"
22/06/2021 11.32.13,Height (mm)                   ,29,"460,00"
22/06/2021 11.29.02,Height (mm)                   ,20,"280,00"
22/06/2021 11.26.08,Height (mm)                   ,11,"581,00"
22/06/2021 11.24.04,Height (mm)                   ,2,"540,00"
22/06/2021 11.20.28,Height (mm)                   ,111,"316,00"
22/06/2021 11.17.30,Height (mm)                   ,102,"429,00"
22/06/2021 11.14.43,Height (mm)                   ,93,"272,00"
22/06/2021 11.11.49,Height (mm)                   ,84,"418,00"
22/06/2021 11.09.04,Height (mm)                   ,75,"363,00"
22/06/2021 11.06.23,Height (mm)                   ,66,"473,00"
22/06/2021 11.03.34,Height (mm)                   ,57,"422,00"
22/06/2021 11.00.28,Height (mm)                   ,48,"597,00"
22/06/2021 10.57.47,Height (mm)                   ,39,"380,00"
22/06/2021 10.54.47,Height (mm)                   ,30,"428,00"
22/06/2021 10.51.48,Height (mm)                   ,21,"274,00"
22/06/2021 10.48.48,Height (mm)                   ,12,"604,00"
22/06/2021 10.46.52,Height (mm)                   ,3,"444,00"
22/06/2021 10.43.14,Height (mm)                   ,112,"356,00"
22/06/2021 10.40.18,Height (mm)                   ,103,"510,00"
22/06/2021 10.37.33,Height (mm)                   ,94,"370,00"
22/06/2021 10.34.29,Height (mm)                   ,85,"269,00"
22/06/2021 10.31.35,Height (mm)                   ,76,"485,00"
22/06/2021 10.28.32,Height (mm)                   ,67,"551,00"
22/06/2021 10.25.50,Height (mm)                   ,58,"363,00"
22/06/2021 10.22.55,Height (mm)                   ,49,"446,00"
22/06/2021 10.20.11,Height (mm)                   ,40,"424,00"
22/06/2021 10.17.13,Height (mm)                   ,31,"534,00"
22/06/2021 10.14.17,Height (mm)                   ,22,"393,00"
22/06/2021 10.11.13,Height (mm)                   ,13,"524,00"
22/06/2021 10.09.08,Height (mm)                   ,4,"334,00"
22/06/2021 10.05.34,Height (mm)                   ,113,"338,00"
22/06/2021 10.02.36,Height (mm)                   ,104,"371,00"
22/06/2021 09.59.29,Height (mm)                   ,95,"529,00"
22/06/2021 09.56.15,Height (mm)                   ,86,"245,00"
22/06/2021 09.53.11,Height (mm)                   ,77,"589,00"
22/06/2021 09.50.30,Height (mm)                   ,68,"356,00"
22/06/2021 09.47.44,Height (mm)                   ,59,"373,00"
22/06/2021 09.45.01,Height (mm)                   ,50,"489,00"
22/06/2021 09.42.14,Height (mm)                   ,41,"390,00"
22/06/2021 09.39.15,Height (mm)                   ,32,"528,00"
22/06/2021 09.36.13,Height (mm)                   ,23,"233,00"
22/06/2021 09.33.30,Height (mm)                   ,14,"400,00"
22/06/2021 09.31.29,Height (mm)                   ,5,"424,00"
22/06/2021 09.27.37,Height (mm)                   ,114,"256,00"
22/06/2021 09.24.45,Height (mm)                   ,105,"451,00"
22/06/2021 09.21.48,Height (mm)                   ,96,"441,00"
22/06/2021 09.19.09,Height (mm)                   ,87,"528,00"
22/06/2021 09.16.12,Height (mm)                   ,78,"535,00"
22/06/2021 09.13.17,Height (mm)                   ,69,"435,00"
22/06/2021 09.10.20,Height (mm)                   ,60,"474,00"
22/06/2021 09.07.29,Height (mm)                   ,51,"584,00"
22/06/2021 09.04.48,Height (mm)                   ,42,"398,00"
22/06/2021 09.02.09,Height (mm)                   ,33,"451,00"
22/06/2021 08.59.09,Height (mm)                   ,24,"428,00"
22/06/2021 08.56.16,Height (mm)                   ,15,"289,00"
22/06/2021 08.54.11,Height (mm)                   ,6,"322,00"
22/06/2021 08.50.20,Height (mm)                   ,115,"310,00"
22/06/2021 08.47.39,Height (mm)                   ,106,"479,00"
22/06/2021 08.44.42,Height (mm)                   ,97,"392,00"
22/06/2021 08.41.47,Height (mm)                   ,88,"487,00"
22/06/2021 08.39.00,Height (mm)                   ,79,"226,00"
22/06/2021 08.36.10,Height (mm)                   ,70,"380,00"
22/06/2021 08.33.18,Height (mm)                   ,61,"548,00"
22/06/2021 08.30.29,Height (mm)                   ,52,"336,00"
22/06/2021 08.27.44,Height (mm)                   ,43,"510,00"
22/06/2021 08.25.04,Height (mm)                   ,34,"438,00"
22/06/2021 08.22.10,Height (mm)                   ,25,"512,00"
22/06/2021 08.19.12,Height (mm)                   ,16,"467,00"
22/06/2021 08.17.05,Height (mm)                   ,7,"366,00"
22/06/2021 08.13.19,Height (mm)                   ,116,"371,00"
22/06/2021 08.10.25,Height (mm)                   ,107,"500,00"
22/06/2021 08.07.31,Height (mm)                   ,98,"461,00"
22/06/2021 08.04.36,Height (mm)                   ,89,"376,00"
22/06/2021 08.01.38,Height (mm)                   ,80,"478,00"
22/06/2021 07.58.39,Height (mm)                   ,71,"353,00"
22/06/2021 07.55.52,Height (mm)                   ,62,"479,00"
22/06/2021 07.52.58,Height (mm)                   ,53,"333,00"
22/06/2021 07.50.04,Height (mm)                   ,44,"289,00"
22/06/2021 07.47.04,Height (mm)                   ,35,"335,00"
22/06/2021 07.44.08,Height (mm)                   ,26,"509,00"
22/06/2021 07.41.17,Height (mm)                   ,17,"513,00"
22/06/2021 07.39.03,Height (mm)                   ,8,"545,00"
22/06/2021 07.35.19,Height (mm)                   ,117,"389,00"
22/06/2021 07.32.29,Height (mm)                   ,108,"411,00"
22/06/2021 07.29.33,Height (mm)                   ,99,"424,00"
22/06/2021 07.26.47,Height (mm)                   ,90,"464,00"
22/06/2021 07.24.04,Height (mm)                   ,81,"305,00"
22/06/2021 07.21.14,Height (mm)                   ,72,"301,00"
22/06/2021 07.18.21,Height (mm)                   ,63,"505,00"
22/06/2021 07.15.29,Height (mm)                   ,54,"548,00"
22/06/2021 07.12.47,Height (mm)                   ,45,"341,00"
22/06/2021 07.09.47,Height (mm)                   ,36,"440,00"
22/06/2021 07.07.06,Height (mm)                   ,27,"584,00"
22/06/2021 07.04.10,Height (mm)                   ,18,"551,00"
22/06/2021 07.03.13,Height (mm)                   ,9,"414,00"
21/06/2021 18.32.30,Height (mm)                   ,109,"537,00"
21/06/2021 18.29.51,Height (mm)                   ,100,"356,00"
21/06/2021 18.27.09,Height (mm)                   ,91,"370,00"
21/06/2021 18.24.06,Height (mm)                   ,82,"333,00"
21/06/2021 18.21.17,Height (mm)                   ,73,"542,00"
21/06/2021 18.18.15,Height (mm)                   ,64,"376,00"
21/06/2021 18.15.30,Height (mm)                   ,55,"548,00"
21/06/2021 18.12.30,Height (mm)                   ,46,"424,00"
21/06/2021 18.09.24,Height (mm)                   ,37,"282,00"
21/06/2021 18.06.43,Height (mm)                   ,28,"509,00"
21/06/2021 18.03.49,Height (mm)                   ,19,"465,00"
21/06/2021 18.00.55,Height (mm)                   ,10,"418,00"
21/06/2021 17.58.47,Height (mm)                   ,1,"338,00"
21/06/2021 17.55.00,Height (mm)                   ,110,"313,00"
21/06/2021 17.52.18,Height (mm)                   ,101,"437,00"
21/06/2021 17.49.17,Height (mm)                   ,92,"326,00"
21/06/2021 17.46.36,Height (mm)                   ,83,"492,00"
21/06/2021 17.43.55,Height (mm)                   ,74,"465,00"
21/06/2021 17.41.07,Height (mm)                   ,65,"465,00"
21/06/2021 17.38.18,Height (mm)                   ,56,"302,00"
21/06/2021 17.35.19,Height (mm)                   ,47,"504,00"
21/06/2021 17.32.24,Height (mm)                   ,38,"203,00"
21/06/2021 17.29.25,Height (mm)                   ,29,"442,00"
21/06/2021 17.26.20,Height (mm)                   ,20,"282,00"
21/06/2021 17.23.38,Height (mm)                   ,11,"505,00"
21/06/2021 17.21.26,Height (mm)                   ,2,"488,00"
21/06/2021 17.17.53,Height (mm)                   ,111,"347,00"
21/06/2021 17.14.58,Height (mm)                   ,102,"406,00"
21/06/2021 17.12.13,Height (mm)                   ,93,"267,00"
21/06/2021 17.09.30,Height (mm)                   ,84,"389,00"
21/06/2021 17.06.46,Height (mm)                   ,75,"347,00"
21/06/2021 17.04.06,Height (mm)                   ,66,"427,00"
21/06/2021 17.01.12,Height (mm)                   ,57,"355,00"
21/06/2021 16.58.08,Height (mm)                   ,48,"588,00"
21/06/2021 16.55.27,Height (mm)                   ,39,"373,00"
21/06/2021 16.52.30,Height (mm)                   ,30,"384,00"
21/06/2021 16.49.30,Height (mm)                   ,21,"270,00"
21/06/2021 16.46.26,Height (mm)                   ,12,"600,00"
21/06/2021 16.44.31,Height (mm)                   ,3,"388,00"
21/06/2021 16.40.56,Height (mm)                   ,112,"357,00"
21/06/2021 16.37.59,Height (mm)                   ,103,"491,00"
21/06/2021 16.35.17,Height (mm)                   ,94,"332,00"
21/06/2021 16.32.17,Height (mm)                   ,85,"259,00"
21/06/2021 16.29.33,Height (mm)                   ,76,"436,00"
21/06/2021 16.26.44,Height (mm)                   ,67,"503,00"
21/06/2021 16.23.50,Height (mm)                   ,58,"332,00"
21/06/2021 16.21.09,Height (mm)                   ,49,"415,00"
21/06/2021 16.18.11,Height (mm)                   ,40,"416,00"
21/06/2021 16.15.25,Height (mm)                   ,31,"531,00"
21/06/2021 16.12.41,Height (mm)                   ,22,"390,00"
21/06/2021 16.09.42,Height (mm)                   ,13,"480,00"
21/06/2021 16.07.35,Height (mm)                   ,4,"346,00"
21/06/2021 16.03.52,Height (mm)                   ,113,"325,00"
21/06/2021 16.00.58,Height (mm)                   ,104,"331,00"
21/06/2021 15.57.54,Height (mm)                   ,95,"430,00"
21/06/2021 15.54.46,Height (mm)                   ,86,"227,00"
21/06/2021 15.51.47,Height (mm)                   ,77,"533,00"
21/06/2021 15.48.53,Height (mm)                   ,68,"386,00"
21/06/2021 15.45.54,Height (mm)                   ,59,"315,00"
21/06/2021 15.43.11,Height (mm)                   ,50,"460,00"
21/06/2021 15.40.09,Height (mm)                   ,41,"389,00"
21/06/2021 15.37.07,Height (mm)                   ,32,"581,00"
21/06/2021 15.34.06,Height (mm)                   ,23,"234,00"
21/06/2021 15.31.23,Height (mm)                   ,14,"412,00"
21/06/2021 15.29.20,Height (mm)                   ,5,"406,00"
21/06/2021 15.25.32,Height (mm)                   ,114,"256,00"
21/06/2021 15.22.40,Height (mm)                   ,105,"409,00"
21/06/2021 15.19.47,Height (mm)                   ,96,"456,00"
21/06/2021 15.16.53,Height (mm)                   ,87,"516,00"
21/06/2021 15.14.10,Height (mm)                   ,78,"531,00"
21/06/2021 15.11.18,Height (mm)                   ,69,"416,00"
21/06/2021 15.08.22,Height (mm)                   ,60,"460,00"
21/06/2021 15.05.34,Height (mm)                   ,51,"550,00"
21/06/2021 15.02.42,Height (mm)                   ,42,"398,00"
21/06/2021 14.59.48,Height (mm)                   ,33,"385,00"
21/06/2021 14.56.46,Height (mm)                   ,24,"413,00"
21/06/2021 14.53.54,Height (mm)                   ,15,"262,00"
21/06/2021 14.51.47,Height (mm)                   ,6,"317,00"
21/06/2021 14.47.59,Height (mm)                   ,115,"288,00"
21/06/2021 14.45.07,Height (mm)                   ,106,"440,00"
21/06/2021 14.42.13,Height (mm)                   ,97,"411,00"
21/06/2021 14.39.13,Height (mm)                   ,88,"413,00"
21/06/2021 14.36.25,Height (mm)                   ,79,"228,00"
21/06/2021 14.33.29,Height (mm)                   ,70,"357,00"
21/06/2021 14.30.37,Height (mm)                   ,61,"492,00"
21/06/2021 14.27.36,Height (mm)                   ,52,"304,00"
21/06/2021 14.24.42,Height (mm)                   ,43,"498,00"
21/06/2021 14.21.49,Height (mm)                   ,34,"430,00"
21/06/2021 14.18.55,Height (mm)                   ,25,"453,00"
21/06/2021 14.16.13,Height (mm)                   ,16,"401,00"
21/06/2021 14.14.05,Height (mm)                   ,7,"430,00"
21/06/2021 14.10.35,Height (mm)                   ,116,"358,00"
21/06/2021 14.07.53,Height (mm)                   ,107,"441,00"
21/06/2021 14.05.09,Height (mm)                   ,98,"436,00"
21/06/2021 14.02.26,Height (mm)                   ,89,"340,00"
21/06/2021 13.59.41,Height (mm)                   ,80,"432,00"
21/06/2021 13.56.59,Height (mm)                   ,71,"352,00"
21/06/2021 13.54.15,Height (mm)                   ,62,"432,00"
21/06/2021 13.51.31,Height (mm)                   ,53,"317,00"
21/06/2021 13.48.47,Height (mm)                   ,44,"244,00"
21/06/2021 13.46.06,Height (mm)                   ,35,"325,00"
21/06/2021 13.43.24,Height (mm)                   ,26,"405,00"
21/06/2021 13.40.39,Height (mm)                   ,17,"481,00"
21/06/2021 13.38.42,Height (mm)                   ,8,"576,00"
21/06/2021 13.35.10,Height (mm)                   ,117,"462,00"
21/06/2021 13.32.19,Height (mm)                   ,108,"362,00"
21/06/2021 13.29.34,Height (mm)                   ,99,"386,00"
21/06/2021 13.26.41,Height (mm)                   ,90,"505,00"
21/06/2021 13.24.00,Height (mm)                   ,81,"289,00"
21/06/2021 13.20.56,Height (mm)                   ,72,"286,00"
21/06/2021 13.18.02,Height (mm)                   ,63,"501,00"
21/06/2021 13.14.59,Height (mm)                   ,54,"530,00"
21/06/2021 13.12.14,Height (mm)                   ,45,"346,00"
21/06/2021 13.09.30,Height (mm)                   ,36,"457,00"
21/06/2021 13.06.47,Height (mm)                   ,27,"544,00"
21/06/2021 13.04.04,Height (mm)                   ,18,"461,00"
21/06/2021 13.03.13,Height (mm)                   ,9,"406,00"
21/06/2021 11.04.08,Height (mm)                   ,109,"499,00"
21/06/2021 11.02.03,Height (mm)                   ,100,"329,00"
21/06/2021 10.59.57,Height (mm)                   ,91,"368,00"
21/06/2021 10.57.50,Height (mm)                   ,82,"329,00"
21/06/2021 10.55.46,Height (mm)                   ,73,"529,00"
21/06/2021 10.53.40,Height (mm)                   ,64,"357,00"
21/06/2021 10.51.44,Height (mm)                   ,55,"571,00"
21/06/2021 10.49.38,Height (mm)                   ,46,"414,00"
21/06/2021 10.47.33,Height (mm)                   ,37,"277,00"
21/06/2021 10.45.28,Height (mm)                   ,28,"477,00"
21/06/2021 10.43.21,Height (mm)                   ,19,"486,00"
21/06/2021 10.41.01,Height (mm)                   ,10,"400,00"
21/06/2021 10.39.34,Height (mm)                   ,1,"327,00"
21/06/2021 10.36.38,Height (mm)                   ,110,"305,00"
21/06/2021 10.34.35,Height (mm)                   ,101,"425,00"
21/06/2021 10.32.29,Height (mm)                   ,92,"310,00"
21/06/2021 10.30.35,Height (mm)                   ,83,"482,00"
21/06/2021 10.28.28,Height (mm)                   ,74,"443,00"
21/06/2021 10.26.23,Height (mm)                   ,65,"482,00"
21/06/2021 10.24.16,Height (mm)                   ,56,"306,00"
21/06/2021 10.22.11,Height (mm)                   ,47,"452,00"
21/06/2021 10.20.04,Height (mm)                   ,38,"186,00"
