Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Factor Value[growth substrate effect]
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_67,plant,,,S2
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_68,plant,,,S2
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_69,plant,,,S2
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_70,plant,,,S2
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_71,plant,,,S2
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_72,plant,,,S2
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_73,plant,,,S1
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_74,plant,,,S1
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_75,plant,,,S1
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_76,plant,,,S1
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_77,plant,,,S1
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_78,plant,,,S1
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_79,plant,,,S1
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_80,plant,,,S1
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_81,plant,,,S1
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_82,plant,,,S2
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_83,plant,,,S2
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_84,plant,,,S2
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_85,plant,,,S2
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_86,plant,,,S2
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_87,plant,,,S2
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_88,plant,,,S2
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_89,plant,,,S2
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_90,plant,,,S2
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_91,plant,,,S2
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_92,plant,,,S2
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_93,plant,,,S2
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_94,plant,,,S2
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_95,plant,,,S2
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_96,plant,,,S2
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_97,plant,,,S2
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_98,plant,,,S2
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_99,plant,,,S2
EPPN_T,NCBITAXON:4577,Zea,maize,EPPN_T,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_100,plant,,,S1
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_101,plant,,,S1
EPPN3_H,NCBITAXON:4577,Zea,maize,EPPN3_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_102,plant,,,S1
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_103,plant,,,S1
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_104,plant,,,S1
EPPN4_H,NCBITAXON:4577,Zea,maize,EPPN4_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_105,plant,,,S1
EPPN1_H,NCBITAXON:4577,Zea,maize,EPPN1_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_106,plant,,,S1
EPPN2_H,NCBITAXON:4577,Zea,maize,EPPN2_H,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_107,plant,,,S1
EPPN4_L,NCBITAXON:4577,Zea,maize,EPPN4_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_108,plant,,,S1
EPPN3_L,NCBITAXON:4577,Zea,maize,EPPN3_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_109,plant,,,S1
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_110,plant,,,S2
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_111,plant,,,S2
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_112,plant,,,S1
EPPN2_L,NCBITAXON:4577,Zea,maize,EPPN2_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_113,plant,,,S1
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_114,plant,,,S2
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_115,plant,,,S2
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_116,plant,,,S1
EPPN1_L,NCBITAXON:4577,Zea,maize,EPPN1_L,,,,,,,,,,,"seeds were germinated directly in soil. 3 seeds in each pot and afterwards uniform plants from each pot were selected, thus single plant in each pot",,,,,,,,,,,,,,Growth,pot,1.6kg soil,1,soil,,,automatic by weight,Giant_PlantId_117,plant,,,S1
