"","Number","Maize_cultivar","DW_shoot_g","DW_root_g","Soil","Genotype","Replication"
"85","84","S2,EPPN4_L","2,4","0,9","S2","EPPN4_L","5"
"86","85","S2,EPPN_T","1,6","0,1","S2","EPPN_T","5"
"87","86","S2,EPPN2_L","1,3","0,1","S2","EPPN2_L","5"
"88","87","S2,EPPN1_H","4,5","2,3","S2","EPPN1_H","5"
"89","88","S2,EPPN4_H","3,6","0,9","S2","EPPN4_H","5"
"90","89","S2,EPPN1_L","2,8","1,5","S2","EPPN1_L","5"
"91","90","S2,EPPN3_H","2,3","0,6","S2","EPPN3_H","5"
"92","91","S2,EPPN4_H","2,7","0,7","S2","EPPN4_H","6"
"93","92","S2,EPPN4_L","2,3","0,5","S2","EPPN4_L","6"
"94","93","S2,EPPN2_L","1,0","0,1","S2","EPPN2_L","6"
"95","94","S2,EPPN1_L","2,8","0,7","S2","EPPN1_L","6"
"96","95","S2,EPPN3_H","3,5","0,7","S2","EPPN3_H","6"
"97","96","S2,EPPN_T","1,8","0,7","S2","EPPN_T","6"
"98","97","S2,EPPN2_H","3,7","0,9","S2","EPPN2_H","6"
"99","98","S2,EPPN1_H","4,7","1,3","S2","EPPN1_H","6"
"100","99","S2,EPPN3_L","2,5","0,8","S2","EPPN3_L","6"
"101","100","S1,EPPN_T","1,9","0,1","S1","EPPN_T","6"
"102","101","S1,EPPN1_L","8,0","1,6","S1","EPPN1_L","6"
"103","102","S1,EPPN3_H","3,5","0,5","S1","EPPN3_H","6"
"104","103","S1,EPPN3_L","4,2","0,8","S1","EPPN3_L","6"
"105","104","S1,EPPN2_L","2,9","0,5","S1","EPPN2_L","6"
"106","105","S1,EPPN4_H","3,2","0,6","S1","EPPN4_H","6"
"107","106","S1,EPPN1_H","4,2","0,9","S1","EPPN1_H","6"
"108","107","S1,EPPN2_H","5,3","1,2","S1","EPPN2_H","6"
"109","108","S1,EPPN4_L","3,2","0,8","S1","EPPN4_L","6"
"110","109","S1,EPPN3_L","3,5","0,6","S1","EPPN3_L","7"
"111","110","S2,EPPN2_L","1,2","0,4","S2","EPPN2_L","7"
"112","111","S2,EPPN2_L","1,5","0,4","S2","EPPN2_L","8"
"113","112","S1,EPPN2_L","2,1","0,3","S1","EPPN2_L","7"
"114","113","S1,EPPN2_L","2,0","0,3","S1","EPPN2_L","8"
"115","114","S2,EPPN1_L","1,3","0,4","S2","EPPN1_L","7"
"116","115","S2,EPPN1_L","1,6","0,6","S2","EPPN1_L","8"
"117","116","S1,EPPN1_L","2,9","1,1","S1","EPPN1_L","7"
"118","117","S1,EPPN1_L","3,3","0,9","S1","EPPN1_L","8"
