date	sample_Name	trait	Scale_name	raw_value	OutLier	Corrected_Value
2019-12-03	PLAT015_U4L7R23_353_RT_5791_1pl_Calib_21T_Prel03	Shoot_dry_biomass	g	0.136	NA	NA
2019-12-03	PLAT015_U4L7R24_354_RT_5559_1pl_Calib_22T_Prel03	Shoot_dry_biomass	g	0.2064	NA	NA
2019-11-25	PLAT015_U4L7R1_331_RT_5436_1pl_Calib_21T_Prel01	Root_dry_biomass	g	0.0245	NA	NA
2019-11-25	PLAT015_U4L7R2_332_RT_6164_1pl_Calib_21T_Prel01	Root_dry_biomass	g	0.0229	NA	NA
2019-11-25	PLAT015_U4L7R3_333_RT_5112_1pl_Calib_21T_Prel01	Root_dry_biomass	g	0.0274	NA	NA
2019-11-25	PLAT015_U4L7R10_340_RT_5455_1pl_Calib_22T_Prel01	Root_dry_biomass	g	0.0367	NA	NA
2019-11-25	PLAT015_U4L7R11_341_RT_5328_1pl_Calib_22T_Prel01	Root_dry_biomass	g	0.0391	NA	NA
2019-11-25	PLAT015_U4L7R12_342_RT_6146_1pl_Calib_22T_Prel01	Root_dry_biomass	g	0.0346	NA	NA
2019-11-25	PLAT015_U4L7R19_349_RT_5936_1pl_Calib_21T_Prel01	Root_dry_biomass	g	0.0334	NA	NA
2019-11-25	PLAT015_U4L7R20_350_RT_6086_1pl_Calib_22T_Prel01	Root_dry_biomass	g	0.0367	NA	NA
2019-11-29	PLAT015_U4L7R4_334_RT_5794_1pl_Calib_21T_Prel02	Root_dry_biomass	g	0.0516	NA	NA
2019-11-29	PLAT015_U4L7R5_335_RT_5070_1pl_Calib_21T_Prel02	Root_dry_biomass	g	0.0344	NA	NA
2019-11-29	PLAT015_U4L7R6_336_RT_5007_1pl_Calib_21T_Prel02	Root_dry_biomass	g	0.0543	NA	NA
2019-11-29	PLAT015_U4L7R13_343_RT_5291_1pl_Calib_22T_Prel02	Root_dry_biomass	g	0.0635	NA	NA
2019-11-29	PLAT015_U4L7R14_344_RT_5696_1pl_Calib_22T_Prel02	Root_dry_biomass	g	0.0908	NA	NA
2019-11-29	PLAT015_U4L7R15_345_RT_5963_1pl_Calib_22T_Prel02	Root_dry_biomass	g	0.0674	NA	NA
2019-11-29	PLAT015_U4L7R21_351_RT_5074_1pl_Calib_21T_Prel02	Root_dry_biomass	g	0.0566	NA	NA
2019-11-29	PLAT015_U4L7R22_352_RT_5169_1pl_Calib_22T_Prel02	Root_dry_biomass	g	0.0644	NA	NA
2019-12-03	PLAT015_U4L7R7_337_RT_6162_1pl_Calib_21T_Prel03	Root_dry_biomass	g	0.1279	NA	NA
2019-12-03	PLAT015_U4L7R8_338_RT_5362_1pl_Calib_21T_Prel03	Root_dry_biomass	g	0.1181	NA	NA
2019-12-03	PLAT015_U4L7R9_339_RT_5784_1pl_Calib_21T_Prel03	Root_dry_biomass	g	0.1345	NA	NA
2019-12-03	PLAT015_U4L7R16_346_RT_5298_1pl_Calib_22T_Prel03	Root_dry_biomass	g	0.124	NA	NA
2019-12-03	PLAT015_U4L7R17_347_RT_5939_1pl_Calib_22T_Prel03	Root_dry_biomass	g	0.1395	NA	NA
2019-12-03	PLAT015_U4L7R18_348_RT_5603_1pl_Calib_22T_Prel03	Root_dry_biomass	g	0.1645	NA	NA
2019-12-03	PLAT015_U4L7R23_353_RT_5791_1pl_Calib_21T_Prel03	Root_dry_biomass	g	0.1231	NA	NA
2019-12-03	PLAT015_U4L7R24_354_RT_5559_1pl_Calib_22T_Prel03	Root_dry_biomass	g	0.178	NA	NA
2019-11-25	PLAT015_U4L7R1_331_RT_5436_1pl_Calib_21T_Prel01	Seed_dry_biomass	g	0.1394	NA	NA
2019-11-25	PLAT015_U4L7R2_332_RT_6164_1pl_Calib_21T_Prel01	Seed_dry_biomass	g	0.1551	NA	NA
2019-11-25	PLAT015_U4L7R3_333_RT_5112_1pl_Calib_21T_Prel01	Seed_dry_biomass	g	0.1638	NA	NA
2019-11-25	PLAT015_U4L7R10_340_RT_5455_1pl_Calib_22T_Prel01	Seed_dry_biomass	g	0.1079	NA	NA
2019-11-25	PLAT015_U4L7R11_341_RT_5328_1pl_Calib_22T_Prel01	Seed_dry_biomass	g	0.1818	NA	NA
2019-11-25	PLAT015_U4L7R12_342_RT_6146_1pl_Calib_22T_Prel01	Seed_dry_biomass	g	0.1374	NA	NA
2019-11-25	PLAT015_U4L7R19_349_RT_5936_1pl_Calib_21T_Prel01	Seed_dry_biomass	g	0.1781	NA	NA
2019-11-25	PLAT015_U4L7R20_350_RT_6086_1pl_Calib_22T_Prel01	Seed_dry_biomass	g	0.2018	NA	NA
2019-11-29	PLAT015_U4L7R4_334_RT_5794_1pl_Calib_21T_Prel02	Seed_dry_biomass	g	0.1095	NA	NA
2019-11-29	PLAT015_U4L7R5_335_RT_5070_1pl_Calib_21T_Prel02	Seed_dry_biomass	g	0.0802	NA	NA
2019-11-29	PLAT015_U4L7R6_336_RT_5007_1pl_Calib_21T_Prel02	Seed_dry_biomass	g	0.0432	NA	NA
2019-11-29	PLAT015_U4L7R13_343_RT_5291_1pl_Calib_22T_Prel02	Seed_dry_biomass	g	0.0481	NA	NA
2019-11-29	PLAT015_U4L7R14_344_RT_5696_1pl_Calib_22T_Prel02	Seed_dry_biomass	g	0.0457	NA	NA
2019-11-29	PLAT015_U4L7R15_345_RT_5963_1pl_Calib_22T_Prel02	Seed_dry_biomass	g	0.038	NA	NA
2019-11-29	PLAT015_U4L7R21_351_RT_5074_1pl_Calib_21T_Prel02	Seed_dry_biomass	g	0.0344	NA	NA
2019-11-29	PLAT015_U4L7R22_352_RT_5169_1pl_Calib_22T_Prel02	Seed_dry_biomass	g	0.0469	NA	NA
2019-12-03	PLAT015_U4L7R7_337_RT_6162_1pl_Calib_21T_Prel03	Seed_dry_biomass	g	0.0273	NA	NA
2019-12-03	PLAT015_U4L7R8_338_RT_5362_1pl_Calib_21T_Prel03	Seed_dry_biomass	g	0.0186	NA	NA
2019-12-03	PLAT015_U4L7R9_339_RT_5784_1pl_Calib_21T_Prel03	Seed_dry_biomass	g	0.0516	NA	NA
2019-12-03	PLAT015_U4L7R16_346_RT_5298_1pl_Calib_22T_Prel03	Seed_dry_biomass	g	0.0132	NA	NA
2019-12-03	PLAT015_U4L7R17_347_RT_5939_1pl_Calib_22T_Prel03	Seed_dry_biomass	g	0.0264	NA	NA
2019-12-03	PLAT015_U4L7R18_348_RT_5603_1pl_Calib_22T_Prel03	Seed_dry_biomass	g	0.0259	NA	NA
2019-12-03	PLAT015_U4L7R23_353_RT_5791_1pl_Calib_21T_Prel03	Seed_dry_biomass	g	0.0241	NA	NA
2019-12-03	PLAT015_U4L7R24_354_RT_5559_1pl_Calib_22T_Prel03	Seed_dry_biomass	g	0.0187	NA	NA
2019-11-25	PLAT015_U4L7R1_331_RT_5436_1pl_Calib_21T_Prel01	Root_fresh_biomass	g	0.2828	NA	NA
2019-11-25	PLAT015_U4L7R2_332_RT_6164_1pl_Calib_21T_Prel01	Root_fresh_biomass	g	0.2342	NA	NA
2019-11-25	PLAT015_U4L7R3_333_RT_5112_1pl_Calib_21T_Prel01	Root_fresh_biomass	g	0.2845	NA	NA
2019-11-25	PLAT015_U4L7R10_340_RT_5455_1pl_Calib_22T_Prel01	Root_fresh_biomass	g	0.3656	NA	NA
2019-11-25	PLAT015_U4L7R11_341_RT_5328_1pl_Calib_22T_Prel01	Root_fresh_biomass	g	0.4507	NA	NA
2019-11-25	PLAT015_U4L7R12_342_RT_6146_1pl_Calib_22T_Prel01	Root_fresh_biomass	g	0.3351	NA	NA
2019-11-25	PLAT015_U4L7R19_349_RT_5936_1pl_Calib_21T_Prel01	Root_fresh_biomass	g	0.324	NA	NA
2019-11-25	PLAT015_U4L7R20_350_RT_6086_1pl_Calib_22T_Prel01	Root_fresh_biomass	g	0.3644	NA	NA
2019-11-29	PLAT015_U4L7R4_334_RT_5794_1pl_Calib_21T_Prel02	Root_fresh_biomass	g	0.5209	NA	NA
2019-11-29	PLAT015_U4L7R5_335_RT_5070_1pl_Calib_21T_Prel02	Root_fresh_biomass	g	0.3658	NA	NA
2019-11-29	PLAT015_U4L7R6_336_RT_5007_1pl_Calib_21T_Prel02	Root_fresh_biomass	g	0.49	NA	NA
2019-11-29	PLAT015_U4L7R13_343_RT_5291_1pl_Calib_22T_Prel02	Root_fresh_biomass	g	0.544	NA	NA
2019-11-29	PLAT015_U4L7R14_344_RT_5696_1pl_Calib_22T_Prel02	Root_fresh_biomass	g	1.1529	NA	NA
2019-11-29	PLAT015_U4L7R15_345_RT_5963_1pl_Calib_22T_Prel02	Root_fresh_biomass	g	0.8105	NA	NA
2019-11-29	PLAT015_U4L7R21_351_RT_5074_1pl_Calib_21T_Prel02	Root_fresh_biomass	g	0.6209	NA	NA
2019-11-29	PLAT015_U4L7R22_352_RT_5169_1pl_Calib_22T_Prel02	Root_fresh_biomass	g	0.791	NA	NA
2019-12-03	PLAT015_U4L7R7_337_RT_6162_1pl_Calib_21T_Prel03	Root_fresh_biomass	g	1.2913	NA	NA
2019-12-03	PLAT015_U4L7R8_338_RT_5362_1pl_Calib_21T_Prel03	Root_fresh_biomass	g	1.4734	NA	NA
2019-12-03	PLAT015_U4L7R9_339_RT_5784_1pl_Calib_21T_Prel03	Root_fresh_biomass	g	1.2688	NA	NA
2019-12-03	PLAT015_U4L7R16_346_RT_5298_1pl_Calib_22T_Prel03	Root_fresh_biomass	g	1.8816	NA	NA
2019-12-03	PLAT015_U4L7R17_347_RT_5939_1pl_Calib_22T_Prel03	Root_fresh_biomass	g	2.1973	NA	NA
2019-12-03	PLAT015_U4L7R18_348_RT_5603_1pl_Calib_22T_Prel03	Root_fresh_biomass	g	2.4144	NA	NA
2019-12-03	PLAT015_U4L7R23_353_RT_5791_1pl_Calib_21T_Prel03	Root_fresh_biomass	g	1.3943	NA	NA
2019-12-03	PLAT015_U4L7R24_354_RT_5559_1pl_Calib_22T_Prel03	Root_fresh_biomass	g	2.5403	NA	NA
2019-11-25	PLAT015_U4L7R1_331_RT_5436_1pl_Calib_21T_Prel01	Shoot_fresh_biomass	g	0.3225	NA	NA
2019-11-25	PLAT015_U4L7R2_332_RT_6164_1pl_Calib_21T_Prel01	Shoot_fresh_biomass	g	0.258	NA	NA
2019-11-25	PLAT015_U4L7R3_333_RT_5112_1pl_Calib_21T_Prel01	Shoot_fresh_biomass	g	0.308	NA	NA
2019-11-25	PLAT015_U4L7R10_340_RT_5455_1pl_Calib_22T_Prel01	Shoot_fresh_biomass	g	0.4426	NA	NA
2019-11-25	PLAT015_U4L7R11_341_RT_5328_1pl_Calib_22T_Prel01	Shoot_fresh_biomass	g	0.37	NA	NA
2019-11-25	PLAT015_U4L7R12_342_RT_6146_1pl_Calib_22T_Prel01	Shoot_fresh_biomass	g	0.3535	NA	NA
2019-11-25	PLAT015_U4L7R19_349_RT_5936_1pl_Calib_21T_Prel01	Shoot_fresh_biomass	g	0.3319	NA	NA
2019-11-25	PLAT015_U4L7R20_350_RT_6086_1pl_Calib_22T_Prel01	Shoot_fresh_biomass	g	0.2444	NA	NA
2019-11-29	PLAT015_U4L7R4_334_RT_5794_1pl_Calib_21T_Prel02	Shoot_fresh_biomass	g	0.4049	NA	NA
2019-11-29	PLAT015_U4L7R5_335_RT_5070_1pl_Calib_21T_Prel02	Shoot_fresh_biomass	g	0.5116	NA	NA
2019-11-29	PLAT015_U4L7R6_336_RT_5007_1pl_Calib_21T_Prel02	Shoot_fresh_biomass	g	0.574	NA	NA
2019-11-29	PLAT015_U4L7R13_343_RT_5291_1pl_Calib_22T_Prel02	Shoot_fresh_biomass	g	0.5513	NA	NA
2019-11-29	PLAT015_U4L7R14_344_RT_5696_1pl_Calib_22T_Prel02	Shoot_fresh_biomass	g	0.8469	NA	NA
2019-11-29	PLAT015_U4L7R15_345_RT_5963_1pl_Calib_22T_Prel02	Shoot_fresh_biomass	g	0.6404	NA	NA
2019-11-29	PLAT015_U4L7R21_351_RT_5074_1pl_Calib_21T_Prel02	Shoot_fresh_biomass	g	0.7319	NA	NA
2019-11-29	PLAT015_U4L7R22_352_RT_5169_1pl_Calib_22T_Prel02	Shoot_fresh_biomass	g	0.599	NA	NA
2019-12-03	PLAT015_U4L7R7_337_RT_6162_1pl_Calib_21T_Prel03	Shoot_fresh_biomass	g	1.3274	NA	NA
2019-12-03	PLAT015_U4L7R8_338_RT_5362_1pl_Calib_21T_Prel03	Shoot_fresh_biomass	g	1.388	NA	NA
2019-12-03	PLAT015_U4L7R9_339_RT_5784_1pl_Calib_21T_Prel03	Shoot_fresh_biomass	g	1.2941	NA	NA
2019-12-03	PLAT015_U4L7R16_346_RT_5298_1pl_Calib_22T_Prel03	Shoot_fresh_biomass	g	1.711	NA	NA
2019-12-03	PLAT015_U4L7R17_347_RT_5939_1pl_Calib_22T_Prel03	Shoot_fresh_biomass	g	1.915	NA	NA
2019-12-03	PLAT015_U4L7R18_348_RT_5603_1pl_Calib_22T_Prel03	Shoot_fresh_biomass	g	2.1887	NA	NA
2019-12-03	PLAT015_U4L7R23_353_RT_5791_1pl_Calib_21T_Prel03	Shoot_fresh_biomass	g	1.2178	NA	NA
2019-12-03	PLAT015_U4L7R24_354_RT_5559_1pl_Calib_22T_Prel03	Shoot_fresh_biomass	g	2.2706	NA	NA
2019-11-25	PLAT015_U4L7R1_331_RT_5436_1pl_Calib_21T_Prel01	Seed_fresh_biomass	g	0.3511	NA	NA
2019-11-25	PLAT015_U4L7R2_332_RT_6164_1pl_Calib_21T_Prel01	Seed_fresh_biomass	g	0.383	NA	NA
2019-11-25	PLAT015_U4L7R3_333_RT_5112_1pl_Calib_21T_Prel01	Seed_fresh_biomass	g	0.4394	NA	NA
2019-11-25	PLAT015_U4L7R10_340_RT_5455_1pl_Calib_22T_Prel01	Seed_fresh_biomass	g	0.349	NA	NA
2019-11-25	PLAT015_U4L7R11_341_RT_5328_1pl_Calib_22T_Prel01	Seed_fresh_biomass	g	0.4606	NA	NA
2019-11-25	PLAT015_U4L7R12_342_RT_6146_1pl_Calib_22T_Prel01	Seed_fresh_biomass	g	0.3608	NA	NA
2019-11-25	PLAT015_U4L7R19_349_RT_5936_1pl_Calib_21T_Prel01	Seed_fresh_biomass	g	0.3989	NA	NA
2019-11-25	PLAT015_U4L7R20_350_RT_6086_1pl_Calib_22T_Prel01	Seed_fresh_biomass	g	0.4409	NA	NA
2019-11-29	PLAT015_U4L7R4_334_RT_5794_1pl_Calib_21T_Prel02	Seed_fresh_biomass	g	0.302	NA	NA
2019-11-29	PLAT015_U4L7R5_335_RT_5070_1pl_Calib_21T_Prel02	Seed_fresh_biomass	g	0.3526	NA	NA
2019-11-29	PLAT015_U4L7R6_336_RT_5007_1pl_Calib_21T_Prel02	Seed_fresh_biomass	g	0.2692	NA	NA
2019-11-29	PLAT015_U4L7R13_343_RT_5291_1pl_Calib_22T_Prel02	Seed_fresh_biomass	g	0.2398	NA	NA
2019-11-29	PLAT015_U4L7R14_344_RT_5696_1pl_Calib_22T_Prel02	Seed_fresh_biomass	g	0.287	NA	NA
2019-11-29	PLAT015_U4L7R15_345_RT_5963_1pl_Calib_22T_Prel02	Seed_fresh_biomass	g	0.2569	NA	NA
2019-11-29	PLAT015_U4L7R21_351_RT_5074_1pl_Calib_21T_Prel02	Seed_fresh_biomass	g	0.2351	NA	NA
