Unit ID	Timestamp	Root_length_density_S1	Root_length_density_S2	Root_length_density_S3	Root_length_density_S4	Root_length_density_S5	Root_length_density_S6	Root_length_density_S7	Root_length_density_S8	Root_length_density_S9	Root_length_density_S10	Root_length_density_S11	Root_length_density_S12	Root_length_density_S13	Root_length_density_S14	Root_length_density_S15	Root_length_density_S16	Root_length_density_S17	Root_length_density_S18	Root_length_density_S19	Root_length_density_S20	
310	2019_11_11	0.205	0.421	0.346	0.213	0.222	0.137	0.074	0.065	0.068	0.059	0.073	0.034	0.020	0.021	0.023	0.019	0.016	0.014	0.015	0.018	
311	2019_11_11	0.382	0.315	0.264	0.199	0.121	0.082	0.080	0.058	0.077	0.057	0.049	0.047	0.057	0.024	0.023	0.001	0.017	0.016	0.015	0.014	
312	2019_11_11	0.210	0.222	0.224	0.152	0.169	0.133	0.044	0.025	0.014	0.017	0.020	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
313	2019_11_11	0.359	0.381	0.207	0.147	0.118	0.092	0.063	0.053	0.051	0.025	0.016	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
314	2019_11_11	0.189	0.146	0.078	0.080	0.092	0.067	0.052	0.044	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
315	2019_11_11	0.169	0.147	0.087	0.067	0.064	0.080	0.092	0.064	0.097	0.028	0.020	0.010	0.008	0.015	0.017	0.014	0.011	0.000	0.000	0.000	
316	2019_11_11	0.237	0.255	0.180	0.194	0.127	0.113	0.105	0.128	0.050	0.052	0.037	0.037	0.039	0.023	0.016	0.016	0.015	0.016	0.016	0.018	
317	2019_11_11	0.244	0.134	0.135	0.132	0.172	0.057	0.035	0.031	0.014	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
318	2019_11_11	0.247	0.181	0.149	0.123	0.131	0.154	0.156	0.125	0.087	0.084	0.068	0.047	0.007	0.017	0.016	0.000	0.000	0.000	0.000	0.000	
401	2019_11_11	0.290	0.274	0.187	0.105	0.092	0.118	0.060	0.059	0.055	0.055	0.074	0.080	0.038	0.030	0.014	0.016	0.015	0.010	0.000	0.000	
402	2019_11_11	0.151	0.237	0.106	0.087	0.082	0.098	0.092	0.113	0.121	0.074	0.029	0.016	0.015	0.015	0.006	0.000	0.000	0.000	0.000	0.000	
403	2019_11_11	0.253	0.246	0.206	0.189	0.158	0.149	0.038	0.049	0.049	0.035	0.000	0.000	0.000	0.000	0.008	0.000	0.000	0.000	0.000	0.000	
