Plant ID	Plant Info	Plant Name	shoot_fresh_biomass_scale_gram	
2020_Maize103	S1_4	UHEL_EPPN04_H	142,01	
2020_Maize104	S1_4	UHEL_EPPN03_H	208,54	
2020_Maize105	S2_4	UHEL_EPPN06_H	26,89	
2020_Maize106	S2_4	UHEL_EPPN09_H	239,28	
2020_Maize107	S2_5	UHEL_EPPN12_H	172,46	
2020_Maize108	S2_5	UHEL_EPPN13_H	121,03	
2020_Maize109	S1_5	UHEL_EPPN05_H	269,19	
2020_Maize110	S1_5	UHEL_EPPN06_H	231,57	
2020_Maize111	S1_1	UHEL_EPPN06_H	106,21	
2020_Maize112	S1_1	UHEL_EPPN03_H	293,19	
2020_Maize113	S2_1	UHEL_EPPN05_H	288,6	
2020_Maize114	S2_1	UHEL_EPPN02_H	96,35	
2020_Maize115	S2_2	UHEL_EPPN09_H	203,84	
2020_Maize116	S1_2	UHEL_EPPN04_H	243,26	
2020_Maize117	S1_3	UHEL_EPPN12_H	303,84	
2020_Maize118	S2_3	UHEL_EPPN05_H	104,09	
2020_Maize119	S2_3	UHEL_EPPN09_H	156,88	
2020_Maize120	S1_4	UHEL_EPPN01_H	119,56	
2020_Maize121	S2_4	UHEL_EPPN10_H	289,1	
2020_Maize122	S2_4	UHEL_EPPN08_H	159,5	
2020_Maize123	S2_5	UHEL_EPPN11_H	227,73	
2020_Maize124	S2_5	UHEL_EPPN11_L	193,88	
2020_Maize125	S1_5	UHEL_EPPN03_H	71,31	
2020_Maize126	S1_5	UHEL_EPPN11_H	138,92	
