SessionName:,2021-06 TNA - Mspec v1.0 0001
SessionRecipe:,2021-06 TNA - Mspec v1.0
Date:,17-09-2021
Time:,18:34:34
Processing Algorithm:,VM.Lab.Session.StaticsKeyValues
Processing Algorithm:,VM.Lab.Session.StaticsKeyValues
,NoImageBands,BlobSizeMin,BlobSizeMax,HistMinimum,HistMaximum,HistogramImageBand,HistogramNumBins,Scale,NumKeyValues,MultiCapture,MultiCaptureIndex,
,15,0,10000,0,0,1,100,5,30,1,-1,
,
Index,Sample ID,Comment,Initials,Status,TimeStamp,ImageFileName,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,Mean 09,Mean 10,Mean 11,Mean 12,Mean 13,Mean 14,Mean 15,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,
195,Giant__PlantId_15_2021-06-16 14.57.35.244,,,,2021-06-16_14.56.40.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_15_2021-06-16 14.57.35.244.hips,3.713336,2.673515,4.982277,4.995922,3.101895,2.175536,3.325435,18.17202,17.89767,16.71439,7.835765,7.999975,7.886379,8.368809,13.06714,0.9402434,0.8791724,1.630086,1.747661,1.187105,0.8560059,1.15828,4.637424,4.51195,4.336328,0.7356892,0.7431621,0.6812286,0.5289492,1.72477,
196,Giant__PlantId_15_2021-06-17 08.58.31.843,,,,2021-06-17_08.57.34.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_15_2021-06-17 08.58.31.843.hips,3.956968,2.867063,5.229297,5.231267,3.308116,2.361773,3.523093,19.22223,19.02521,17.72717,7.92853,8.091046,7.976864,8.446857,13.40691,0.989062,0.871461,1.623333,1.709668,1.17425,0.8455313,1.144179,5.152412,5.053052,4.828636,0.7564097,0.7538955,0.7109916,0.5593673,1.789089,
197,Giant__PlantId_15_2021-06-21 14.56.32.858,,,,2021-06-21_14.55.37.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_15_2021-06-21 14.56.32.858.hips,4.352936,2.979605,5.15029,5.207452,3.130402,2.313778,3.48305,20.60788,20.67636,19.37237,7.399451,7.580622,7.478718,8.225952,14.21789,0.9660774,0.7728334,1.190709,1.274313,0.8950403,0.7100334,0.886118,4.880786,4.961391,4.769813,0.9495699,0.9290969,0.9251618,0.598009,1.90411,
198,Giant__PlantId_15_2021-06-22 08.58.55.398,,,,2021-06-22_08.58.00.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_15_2021-06-22 08.58.55.398.hips,3.913991,2.719167,4.756516,4.829293,2.928907,2.127549,3.199122,18.52913,18.6326,17.37829,7.410652,7.590806,7.46403,8.174793,13.17762,0.9616467,0.763716,1.149909,1.199751,0.8396777,0.6542814,0.8378087,4.533776,4.626944,4.380511,0.9564945,0.9410837,0.9221997,0.6089255,1.710403,
199,Giant__PlantId_15_2021-06-23 14.58.34.310,,,,2021-06-23_14.57.39.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_15_2021-06-23 14.58.34.310.hips,3.895819,2.728587,4.743049,4.752372,2.908851,2.14321,3.212975,19.26272,19.2582,18.04635,7.774369,7.921478,7.820545,8.344851,13.16311,0.9753883,0.8595561,1.40064,1.442971,0.9972284,0.7925537,1.016531,5.233498,5.184472,4.956111,0.8856251,0.8933867,0.7280601,0.5175971,1.632291,
200,Giant__PlantId_15_2021-06-24 08.56.13.779,,,,2021-06-24_08.55.13.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_15_2021-06-24 08.56.13.779.hips,4.151073,2.901686,5.11055,5.090424,3.137304,2.30574,3.464306,20.59906,20.60938,19.33,7.743147,7.887187,7.787976,8.305694,13.55212,1.07515,0.9625574,1.519454,1.549428,1.066647,0.8652081,1.113699,5.875516,5.854197,5.653318,1.00892,1.008081,0.9050135,0.6634378,1.845737,
201,Giant__PlantId_16_2021-06-14 16.39.00.387,,,,2021-06-14_16.38.03.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_16_2021-06-14 16.39.00.387.hips,3.386069,2.634092,4.489479,4.456733,2.783811,2.063207,3.078685,18.69614,18.41714,17.20239,7.90317,8.082783,7.956826,8.44384,12.84597,0.7839786,0.9297833,1.263107,1.275317,0.9106536,0.7160944,0.8939672,4.562447,4.464275,4.2246,0.6901135,0.683867,0.689468,0.5579501,1.582757,
202,Giant__PlantId_16_2021-06-15 08.19.03.238,,,,2021-06-15_08.18.07.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_16_2021-06-15 08.19.03.238.hips,3.038799,2.2413,3.988607,4.047803,2.383596,1.730975,2.670762,16.61878,16.49681,15.2825,7.817968,7.995587,7.862856,8.377792,12.26315,0.7579685,0.7286927,1.131074,1.227543,0.7789346,0.594845,0.8091316,4.276834,4.076746,3.9342,0.721063,0.7288649,0.7115573,0.6027038,1.583558,
203,Giant__PlantId_16_2021-06-16 14.20.46.685,,,,2021-06-16_14.19.51.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_16_2021-06-16 14.20.46.685.hips,3.032237,2.235263,3.87717,3.836169,2.351771,1.746484,2.61451,16.51046,16.36987,15.33328,8.020889,8.148149,8.066912,8.457844,12.34721,0.9597129,0.8169477,1.326264,1.407988,1.014177,0.7917935,1.045092,4.893413,4.691072,4.56052,0.7184734,0.7266763,0.697227,0.5534598,1.754074,
204,Giant__PlantId_16_2021-06-17 08.21.57.512,,,,2021-06-17_08.21.00.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_16_2021-06-17 08.21.57.512.hips,3.513799,2.672765,4.3604,4.389192,2.727777,2.093959,3.002993,18.31367,18.21173,17.18175,8.068954,8.211049,8.123054,8.500257,12.67525,1.116159,0.8835438,1.323902,1.381253,0.9796578,0.81025,1.048144,5.624856,5.562668,5.374759,0.6076511,0.602218,0.6024387,0.5192904,1.768607,
205,Giant__PlantId_16_2021-06-21 14.18.40.012,,,,2021-06-21_14.17.44.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_16_2021-06-21 14.18.40.012.hips,3.540584,2.452494,4.138661,4.120634,2.439714,1.860483,2.812579,19.40274,19.54109,18.38959,8.155566,8.290294,8.190996,8.556743,13.3707,1.036359,0.8448378,1.350441,1.354566,0.9015853,0.7430725,0.9743602,5.952126,5.904285,5.645943,0.9270779,0.906288,0.5458831,0.5004545,1.549056,
206,Giant__PlantId_16_2021-06-22 08.21.54.516,,,,2021-06-22_08.20.59.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_16_2021-06-22 08.21.54.516.hips,3.373936,2.39025,3.887408,3.923899,2.319495,1.818533,2.663364,17.74252,18.05829,17.07628,7.806144,7.936113,7.842498,8.37023,12.83976,0.9936669,0.8214811,1.301354,1.337923,0.8922852,0.7450815,0.9733839,5.534744,5.621328,5.42959,0.770281,0.7683333,0.7330412,0.5299908,1.386187,
207,Giant__PlantId_16_2021-06-23 14.21.06.612,,,,2021-06-23_14.20.11.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_16_2021-06-23 14.21.06.612.hips,3.164322,2.134197,3.405658,3.365694,2.083484,1.621272,2.355492,16.40219,16.51657,15.5792,7.921786,8.017338,7.968165,8.433806,12.94387,1.071419,0.825676,1.169458,1.187626,0.8772722,0.7471479,0.9270536,5.154284,5.118904,4.955677,0.7665231,0.7808778,0.7290736,0.5798493,1.740506,
208,Giant__PlantId_16_2021-06-24 08.19.29.245,,,,2021-06-24_08.18.32.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_16_2021-06-24 08.19.29.245.hips,2.97717,1.909348,3.204854,3.228479,1.87946,1.458413,2.183575,15.15671,15.42064,14.53063,7.447285,7.5423,7.494516,8.112467,12.7794,1.113124,0.8455256,1.137388,1.149648,0.8756207,0.771691,0.9261075,4.723221,4.759805,4.603308,1.081152,1.090102,1.0682,0.8163907,1.887074,
209,Giant__PlantId_17_2021-06-14 16.02.50.642,,,,2021-06-14_16.01.55.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_17_2021-06-14 16.02.50.642.hips,4.019311,2.417347,4.958657,4.975049,2.944885,2.069485,3.34601,18.96942,18.86378,17.60669,8.337052,8.525223,8.433315,9.049026,15.75562,0.9298677,0.753737,1.263817,1.274558,0.9023551,0.6933402,0.9123178,4.544284,4.401124,4.224917,0.5404432,0.5459236,0.5184729,0.5011915,1.8522,
210,Giant__PlantId_17_2021-06-15 07.42.50.326,,,,2021-06-15_07.41.53.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_17_2021-06-15 07.42.50.326.hips,4.596618,2.812666,5.678698,5.971035,3.308985,2.393629,3.784954,21.29662,21.46781,20.21094,8.138967,8.369868,8.260659,8.966648,16.65901,1.060981,0.8891901,1.346463,1.402018,0.9810638,0.8116857,1.001668,4.802722,4.80565,4.769744,0.445729,0.452074,0.4348108,0.4650355,2.145166,
211,Giant__PlantId_17_2021-06-16 13.43.54.851,,,,2021-06-16_13.42.59.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_17_2021-06-16 13.43.54.851.hips,4.420143,2.635775,5.06802,5.157998,3.008327,2.193209,3.434013,20.18006,20.18879,19.01181,8.259616,8.434724,8.384435,9.060645,16.68134,1.353903,0.9564654,1.547935,1.587463,1.094573,0.8871214,1.165414,5.919932,5.974917,5.853996,0.6307127,0.6529376,0.6334651,0.6308817,2.67252,
212,Giant__PlantId_17_2021-06-17 07.45.30.591,,,,2021-06-17_07.44.35.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_17_2021-06-17 07.45.30.591.hips,4.575002,2.919529,5.309035,5.551055,3.252775,2.451056,3.659999,20.38286,20.42392,19.33263,8.1384,8.330356,8.261203,8.840194,16.25182,1.445962,1.083362,1.663793,1.720079,1.184355,0.9943427,1.272121,6.307562,6.434468,6.297431,0.5121796,0.5464647,0.4124106,0.4426103,2.607801,
213,Giant__PlantId_17_2021-06-21 13.42.56.459,,,,2021-06-21_13.42.01.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_17_2021-06-21 13.42.56.459.hips,3.958697,2.275682,4.256882,4.286776,2.50343,1.838151,2.81211,17.9075,18.17753,17.18584,8.161297,8.266645,8.261972,8.707934,15.54076,1.323238,0.9100472,1.559731,1.573902,1.038822,0.8034626,1.055961,5.80853,5.965975,5.723956,0.8602883,0.9218412,0.5068058,0.4708838,2.081406,
214,Giant__PlantId_17_2021-06-22 07.43.54.291,,,,2021-06-22_07.42.59.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_17_2021-06-22 07.43.54.291.hips,4.053942,2.454616,4.436974,4.711756,2.650681,2.02886,2.976414,17.85028,18.09764,17.18076,8.060089,8.176462,8.14184,8.547661,15.07829,1.422274,1.001767,1.681639,1.795385,1.134748,0.9032148,1.191322,6.130624,6.176556,5.934847,0.7326619,0.8241975,0.4143281,0.4213759,2.104808,
215,Giant__PlantId_17_2021-06-23 13.43.46.214,,,,2021-06-23_13.42.51.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_17_2021-06-23 13.43.46.214.hips,4.470509,2.715572,4.698292,4.753074,2.954911,2.27303,3.254856,19.65509,19.78558,18.79926,8.145472,8.265788,8.253132,8.801785,16.37345,1.553333,1.132691,1.763748,1.79293,1.3072,1.057949,1.323748,6.375516,6.410569,6.15841,0.6451412,0.6307878,0.483482,0.4674337,2.296366,
216,Giant__PlantId_17_2021-06-24 07.42.53.370,,,,2021-06-24_07.41.56.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_17_2021-06-24 07.42.53.370.hips,4.664467,2.85999,4.869867,5.140202,3.032784,2.40328,3.404222,20.89581,21.20488,20.16849,8.043061,8.174651,8.145144,8.670753,16.31887,1.549375,1.197961,1.740663,1.832588,1.347665,1.153439,1.37671,6.451729,6.551414,6.322444,0.541003,0.5389649,0.3960319,0.4087298,2.283558,
217,Giant__PlantId_18_2021-06-14 15.26.35.920,,,,2021-06-14_15.25.38.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_18_2021-06-14 15.26.35.920.hips,3.866015,3.561469,5.637051,5.587045,3.815327,2.962301,4.105112,22.742,22.78013,21.44632,7.861779,8.114569,7.902567,8.510436,13.21848,0.9742033,1.47795,1.649679,1.59855,1.322429,1.123597,1.253457,5.589627,5.657868,5.45404,0.7843556,0.7701051,0.7716355,0.6041323,1.448582,
218,Giant__PlantId_18_2021-06-15 07.06.18.849,,,,2021-06-15_07.05.21.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_18_2021-06-15 07.06.18.849.hips,3.838694,3.432323,5.507033,5.659019,3.558724,2.770795,3.935108,22.32522,22.38642,20.84797,8.049265,8.245533,8.094756,8.48409,12.90049,1.010295,1.586713,1.658114,1.644276,1.390686,1.229558,1.348651,5.192827,5.303109,5.204946,0.4396231,0.451206,0.4461692,0.4365865,1.533235,
219,Giant__PlantId_18_2021-06-16 13.06.31.614,,,,2021-06-16_13.05.36.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_18_2021-06-16 13.06.31.614.hips,3.467077,2.975371,4.993596,5.244757,3.184511,2.517814,3.570492,20.63748,21.00887,20.13469,8.284525,8.43047,8.334517,8.630283,12.94267,1.240932,1.429366,1.961114,2.070319,1.534284,1.307341,1.570133,7.10287,7.01881,6.942229,0.6468912,0.6607376,0.5926011,0.5175427,1.558535,
220,Giant__PlantId_18_2021-06-17 07.06.29.338,,,,2021-06-17_07.05.35.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_18_2021-06-17 07.06.29.338.hips,3.614027,2.94469,5.013918,5.17009,3.185714,2.462429,3.526012,20.5893,20.66295,19.39423,8.122352,8.280143,8.166267,8.51968,12.87411,1.239398,1.360802,1.872458,1.946109,1.474409,1.232397,1.460531,6.623641,6.568059,6.370144,0.9068108,0.8995969,0.4376739,0.4221801,1.556171,
221,Giant__PlantId_18_2021-06-21 13.06.19.975,,,,2021-06-21_13.05.24.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_18_2021-06-21 13.06.19.975.hips,2.825648,2.225641,3.782608,3.989311,2.291145,1.781201,2.615863,16.44923,16.98669,16.25683,8.192338,8.293736,8.215529,8.499094,12.16206,0.8186572,0.7674417,1.145553,1.216955,0.838087,0.727968,0.8929291,4.713789,4.896094,4.746257,0.7859537,0.757448,0.9196042,0.7688229,1.268435,
222,Giant__PlantId_18_2021-06-22 07.06.37.980,,,,2021-06-22_07.05.43.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_18_2021-06-22 07.06.37.980.hips,2.360497,1.715207,2.897102,2.929779,1.702921,1.300715,1.963389,12.9273,13.17426,12.38724,8.081098,8.169271,8.10368,8.371638,11.2737,0.6109038,0.4910003,0.8248882,0.8609521,0.5702713,0.4617993,0.6145831,2.98179,2.962425,2.916955,0.4147148,0.4217318,0.4026243,0.3939015,1.009583,
223,Giant__PlantId_18_2021-06-23 13.06.47.047,,,,2021-06-23_13.05.51.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_18_2021-06-23 13.06.47.047.hips,3.318207,2.443219,4.089465,4.288826,2.532952,2.029144,2.911709,17.87448,18.35001,17.59457,8.119018,8.227236,8.173155,8.531318,13.04835,1.244485,1.105567,1.557254,1.621285,1.161819,1.006469,1.238748,6.122179,6.244157,6.144522,0.5401254,0.534896,0.5105253,0.4926864,1.665153,
224,Giant__PlantId_18_2021-06-24 07.06.06.621,,,,2021-06-24_07.05.09.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_18_2021-06-24 07.06.06.621.hips,3.149179,2.005306,3.855502,4.342897,2.180992,1.738435,2.713039,17.78356,18.18659,17.41509,8.071618,8.171781,8.130604,8.463825,13.29487,1.250313,1.082947,1.573514,1.722983,1.07942,0.9376316,1.171782,5.398984,5.45561,5.33922,0.7734728,0.844485,0.6624017,0.5714085,1.788051,
225,Giant__PlantId_19_2021-06-14 20.19.37.978,,,,2021-06-14_20.18.42.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_19_2021-06-14 20.19.37.978.hips,3.313985,2.747386,4.933159,5.118402,3.025263,2.28012,3.394959,19.96738,19.86409,18.54887,8.177559,8.361244,8.192619,8.4997,12.06745,0.8116652,0.8111683,1.34264,1.411219,0.9233019,0.758044,0.9857829,5.168129,5.112142,4.883132,0.4604301,0.4681773,0.4634746,0.4314795,1.031888,
226,Giant__PlantId_19_2021-06-15 11.59.42.029,,,,2021-06-15_11.58.44.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_19_2021-06-15 11.59.42.029.hips,3.107855,2.663101,4.695676,4.665113,2.989644,2.222438,3.272314,18.51648,18.29116,16.98152,8.291696,8.460807,8.303093,8.587539,12.01023,0.7791916,0.788318,1.209406,1.232625,0.8936135,0.7131933,0.9110189,4.659029,4.573969,4.316155,0.6236678,0.6289419,0.5627978,0.5018079,1.06366,
227,Giant__PlantId_19_2021-06-16 18.05.53.470,,,,2021-06-16_18.04.58.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_19_2021-06-16 18.05.53.470.hips,3.919869,3.631103,5.788196,5.674526,3.632337,2.678721,3.981525,22.84925,22.82606,21.42196,7.886377,8.104687,7.907767,8.404441,13.02304,1.555183,1.7775,1.887009,1.886472,1.305032,1.008835,1.312484,6.685383,6.904951,6.645396,0.9247611,0.8609982,0.8081024,0.5868301,2.413612,
228,Giant__PlantId_19_2021-06-17 12.04.03.086,,,,2021-06-17_12.03.07.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_19_2021-06-17 12.04.03.086.hips,2.986214,2.510469,4.4957,4.436177,2.804116,2.069906,3.081641,18.11155,18.00081,16.82723,7.668088,7.839507,7.691746,8.174591,11.55873,0.7099186,0.7749989,1.168765,1.142483,0.8768475,0.7098907,0.8644762,4.570414,4.639415,4.436116,0.903914,0.8876627,0.8818064,0.6452099,0.8176074,
229,Giant__PlantId_19_2021-06-21 18.06.16.900,,,,2021-06-21_18.05.21.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_19_2021-06-21 18.06.16.900.hips,3.263265,2.286848,4.309609,4.371425,2.433911,1.80517,2.828183,18.68861,18.77492,17.67022,7.870336,8.002727,7.922992,8.362289,12.9178,1.153542,0.8835465,1.52883,1.512012,0.9467179,0.7620962,1.060245,6.027251,6.302072,6.066085,0.6892285,0.669396,0.6545582,0.5681488,2.04797,
230,Giant__PlantId_19_2021-06-22 12.09.55.755,,,,2021-06-22_12.09.00.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_19_2021-06-22 12.09.55.755.hips,3.290364,2.341396,4.13617,4.086891,2.536932,1.884462,2.83609,18.16963,18.04113,16.96545,7.905797,8.050429,7.97685,8.438684,13.11261,1.091689,0.8564216,1.342734,1.328216,0.981517,0.8114896,1.002848,5.56453,5.524711,5.27742,0.7188236,0.7086961,0.677262,0.5430102,1.755919,
231,Giant__PlantId_19_2021-06-23 18.09.32.016,,,,2021-06-23_18.08.36.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_19_2021-06-23 18.09.32.016.hips,3.839226,2.622833,4.65166,4.789439,2.657422,2.002679,3.099213,21.4471,21.52418,20.37927,7.986767,8.124172,8.063235,8.471696,14.05491,1.272356,1.135722,1.638209,1.680334,1.104716,0.9039191,1.181252,7.078182,7.078629,6.80064,0.5227771,0.5074213,0.5052757,0.4702793,1.903919,
232,Giant__PlantId_19_2021-06-24 12.05.06.450,,,,2021-06-24_12.04.09.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_19_2021-06-24 12.05.06.450.hips,3.658896,2.489297,4.376341,4.277216,2.676974,2.008239,2.958118,19.07812,19.20147,18.0715,7.476618,7.624935,7.553604,8.286575,13.90309,1.245311,0.9909658,1.503103,1.43976,1.051286,0.8652662,1.066891,5.96039,5.993785,5.661691,1.07891,1.056964,0.9904343,0.6447247,1.931147,
233,Giant__PlantId_2_2021-06-14 19.37.42.504,,,,2021-06-14_19.36.47.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_2_2021-06-14 19.37.42.504.hips,3.595828,2.986988,4.797204,4.803899,3.054918,2.378663,3.370844,20.18196,20.03502,18.85301,8.10537,8.271503,8.140995,8.536106,13.13933,0.7157201,0.7884436,1.123662,1.14541,0.8909404,0.7444767,0.8965322,4.580759,4.658191,4.514188,0.4565418,0.4651252,0.4501378,0.453298,1.372251,
234,Giant__PlantId_2_2021-06-15 11.17.57.679,,,,2021-06-15_11.17.02.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_2_2021-06-15 11.17.57.679.hips,4.102221,3.537974,5.40103,5.227732,3.666174,2.880245,3.920112,21.97602,21.7497,20.45426,8.160402,8.331531,8.206418,8.601485,13.8964,1.010414,1.086999,1.377803,1.323293,1.107278,0.951472,1.094627,5.631733,5.708197,5.575153,0.6142611,0.6225492,0.5556579,0.5209899,1.669969,
235,Giant__PlantId_2_2021-06-16 17.22.47.578,,,,2021-06-16_17.21.52.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_2_2021-06-16 17.22.47.578.hips,3.397759,2.896397,4.587809,4.303504,3.039534,2.310318,3.217046,19.54602,19.44204,17.99205,6.358281,6.525242,6.390499,7.384514,12.53399,0.7622747,0.7267398,0.9962828,0.934624,0.7947108,0.6570711,0.7677593,4.859209,4.865298,4.546723,2.127371,2.140109,2.135331,1.493163,1.301057,
236,Giant__PlantId_2_2021-06-17 11.22.03.167,,,,2021-06-17_11.21.07.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_2_2021-06-17 11.22.03.167.hips,3.200294,2.619764,4.194289,4.011034,2.703339,2.041663,2.910746,18.01124,18.0041,16.73765,6.637812,6.799735,6.690843,7.550254,12.49593,0.793564,0.7071273,1.009115,0.9791754,0.7975143,0.6798184,0.7931427,4.11038,4.093297,3.944546,1.837387,1.857266,1.837284,1.321841,1.521479,
237,Giant__PlantId_2_2021-06-21 17.23.11.773,,,,2021-06-21_17.22.16.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_2_2021-06-21 17.23.11.773.hips,2.441536,1.701442,2.824961,2.821487,1.63736,1.230662,1.883834,13.18179,13.31994,12.44106,6.950143,7.048056,6.983025,7.700704,11.70067,0.622476,0.5368448,0.7460694,0.7623751,0.5731457,0.4770792,0.5882452,2.768423,2.742414,2.715631,1.221585,1.24679,1.058819,0.8086931,0.9944089,
238,Giant__PlantId_2_2021-06-22 11.25.54.327,,,,2021-06-22_11.24.59.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_2_2021-06-22 11.25.54.327.hips,2.559012,1.871303,2.966856,2.835935,1.813401,1.380663,2.01784,13.25225,13.3474,12.54145,7.539559,7.605993,7.557494,8.10851,12.01707,0.8453327,0.7139191,1.028666,1.022632,0.780398,0.6458133,0.8171026,3.846456,3.746729,3.684976,0.9233273,0.9406984,0.9023237,0.6983081,1.280233,
239,Giant__PlantId_2_2021-06-23 17.26.10.961,,,,2021-06-23_17.25.16.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_2_2021-06-23 17.26.10.961.hips,3.023015,1.781529,3.452279,3.480985,1.83112,1.334797,2.25589,16.68635,16.98587,15.88357,6.861546,6.996807,6.958664,7.867418,13.69195,0.9083783,0.6221132,1.063544,1.075378,0.7058271,0.5831597,0.7629576,4.695638,4.808928,4.532678,1.36098,1.371441,1.344399,0.9360453,2.194345,
240,Giant__PlantId_2_2021-06-24 11.21.42.384,,,,2021-06-24_11.20.45.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_2_2021-06-24 11.21.42.384.hips,3.316448,2.123178,4.023367,3.884323,2.374332,1.72694,2.740206,18.18156,18.42991,17.21836,7.215344,7.382947,7.323158,8.119198,14.11257,1.15011,0.9019949,1.289348,1.234052,0.9099107,0.7833499,0.9372277,5.264293,5.365851,5.110757,1.395694,1.379221,1.29533,0.9453645,2.368984,
241,Giant__PlantId_20_2021-06-14 19.43.21.041,,,,2021-06-14_19.42.23.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_20_2021-06-14 19.43.21.041.hips,4.214324,2.984006,5.1997,5.313127,3.229519,2.435179,3.634569,21.58708,21.33613,20.04382,8.095872,8.272168,8.162914,8.588068,14.53502,0.7679088,0.6744487,1.000861,1.117448,0.854089,0.6805515,0.8111999,3.805559,3.666511,3.527699,0.5217505,0.5317619,0.4841263,0.4683841,1.895874,
242,Giant__PlantId_20_2021-06-15 11.23.32.580,,,,2021-06-15_11.22.35.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_20_2021-06-15 11.23.32.580.hips,4.307816,3.241165,5.555559,5.50435,3.546722,2.622593,3.870215,22.12963,21.80646,20.43559,8.20893,8.393453,8.25192,8.705754,14.37045,0.9540385,1.028177,1.18731,1.310934,1.00173,0.7703283,0.921845,3.864566,3.675993,3.536629,0.6510335,0.6725141,0.5962162,0.5646461,1.999782,
243,Giant__PlantId_20_2021-06-16 17.28.34.975,,,,2021-06-16_17.27.40.000,C:\Temp-PhenoLab - TNA-2021-06\HIPS\mspec\2 - input - HIPS\Giant__PlantId_20_2021-06-16 17.28.34.975.hips,4.070818,3.156433,5.345153,5.191973,3.440105,2.52969,3.727813,20.85486,20.65856,19.36244,8.244882,8.44042,8.299469,8.741785,14.05169,0.843661,1.026459,1.403746,1.506998,1.176204,0.8543119,1.080504,4.218955,4.076238,3.974366,0.6589299,0.6701511,0.6141505,0.5653062,1.849262,
