plotId	timePoint	S_Perimeter_cm	yPred	sd_yPred	lwr	upr	outlier
1	2020-06-17T00:00:00Z	17.4390858516456	23.982432055414485	8.868093697328545	-2.621849036571149	50.58671314740012	0
1	2020-06-22T00:00:00Z	34.4058229981271	33.85809483284898	1.7209767161586735	28.695164684372955	39.021024981325	0
1	2020-06-23T00:00:00Z	34.9630041357328	35.89078889467686	1.0677012392546328	32.687685176912964	39.093892612440754	0
1	2020-06-24T00:00:00Z	38.3918192108081	38.895371570647846	1.1724124698146083	35.378134161204024	42.41260898009167	0
1	2020-06-25T00:00:00Z	43.6168376216048	43.07169401439491	1.3888541331236743	38.90513161502388	47.23825641376593	0
1	2020-06-27T00:00:00Z	52.3338974497656	52.80122773145411	1.346940045849496	48.760407593905626	56.8420478690026	0
1	2020-06-28T00:00:00Z	58.0051361050838	57.04073726979117	1.2529079733651471	53.28201334969573	60.799461189886614	0
1	2020-06-29T00:00:00Z	61.7414677026547	61.83799630499559	1.3340977642339347	57.83570301229379	65.84028959769739	0
1	2020-06-30T00:00:00Z	66.3247406973064	67.55516826852471	1.2235686352878394	63.88446236266119	71.22587417438822	0
1	2020-07-01T00:00:00Z	75.7741927836714	74.60280997560962	1.229731019334313	70.91361691760667	78.29200303361256	0
1	2020-07-02T00:00:00Z	80.6696327395365	79.71656861663557	1.3383827309733616	75.70142042371549	83.73171680955565	0
1	2020-07-04T00:00:00Z	78.6497690312417	81.66837164779247	1.1771932004521775	78.13679204643594	85.199951249149	0
1	2020-07-05T00:00:00Z	81.9631960481534	80.41289988352612	1.700718988782899	75.31074291717742	85.51505684987482	0
2	2020-06-17T00:00:00Z	36.5381114594471	29.591488954301283	33.217707436998346	-70.06163335669375	129.24461126529633	0
2	2020-06-22T00:00:00Z	52.058767622366	52.153627879439824	5.8501499088315505	34.603178152945176	69.70407760593447	0
2	2020-06-23T00:00:00Z	58.7092689442305	57.74657327089252	3.6424538101751045	46.8192118403672	68.67393470141783	0
2	2020-06-24T00:00:00Z	59.8143976624019	62.80553160801073	4.236830501937866	50.09504010219713	75.51602311382433	0
2	2020-06-25T00:00:00Z	69.1908283790587	67.30118545156392	5.248395600131276	51.5559986511701	83.04637225195775	0
2	2020-06-27T00:00:00Z	69.8095131401169	74.39315959417472	4.831626648129851	59.89827964978517	88.88803953856427	0
2	2020-06-28T00:00:00Z	87.2816172000776	83.47575859261534	4.736908235327889	69.26503388663167	97.686483298599	0
2	2020-06-29T00:00:00Z	89.2069842391819	94.10802078763244	5.129937386156935	78.71820862916164	109.49783294610324	0
2	2020-06-30T00:00:00Z	104.850705674395	99.65882061774661	5.129789489029761	84.26945215065733	115.0481890848359	0
2	2020-07-01T00:00:00Z	95.7712658840656	100.96601053330642	4.736908235327896	86.75528582732272	115.17673523929011	0
2	2020-07-02T00:00:00Z	101.913574350546	104.06522057384281	4.449784979593479	90.71586563506237	117.41457551262324	0
2	2020-07-04T00:00:00Z	134.007317370878	133.6777783569173	6.281332905252701	114.83377964115918	152.52177707267538	0
2	2020-07-05T00:00:00Z	147.13699702884	155.78418457021152	10.539814297060971	124.16474167902861	187.40362746139442	0
3	2020-06-17T00:00:00Z	17.3605975640645	38.22727916944907	12.918470261218149	-0.5281316142053782	76.98268995310352	0
3	2020-06-22T00:00:00Z	38.6520252896546	40.158981610770894	2.5070085281848176	32.63795602621644	47.680007195325345	0
3	2020-06-23T00:00:00Z	45.0980929344697	42.55259935438146	1.5553587025508997	37.88652324672876	47.218675462034156	0
3	2020-06-24T00:00:00Z	47.4992343987235	46.06593748775192	1.7078953089708448	40.94225156083938	51.18962341466445	0
3	2020-06-25T00:00:00Z	48.3835604213644	50.19215816008964	2.0231936454768142	44.1225772236592	56.26173909652008	0
3	2020-06-27T00:00:00Z	67.5639544339226	67.47623704239801	1.9621358907374062	61.5898293701858	73.36264471461023	0
3	2020-06-28T00:00:00Z	76.7631103919616	74.99435364927598	1.8251559970364968	69.51888565816648	80.46982164038548	0
3	2020-06-29T00:00:00Z	83.1567930472638	82.53755122923663	1.9434280783485052	76.70726699419112	88.36783546428214	0
3	2020-06-30T00:00:00Z	88.1079829647945	91.3572207436749	1.782416330613069	86.00997175183569	96.70446973551411	0
3	2020-07-01T00:00:00Z	105.469326965178	102.6830389507545	1.791393296549565	97.30885906110579	108.0572188404032	0
3	2020-07-02T00:00:00Z	113.643112091623	113.9746963026514	1.9496701431352443	108.12568587324566	119.82370673205713	0
3	2020-07-04T00:00:00Z	132.070576521313	133.47568853646973	1.7148595708151841	128.33110982402417	138.6202672489153	0
3	2020-07-05T00:00:00Z	143.486553484073	142.72706512550252	2.4774983699032647	135.29457001579271	150.15956023521233	0
4	2020-06-17T00:00:00Z	21.6279911336033	10.53324035104685	10.488863145880869	-20.933349086595754	41.99982978868945	0
4	2020-06-22T00:00:00Z	41.2816559585762	41.12143085589998	1.847250352631993	35.579679798004	46.66318191379596	0
4	2020-06-23T00:00:00Z	46.4912274581418	46.713180826550015	1.150145584326675	43.26274407356999	50.16361757953004	0
4	2020-06-24T00:00:00Z	52.2650257962276	52.82536918251127	1.3378266814892423	48.81188913804354	56.838849226978994	0
4	2020-06-25T00:00:00Z	59.8142444316006	59.4526585501681	1.6572396902955775	54.48093947928137	64.42437762105483	0
4	2020-06-27T00:00:00Z	72.0207654489903	72.06757891472645	1.5256402260855288	67.49065823646987	76.64449959298304	0
4	2020-06-28T00:00:00Z	76.239878864925	74.19394336251167	1.4957318264417812	69.70674788318632	78.68113884183703	0
