plotId	timePoint	S_Compactness	yPred	sd_yPred	lwr	upr	outlier
1	2020-06-17T00:00:00Z	0.0105319275719306	0.3989258084065968	0.06144228316195182	0.21459895892074135	0.5832526578924523	1
1	2020-06-22T00:00:00Z	0.223289814553569	0.21347248659142493	0.011923728178605162	0.17770130205560944	0.2492436711272404	0
1	2020-06-23T00:00:00Z	0.165897814796213	0.1876424948843462	0.007397531432760142	0.1654499005860658	0.2098350891826266	0
1	2020-06-24T00:00:00Z	0.18115507787078	0.17421202090342194	0.008123019603937286	0.14984296209161008	0.1985810797152338	0
1	2020-06-25T00:00:00Z	0.173323508318425	0.17665593910459104	0.0096226282480234	0.14778805436052084	0.20552382384866125	0
1	2020-06-27T00:00:00Z	0.193795219335148	0.19174073479867101	0.009332227931261905	0.16374405100488532	0.2197374185924567	0
1	2020-06-28T00:00:00Z	0.195423451388028	0.19126862071189343	0.008680729940704025	0.16522643088978137	0.2173108105340055	0
1	2020-06-29T00:00:00Z	0.187254772902762	0.18890884275423644	0.009243250623353379	0.1611790908841763	0.21663859462429658	0
1	2020-06-30T00:00:00Z	0.190407367943693	0.18952098540543838	0.008477453342659824	0.1640886253774589	0.21495334543341785	0
1	2020-07-01T00:00:00Z	0.197777886776752	0.20489572238365797	0.008520149209264185	0.17933527475586541	0.23045617001145052	0
1	2020-07-02T00:00:00Z	0.231867015502797	0.2238428702931723	0.009272938868508336	0.19602405368764728	0.2516616868986973	0
1	2020-07-04T00:00:00Z	0.260569121550447	0.25165981701723994	0.008156142732264518	0.22719138882044637	0.2761282452140335	0
1	2020-07-05T00:00:00Z	0.250232806288724	0.2552037513014268	0.011783373208966658	0.21985363167452682	0.2905538709283268	0
2	2020-06-17T00:00:00Z	0.19957862672928	0.2000337781166402	0.015846275395131507	0.15249495193124568	0.2475726043020347	0
2	2020-06-22T00:00:00Z	0.277088070243336	0.27177656635040615	0.0108543018003956	0.23921366094921934	0.3043394717515929	0
2	2020-06-23T00:00:00Z	0.275911962262819	0.24998570118666197	0.00908944208535346	0.2227173749306016	0.2772540274427224	0
2	2020-06-24T00:00:00Z	0.206852277577136	0.2227124643776984	0.009748252190722862	0.1934677078055298	0.251957220949867	0
2	2020-06-25T00:00:00Z	0.204193313870935	0.19600815869651517	0.011169971782037222	0.1624982433504035	0.22951807404262684	0
2	2020-06-27T00:00:00Z	0.177611036987112	0.18567606774514223	0.010901021410943802	0.15297300351231083	0.21837913197797362	0
2	2020-06-28T00:00:00Z	0.20184558248857	0.20483421606871366	0.009798206485064725	0.1754395966135195	0.23422883552390783	0
2	2020-06-29T00:00:00Z	0.236378678750994	0.2311382272381843	0.010248624105032418	0.20039235492308705	0.26188409955328157	0
2	2020-06-30T00:00:00Z	0.263543374632165	0.25908904857354753	0.0111562602363522	0.22562026786449094	0.2925578292826041	0
2	2020-07-01T00:00:00Z	0.273208866048912	0.279033098690198	0.010397115411449123	0.2478417524558506	0.3102244449245454	0
2	2020-07-02T00:00:00Z	0.292949626904628	0.29553968824107246	0.010991869241384029	0.2625640805169204	0.32851529596522455	0
2	2020-07-04T00:00:00Z	0.325544466416276	0.3142556979517832	0.009744762854024836	0.2850214093897087	0.3434899865138577	0
2	2020-07-05T00:00:00Z	0.308129196469487	0.31398775221215774	0.01421241636509165	0.2713505031168828	0.3566250013074327	0
3	2020-06-17T00:00:00Z	0.359456385080524	0.3604595246677753	0.05470547101301037	0.1963431116287442	0.5245759377068064	0
3	2020-06-22T00:00:00Z	0.223386141892673	0.20489082965897293	0.03747187763065378	0.09247519676701159	0.31730646255093425	0
3	2020-06-23T00:00:00Z	0.20375171530257	0.24035906824157108	0.03137912210446053	0.14622170192818948	0.3344964345549527	0
3	2020-06-24T00:00:00Z	0.20951822317260901	0.28284145780159814	0.03365350622462021	0.1818809391277375	0.3838019764754588	0
3	2020-06-25T00:00:00Z	0.401044905421709	0.33314375148582576	0.03856165264716516	0.2174587935443303	0.4488287094273212	0
3	2020-06-27T00:00:00Z	0.321001892011538	0.31587584297745835	0.037633165897887164	0.20297634528379688	0.42877534067111983	0
3	2020-06-28T00:00:00Z	0.237089644739324	0.2609518570349517	0.033825961463024926	0.15947397264587693	0.3624297414240265	0
3	2020-06-29T00:00:00Z	0.263701355491126	0.29488853606331356	0.03538092043215038	0.1887457747668624	0.4010312973597647	0
3	2020-06-30T00:00:00Z	0.38636845223423	0.38162216982442354	0.038514316819261644	0.2660792193666386	0.4971651202822085	0
3	2020-07-01T00:00:00Z	0.457009782369752	0.4258483872276305	0.03589355110758082	0.31816773390488806	0.533529040550373	0
3	2020-07-02T00:00:00Z	0.394360271493671	0.4345761120832011	0.03794679627668707	0.3207357232531399	0.5484165009132623	0
3	2020-07-04T00:00:00Z	0.406391981177527	0.39491469245302235	0.0336414601252796	0.29399031207718357	0.49583907282886114	0
3	2020-07-05T00:00:00Z	0.341445064328817	0.3462073648985865	0.04906496398038291	0.19901247295743776	0.49340225683973526	0
4	2020-06-17T00:00:00Z	0.0162218538819497	0.39873824490964305	0.22975006559912997	-0.2905119518877468	1.087988441707033	0
4	2020-06-22T00:00:00Z	0.358782458135473	0.39924918906858653	0.044586190327594366	0.26549061808580343	0.5330077600513696	0
4	2020-06-23T00:00:00Z	0.461541618541167	0.39539569107784206	0.02766146120365424	0.31241130746687934	0.4783800746888048	0
4	2020-06-24T00:00:00Z	0.420084773997705	0.3763648537011459	0.030374266560837953	0.28524205401863206	0.4674876533836598	0
