plotId	timePoint	S_Width_cm	yPred	sd_yPred	lwr	upr	outlier
1	2020-06-17T00:00:00Z	8.30225656877901	8.283339060676541	0.31540883889185156	7.337112544000986	9.229565577352096	0
1	2020-06-22T00:00:00Z	4.80544049459044	5.239101830258276	0.21066710003760258	4.607100530145468	5.871103130371084	0
1	2020-06-23T00:00:00Z	5.80299845440497	5.7615478871836805	0.1725594919534191	5.243869411323423	6.2792263630439376	0
1	2020-06-24T00:00:00Z	6.09797527047916	6.544956690056689	0.19629285576585584	5.956078122759122	7.1338352573542565	0
1	2020-06-25T00:00:00Z	7.48168469860899	7.240801466627767	0.24258642074699757	6.513042204386775	7.968560728868759	0
1	2020-06-27T00:00:00Z	7.66939721792893	7.6267004767268585	0.2286400554790807	6.940780310289616	8.3126206431641	0
1	2020-06-28T00:00:00Z	7.52995363214841	7.622131870473674	0.20693930589600704	7.001313952785653	8.242949788161695	0
1	2020-06-29T00:00:00Z	7.66939721792893	7.67363410504446	0.20253001257431116	7.066044067321527	8.281224142767394	0
1	2020-06-30T00:00:00Z	7.74984544049462	7.6632548655913855	0.1966212821351495	7.073391019185937	8.253118711996834	0
1	2020-07-01T00:00:00Z	7.56749613601239	7.578636246317721	0.19867293445754078	6.982617442945099	8.174655049690344	0
1	2020-07-02T00:00:00Z	7.40123647604331	7.556368909600804	0.19812186973408427	6.9620033003985515	8.150734518803057	0
1	2020-07-04T00:00:00Z	7.8249304482226	7.790940279392769	0.3098818425496852	6.8612947517437135	8.720585807041825	0
1	2020-07-05T00:00:00Z	8.09309119010822	8.019578336967005	0.49431161331608314	6.536643497018755	9.502513176915254	0
2	2020-06-17T00:00:00Z	5.36321483771254	0.2809665449014924	1.2335083665979532	-3.419558554892367	3.9814916446953514	1
2	2020-06-22T00:00:00Z	7.65330757341579	7.541654130833524	0.217239822226818	6.88993466415307	8.193373597513977	0
2	2020-06-23T00:00:00Z	8.51678516228751	8.693348545409634	0.13525910113812434	8.287571241995261	9.099125848824007	0
2	2020-06-24T00:00:00Z	9.51970633693976	9.822666022629985	0.15733072133017786	9.350673858639452	10.294658186620518	0
2	2020-06-25T00:00:00Z	11.1233075734158	10.92674258661892	0.19489424115907078	10.342059863141706	11.511425310096133	0
2	2020-06-27T00:00:00Z	11.6649922720248	11.748426494410744	0.17941791756849634	11.210172741705255	12.286680247116232	0
2	2020-06-28T00:00:00Z	11.7668933539413	11.75015398046845	0.17590063827149205	11.222452065653975	12.277855895282926	0
2	2020-06-29T00:00:00Z	11.7561669242659	11.76139008218973	0.19049540664266915	11.189903862261723	12.332876302117736	0
2	2020-06-30T00:00:00Z	11.7615301391036	11.759666337001843	0.19048991462176101	11.18819659313656	12.331136080867125	0
2	2020-07-01T00:00:00Z	11.7668933539413	11.767590827845972	0.17590063827149235	11.239888913031495	12.295292742660449	0
2	2020-07-02T00:00:00Z	11.7776197836167	11.763707307127431	0.16523858584463613	11.267991549593523	12.25942306466134	0
2	2020-07-04T00:00:00Z	11.6649922720248	11.666885574407987	0.23325139781881274	10.967131380951548	12.366639767864426	0
2	2020-07-05T00:00:00Z	11.5148222565688	11.530517965487633	0.3913861046091578	10.35635965166016	12.704676279315105	0
3	2020-06-17T00:00:00Z	2.43489953632149	0.9433089844108506	1.4546432063648007	-3.4206206346835515	5.307238603505253	0
3	2020-06-22T00:00:00Z	6.77910355486865	6.958330064501707	0.25618507349544084	6.189774844015385	7.72688528498803	0
3	2020-06-23T00:00:00Z	8.2968933539413	7.919283071644711	0.1595074163235988	7.440760822673914	8.397805320615507	0
3	2020-06-24T00:00:00Z	8.52751159196294	8.41770210529802	0.1855358837707916	7.861094453985645	8.974309756610394	0
3	2020-06-25T00:00:00Z	8.37734157650699	8.454504542500766	0.22983353136352844	7.765003948410181	9.1440051365913515	0
3	2020-06-27T00:00:00Z	8.68840803709432	8.803023797934017	0.21158271962998298	8.168275639044069	9.437771956823966	0
3	2020-06-28T00:00:00Z	9.25154559505413	9.205512318142196	0.20743488685249972	8.583207657584698	9.827816978699694	0
3	2020-06-29T00:00:00Z	9.21400309119014	9.154933255519973	0.224646104250363	8.480994942768884	9.828871568271062	0
3	2020-06-30T00:00:00Z	8.92975270479138	8.99335036796074	0.22463962765797046	8.31943148498683	9.667269250934652	0
3	2020-07-01T00:00:00Z	9.04238021638334	9.066791802744891	0.20743488685250006	8.444487142187391	9.689096463302391	0
3	2020-07-02T00:00:00Z	9.73959814528597	9.550678977183773	0.1948614154852914	8.9660947307279	10.135263223639647	0
3	2020-07-04T00:00:00Z	10.7103400309119	10.735945921759903	0.27506709350340325	9.910744641249693	11.561147202270114	0
3	2020-07-05T00:00:00Z	11.6703554868625	11.42746163133283	0.46155109568126645	10.042808344289032	12.81211491837663	0
4	2020-06-17T00:00:00Z	7.42268933539416	7.410406408384573	0.15941646475266863	6.932157014126568	7.888655802642579	0
4	2020-06-22T00:00:00Z	5.4329366306028	5.6576894716217545	0.10647705513163097	5.338258306226861	5.977120637016648	0
4	2020-06-23T00:00:00Z	5.92635239567236	6.049763117965104	0.08721640225232546	5.788113911208128	6.31141232472208	0
4	2020-06-24T00:00:00Z	6.77910355486865	6.6256491201129295	0.09921190931852053	6.328013392157368	6.923284848068491	0
4	2020-06-25T00:00:00Z	7.13307573415768	7.181015960179436	0.1226099741794169	6.813186037641185	7.5488458827176865	0
4	2020-06-27T00:00:00Z	8.22717156105104	8.326835353726759	0.115561090403769	7.980152082515452	8.673518624938065	0
