image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-01713	B	02/04/2021	vertical	6776	5943	12347	11463	4308	1913	1448	804	1157	1554
ZM009-01713	B	09/04/2021	vertical	4846	5964	13387	9446	3969	1818	2540	631	826	1157
ZM009-01713	B	16/04/2021	vertical	4294	9789	17924	15034	5856	3329	7750	6529	5813	29151
ZM009-01713	B	26/04/2021	vertical	3760	10817	28630	37933	22118	23772	23402	42181	38202	99226
ZM009-01713	C	19/03/2021	vertical	308	98	653	5	4	59	14	7	258	181
ZM009-01713	C	26/03/2021	vertical	157	1893	2691	1053	484	811	647	527	916	3466
ZM009-01713	C	02/04/2021	vertical	1778	4198	9839	11356	4057	6772	5423	6535	1746	5515
ZM009-01713	C	09/04/2021	vertical	1099	4401	8432	8824	3747	5868	4887	5105	5071	6807
ZM009-01713	C	16/04/2021	vertical	1406	4137	11009	11778	6386	9620	8719	13623	22467	30450
ZM009-01713	C	26/04/2021	vertical	1901	4931	16679	24147	26212	19954	24390	32362	34936	66778
ZM009-01713	D	19/03/2021	vertical	935	1127	3136	631	802	540	4	0	730	170
ZM009-01713	D	26/03/2021	vertical	4021	8893	10932	8890	3931	3230	1690	549	1036	3533
ZM009-01713	D	02/04/2021	vertical	3982	12410	22313	27161	26462	14264	7453	3601	2667	3980
ZM009-01713	D	09/04/2021	vertical	3830	12492	18976	21823	20587	14241	15971	7729	8723	5778
ZM009-01713	D	16/04/2021	vertical	3479	14918	24845	29217	26733	20840	25628	21935	19429	33691
ZM009-01713	D	26/04/2021	vertical	1731	14333	31499	32763	32562	28438	27226	19563	20050	67815
ZM009-01714	A	19/03/2021	vertical	4343	1804	2879	1652	3357	6045	1201	366	320	1525
ZM009-01714	A	26/03/2021	vertical	5130	2726	1697	2196	1453	653	323	201	349	565
ZM009-01714	A	02/04/2021	vertical	34368	50259	34380	39441	22545	14041	7973	23118	9291	4616
ZM009-01714	A	09/04/2021	vertical	32063	41775	25347	25202	15619	13143	11312	15210	16757	15049
ZM009-01714	A	16/04/2021	vertical	18617	37336	37861	50887	35488	33680	29495	57666	64141	91497
ZM009-01714	A	26/04/2021	vertical	17672	23154	32565	47552	29845	32028	20919	43397	55035	95350
ZM009-01714	B	19/03/2021	vertical	865	979	468	179	115	60	7	14	358	65
ZM009-01714	B	26/03/2021	vertical	135	1578	1527	539	943	1063	347	266	714	378
ZM009-01714	B	02/04/2021	vertical	1589	24492	31510	25225	15954	7288	7707	12323	10690	8018
ZM009-01714	B	09/04/2021	vertical	3920	19559	27334	17582	10107	14868	10122	9455	11233	16474
ZM009-01714	B	16/04/2021	vertical	2141	20123	44056	39736	40566	45749	41108	47260	61398	96843
ZM009-01714	B	26/04/2021	vertical	2612	11014	32855	36128	29651	40483	32133	31808	49772	92676
ZM009-01714	C	19/03/2021	vertical	111	85	37	151	472	103	42	0	498	39
ZM009-01714	C	26/03/2021	vertical	158	811	794	571	433	351	53	149	266	558
ZM009-01714	C	02/04/2021	vertical	878	9204	21313	18853	17639	2623	3850	2416	1579	288
ZM009-01714	C	09/04/2021	vertical	3361	9710	17532	11917	12449	11940	6138	8119	6709	14039
ZM009-01714	C	16/04/2021	vertical	3772	9324	21819	27680	46531	46140	54756	55846	53352	90798
ZM009-01714	C	26/04/2021	vertical	3335	6060	14855	18517	31368	33165	31562	40530	41423	80132
ZM009-01714	D	19/03/2021	vertical	10	75	494	1495	27	8	132	11	624	403
ZM009-01714	D	26/03/2021	vertical	375	1551	1536	1392	1497	1349	480	616	1041	464
ZM009-01714	D	02/04/2021	vertical	3198	24155	32148	23665	16755	19684	15855	15150	11583	7595
ZM009-01714	D	09/04/2021	vertical	5958	18260	24397	19453	14599	14444	12607	15942	15701	34642
ZM009-01714	D	16/04/2021	vertical	3167	21466	33491	34886	35451	51297	38191	53535	64899	135224
ZM009-01714	D	26/04/2021	vertical	3702	14985	32977	29170	32096	33513	24659	37747	56768	131516
ZM009-01715	A	19/03/2021	vertical	4089	288	1254	4381	5275	5840	4520	1743	753	83
ZM009-01715	A	26/03/2021	vertical	28189	9688	12319	5981	5260	6636	1394	1198	2049	8530
ZM009-01715	A	02/04/2021	vertical	22748	20180	22364	14899	22026	22685	18266	14006	6725	5544
ZM009-01715	A	09/04/2021	vertical	17452	15296	17544	14618	22923	23019	20434	24633	42946	51451
ZM009-01715	A	16/04/2021	vertical	20575	18016	23839	18957	30283	30290	28667	40736	71143	104362
ZM009-01715	A	26/04/2021	vertical	17646	18489	23813	20716	28812	25007	22437	32040	62240	113430
ZM009-01715	B	19/03/2021	vertical	423	126	843	205	145	219	119	48	335	82
ZM009-01715	B	26/03/2021	vertical	4835	15928	14554	12888	15635	11278	2241	4845	6261	6226
ZM009-01715	B	02/04/2021	vertical	6869	20697	23020	20962	27752	28944	25692	9394	15376	8012
ZM009-01715	B	09/04/2021	vertical	6606	16749	21012	24762	29497	30574	33462	22745	40569	49856
ZM009-01715	B	16/04/2021	vertical	4079	14161	26692	33936	42560	42242	46925	33759	72177	102543
ZM009-01715	B	26/04/2021	vertical	3183	9812	19288	27472	29483	28095	37332	26481	61923	103573
