Plant ID	Plant Info	Plant Name	shoot_dry_biomass_scale_gram
2020_Maize106	S2_4	UHEL_EPPN09_H	58,72
2020_Maize107	S2_5	UHEL_EPPN12_H	33,39
2020_Maize108	S2_5	UHEL_EPPN13_H	28,79
2020_Maize109	S1_5	UHEL_EPPN05_H	44,14
2020_Maize110	S1_5	UHEL_EPPN06_H	45,05
2020_Maize111	S1_1	UHEL_EPPN06_H	27,42
2020_Maize112	S1_1	UHEL_EPPN03_H	49,56
2020_Maize113	S2_1	UHEL_EPPN05_H	59,63
2020_Maize114	S2_1	UHEL_EPPN02_H	28,22
2020_Maize115	S2_2	UHEL_EPPN09_H	44,05
2020_Maize116	S1_2	UHEL_EPPN04_H	40,96
2020_Maize117	S1_3	UHEL_EPPN12_H	117
2020_Maize118	S2_3	UHEL_EPPN05_H	26,63
2020_Maize119	S2_3	UHEL_EPPN09_H	31,48
2020_Maize120	S1_4	UHEL_EPPN01_H	27,85
2020_Maize121	S2_4	UHEL_EPPN10_H	78,33
2020_Maize122	S2_4	UHEL_EPPN08_H	30,44
2020_Maize123	S2_5	UHEL_EPPN11_H	38,16
2020_Maize124	S2_5	UHEL_EPPN11_L	36,78
2020_Maize125	S1_5	UHEL_EPPN03_H	24,08
2020_Maize126	S1_5	UHEL_EPPN11_H	30,14
