Source Name,Characteristic[Organism],Characteristics[Genus],Characteristics[Species],Characteristics[Infraspecific Name],Characteristics[Biological Material Latitude],Characteristics[Biological Material Longitude],Characteristics[Biological Material Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Biological Material Preprocessing],Characteristics[Material Source ID],Characteristics[Material Source DOI],Characteristics[Material Source Latitude],Characteristics[Material Source Longitude],Characteristics[Material Source Altitude],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Coordinates Uncertainty],Unit,Term Source REF,Term Accession Number,Characteristics[Material Source Description],Protocol REF,Parameter Value[Container type],Parameter Value[Container volume],Parameter Value[Number of plants per container],Parameter Value[Rooting medium type],Parameter Value[Rooting medium composition],Parameter Value[Rooting medium pH],Parameter Value[Irrigation type],Sample Name,Characteristics[Observation Unit Type],Characteristics[External ID],Characteristics[Spatial Distribution],Factor Value[growth substrate effect]
UHEL_EPPN07_L,NCBITAXON:4577,Zea,maize,EPPN07_L,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize045,plant,,row=3; column=9; block=3; x=100; y=308,S1
UHEL_EPPN08_H,NCBITAXON:4577,Zea,maize,EPPN08_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize046,plant,,row=3; column=10; block=3; x=100; y=333,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize047,plant,,row=3; column=13; block=4; x=100; y=408,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize048,plant,,row=3; column=14; block=4; x=100; y=432,S1
UHEL_EPPN01_H,NCBITAXON:4577,Zea,maize,EPPN01_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize049,plant,,row=3; column=15; block=4; x=100; y=457,S2
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize050,plant,,row=3; column=16; block=4; x=100; y=482,S2
UHEL_EPPN03_H,NCBITAXON:4577,Zea,maize,EPPN03_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize051,plant,,row=3; column=17; block=5; x=100; y=507,S2
UHEL_EPPN02_H,NCBITAXON:4577,Zea,maize,EPPN02_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize052,plant,,row=3; column=18; block=5; x=100; y=532,S2
UHEL_EPPN10_H,NCBITAXON:4577,Zea,maize,EPPN10_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize053,plant,,row=3; column=19; block=5; x=100; y=556,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize054,plant,,row=3; column=20; block=5; x=100; y=581,S1
UHEL_EPPN09_H,NCBITAXON:4577,Zea,maize,EPPN09_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize055,plant,,row=4; column=1; block=1; x=150; y=110,S1
UHEL_EPPN11_H,NCBITAXON:4577,Zea,maize,EPPN11_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize056,plant,,row=4; column=2; block=1; x=150; y=135,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize057,plant,,row=4; column=3; block=1; x=150; y=160,S2
UHEL_EPPN20_T,NCBITAXON:4577,Zea,maize,EPPN20_T,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize058,plant,,row=4; column=4; block=1; x=150; y=184,S2
UHEL_EPPN01_H,NCBITAXON:4577,Zea,maize,EPPN01_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize059,plant,,row=4; column=5; block=2; x=150; y=209,S2
UHEL_EPPN02_H,NCBITAXON:4577,Zea,maize,EPPN02_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize060,plant,,row=4; column=6; block=2; x=150; y=234,S2
UHEL_EPPN11_H,NCBITAXON:4577,Zea,maize,EPPN11_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize061,plant,,row=4; column=7; block=2; x=150; y=259,S1
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize062,plant,,row=4; column=8; block=2; x=150; y=284,S1
UHEL_EPPN10_H,NCBITAXON:4577,Zea,maize,EPPN10_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize063,plant,,row=4; column=9; block=3; x=150; y=308,S1
UHEL_EPPN03_H,NCBITAXON:4577,Zea,maize,EPPN03_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize064,plant,,row=4; column=10; block=3; x=150; y=333,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize065,plant,,row=4; column=11; block=3; x=150; y=358,S2
UHEL_EPPN01_H,NCBITAXON:4577,Zea,maize,EPPN01_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize066,plant,,row=4; column=12; block=3; x=150; y=383,S2
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize067,plant,,row=4; column=13; block=4; x=150; y=408,S1
UHEL_EPPN02_H,NCBITAXON:4577,Zea,maize,EPPN02_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize068,plant,,row=4; column=14; block=4; x=150; y=432,S1
UHEL_EPPN04_H,NCBITAXON:4577,Zea,maize,EPPN04_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize069,plant,,row=4; column=15; block=4; x=150; y=457,S2
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize070,plant,,row=4; column=17; block=5; x=150; y=507,S2
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize071,plant,,row=4; column=18; block=5; x=150; y=532,S2
UHEL_EPPN08_H,NCBITAXON:4577,Zea,maize,EPPN08_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize072,plant,,row=4; column=19; block=5; x=150; y=556,S1
UHEL_EPPN12_H,NCBITAXON:4577,Zea,maize,EPPN12_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize073,plant,,row=4; column=20; block=5; x=150; y=581,S1
UHEL_EPPN01_H,NCBITAXON:4577,Zea,maize,EPPN01_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize074,plant,,row=5; column=2; block=1; x=200; y=135,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize075,plant,,row=5; column=3; block=1; x=200; y=160,S2
UHEL_EPPN12_H,NCBITAXON:4577,Zea,maize,EPPN12_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize076,plant,,row=5; column=4; block=1; x=200; y=184,S2
UHEL_EPPN09_H,NCBITAXON:4577,Zea,maize,EPPN09_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize077,plant,,row=5; column=6; block=2; x=200; y=234,S2
UHEL_EPPN12_H,NCBITAXON:4577,Zea,maize,EPPN12_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize078,plant,,row=5; column=7; block=2; x=200; y=259,S1
UHEL_EPPN02_H,NCBITAXON:4577,Zea,maize,EPPN02_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize079,plant,,row=5; column=8; block=2; x=200; y=284,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize080,plant,,row=5; column=9; block=3; x=200; y=308,S1
UHEL_EPPN01_H,NCBITAXON:4577,Zea,maize,EPPN01_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize081,plant,,row=5; column=10; block=3; x=200; y=333,S1
UHEL_EPPN08_H,NCBITAXON:4577,Zea,maize,EPPN08_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize082,plant,,row=5; column=11; block=3; x=200; y=358,S2
UHEL_EPPN07_L,NCBITAXON:4577,Zea,maize,EPPN07_L,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize083,plant,,row=5; column=12; block=3; x=200; y=383,S2
UHEL_EPPN09_H,NCBITAXON:4577,Zea,maize,EPPN09_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize084,plant,,row=5; column=13; block=4; x=200; y=408,S1
UHEL_EPPN11_H,NCBITAXON:4577,Zea,maize,EPPN11_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize085,plant,,row=5; column=14; block=4; x=200; y=432,S1
UHEL_EPPN02_H,NCBITAXON:4577,Zea,maize,EPPN02_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize086,plant,,row=5; column=15; block=4; x=200; y=457,S2
UHEL_EPPN03_H,NCBITAXON:4577,Zea,maize,EPPN03_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize087,plant,,row=5; column=16; block=4; x=200; y=482,S2
UHEL_EPPN20_T,NCBITAXON:4577,Zea,maize,EPPN20_T,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize088,plant,,row=5; column=17; block=5; x=200; y=507,S2
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize089,plant,,row=5; column=18; block=5; x=200; y=532,S2
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize090,plant,,row=5; column=19; block=5; x=200; y=556,S1
UHEL_EPPN04_H,NCBITAXON:4577,Zea,maize,EPPN04_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize091,plant,,row=5; column=20; block=5; x=200; y=581,S1
UHEL_EPPN06_H,NCBITAXON:4577,Zea,maize,EPPN06_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize092,plant,,row=6; column=1; block=1; x=250; y=110,S1
UHEL_EPPN13_H,NCBITAXON:4577,Zea,maize,EPPN13_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize093,plant,,row=6; column=2; block=1; x=250; y=135,S1
UHEL_EPPN01_H,NCBITAXON:4577,Zea,maize,EPPN01_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize094,plant,,row=6; column=3; block=1; x=250; y=160,S2
UHEL_EPPN10_H,NCBITAXON:4577,Zea,maize,EPPN10_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize095,plant,,row=6; column=5; block=2; x=250; y=209,S2
UHEL_EPPN03_H,NCBITAXON:4577,Zea,maize,EPPN03_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize096,plant,,row=6; column=6; block=2; x=250; y=234,S2
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize097,plant,,row=6; column=7; block=2; x=250; y=259,S1
UHEL_EPPN13_H,NCBITAXON:4577,Zea,maize,EPPN13_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize098,plant,,row=6; column=8; block=2; x=250; y=284,S1
UHEL_EPPN05_H,NCBITAXON:4577,Zea,maize,EPPN05_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize099,plant,,row=6; column=9; block=3; x=250; y=308,S1
UHEL_EPPN11_H,NCBITAXON:4577,Zea,maize,EPPN11_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize100,plant,,row=6; column=10; block=3; x=250; y=333,S1
UHEL_EPPN12_H,NCBITAXON:4577,Zea,maize,EPPN12_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize101,plant,,row=6; column=11; block=3; x=250; y=358,S2
UHEL_EPPN10_H,NCBITAXON:4577,Zea,maize,EPPN10_H,,,,,,,,,,,seeds were soaked on wet paper over night prior to sowing in germination pot with tightly packed wet soil,,,,,,,,,,,,,seeds were obtained from C. Welcker INRAE Lepse,Growth,Pot,3L,1,Soil,S1: Kekkilä Karkea Ruukutusseos (W R8296) ; S2: Kekkilä Ruukutusseos Airboost ,,automatic by weight,2020_Maize102,plant,,row=6; column=12; block=3; x=250; y=383,S2
