plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-01	D	26/03/2021	lat:tot	0.383988192	0.246724861	0.31786491	0.37378702	0.435670853	0.424375192	0.374573378	0.403566614	0.235497744	0.729514257	0.102198362	0.105602735	0.098742952	0.099622929	0.12385633	0.148132559	0.160933366	0.184321838	0.063310187	0.079092998	6	6	6	6	6	6	6	5	6	6
ZM009-01	D	02/04/2021	lat:tot	0.375918251	0.270207214	0.282880486	0.333079088	0.317336605	0.292911153	0.33491334	0.322149666	0.302546116	0.473759159	0.104873449	0.070997905	0.065060079	0.053936998	0.092066192	0.082118572	0.102743805	0.083007412	0.119241916	0.115601712	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	09/04/2021	lat:tot	0.450866812	0.343680716	0.341686654	0.406377044	0.419448587	0.421163483	0.424331588	0.436122867	0.435816999	0.489311063	0.09324953	0.118655566	0.077328401	0.064414968	0.063375576	0.068244278	0.075040222	0.111210184	0.140535551	0.178855716	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	16/04/2021	lat:tot	0.425613056	0.241044642	0.252377078	0.329272366	0.34233236	0.322594817	0.34548062	0.313422584	0.291097186	0.285609691	0.068924214	0.037587549	0.044493336	0.058998913	0.050818717	0.042754214	0.04328657	0.054413294	0.055449887	0.077808623	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	26/04/2021	lat:tot	0.48258682	0.26166391	0.250546739	0.333126879	0.346080581	0.333378408	0.365977521	0.345770809	0.3047584	0.295269219	0.040853212	0.047503592	0.045325271	0.074802368	0.035080388	0.064649496	0.053609876	0.075123243	0.046270302	0.04578681	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	19/03/2021	lat:tot	0.281899813	0.310168806	0.39168642	0.371226939	0.407391152	0.446595026	0.488528517	0.461801547	0.314854271	0.486248555	0.088942603	0.100029034	0.138804569	0.097723727	0.088147049	0.013727479	NA	NA	0.330246233	0.083901798	6	6	3	3	3	2	1	1	2	2
ZM009-02	A	26/03/2021	lat:tot	0.320318452	0.295417145	0.308595723	0.418709268	0.472431143	0.422267407	0.46150261	0.601959761	0.317316701	0.786037911	0.047919372	0.101195815	0.078489711	0.078984642	0.027651907	0.108208783	0.065191375	0.065770947	0.181822525	0.103071102	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	02/04/2021	lat:tot	0.209721183	0.226962694	0.269002826	0.295786173	0.317575597	0.326575353	0.29233532	0.308994907	0.235269326	0.450171924	0.017110071	0.072535835	0.090416252	0.070985716	0.089908219	0.112900883	0.082890503	0.079043242	0.099082961	0.120893773	6	6	6	6	6	6	6	6	5	5
ZM009-02	A	09/04/2021	lat:tot	0.234203669	0.256535778	0.292390405	0.359986796	0.364145283	0.397867869	0.394570198	0.345661968	0.314913698	0.337766085	0.047035783	0.093082067	0.078180695	0.080063554	0.081807484	0.102361362	0.097098347	0.132211833	0.13819266	0.110554972	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	16/04/2021	lat:tot	0.209730131	0.231175677	0.255264988	0.328970287	0.331917191	0.345487819	0.342999188	0.31404142	0.296632347	0.286575199	0.015951353	0.058164271	0.073841647	0.032868757	0.039248987	0.038973414	0.055444322	0.063520899	0.065406617	0.050667447	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	26/04/2021	lat:tot	0.223415683	0.234444466	0.275318828	0.340167038	0.337857005	0.329252428	0.332610117	0.307870352	0.295884674	0.29040755	0.031787485	0.05220881	0.069497462	0.026312589	0.034563928	0.03354801	0.030026695	0.059068176	0.046144953	0.035927284	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	19/03/2021	lat:tot	0.386219127	0.285962269	0.351792265	0.189399515	NA	NA	NA	NA	0.250756068	NA	0.140221731	0.10038611	0.055197376	NA	NA	NA	NA	NA	NA	NA	3	4	4	1	0	0	0	0	1	0
ZM009-02	B	26/03/2021	lat:tot	0.34759771	0.355865457	0.399122112	0.460500868	0.471696679	0.377435396	0.449797889	0.465278117	0.190244374	0.826222416	0.080453862	0.099889055	0.048269082	0.075726306	0.081568419	0.107325488	0.16013879	0.278129071	0.054722019	0.061905609	6	6	6	6	6	4	6	3	6	6
