datetime	INPUT1
19/03/2021 00:59	0.00430657
19/03/2021 01:04	0.003088889
19/03/2021 01:09	0.003192561
19/03/2021 01:14	0.003455968
19/03/2021 01:19	0.003495684
19/03/2021 01:24	0.004056191
19/03/2021 01:29	0.004247579
19/03/2021 01:34	0.003083478
19/03/2021 01:39	0.003096899
19/03/2021 01:44	0.003152158
19/03/2021 01:49	0.003416989
19/03/2021 01:54	0.00377144
19/03/2021 01:59	0.003842268
19/03/2021 02:04	0.003396935
19/03/2021 02:09	0.003755129
19/03/2021 02:14	0.003256949
19/03/2021 02:19	0.003854584
19/03/2021 02:24	0.003760892
19/03/2021 02:29	0.003589474
19/03/2021 02:34	0.003492726
19/03/2021 02:39	0.003253074
19/03/2021 02:44	0.002937566
19/03/2021 02:49	0.003101873
19/03/2021 02:54	0.003608689
19/03/2021 02:59	0.003635262
19/03/2021 03:04	0.003435482
19/03/2021 03:09	0.003007509
19/03/2021 03:14	0.002865973
19/03/2021 03:19	0.003093486
19/03/2021 03:24	0.003403975
19/03/2021 03:29	0.003771108
19/03/2021 03:34	0.003697654
19/03/2021 03:39	0.003415566
19/03/2021 03:44	0.003091765
19/03/2021 03:49	0.003225321
19/03/2021 03:54	0.004282856
19/03/2021 03:59	0.356830216
19/03/2021 04:04	17.60971167
19/03/2021 04:09	55.63124667
19/03/2021 04:14	93.60260667
19/03/2021 04:19	96.48281667
19/03/2021 04:24	96.40334783
19/03/2021 04:29	96.25287
19/03/2021 04:34	96.31027
19/03/2021 04:39	96.29055333
19/03/2021 04:44	96.21669333
19/03/2021 04:49	96.17291
19/03/2021 04:54	96.1426
19/03/2021 04:59	96.10250333
19/03/2021 05:04	126.3773767
19/03/2021 05:09	289.1278667
19/03/2021 05:14	411.0321333
19/03/2021 05:19	452.4892333
19/03/2021 05:24	451.3364333
19/03/2021 05:29	450.5902667
19/03/2021 05:34	449.9344667
19/03/2021 05:39	449.3754333
19/03/2021 05:44	448.8766
19/03/2021 05:49	448.6019333
19/03/2021 05:54	448.2430333
19/03/2021 05:59	448.0081333
19/03/2021 06:04	447.7592
19/03/2021 06:09	446.908
