plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-01	D	26/03/2021	vert:tot	0.616005098	0.753273679	0.68213373	0.626211093	0.564326824	0.575620881	0.625418125	0.596426488	0.764496986	0.270484516	0.102203105	0.105603614	0.098743652	0.099623649	0.12385693	0.148134094	0.160935608	0.184320987	0.063312135	0.07909388	6	6	6	6	6	6	6	5	6	6
ZM009-01	D	02/04/2021	vert:tot	0.624079328	0.729792432	0.71711925	0.666920595	0.682663058	0.707088465	0.665086084	0.677849154	0.697452899	0.526239989	0.104874033	0.070997866	0.065059986	0.053936952	0.092066192	0.082118563	0.10274385	0.083006929	0.119241769	0.115601402	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	09/04/2021	vert:tot	0.549131648	0.656318521	0.658312623	0.593622155	0.580550784	0.578835667	0.57566761	0.563875888	0.564181528	0.510687782	0.09324946	0.118656404	0.077328754	0.064415776	0.063375876	0.068245342	0.075041031	0.111211679	0.140537563	0.178857703	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	16/04/2021	vert:tot	0.574384879	0.758955013	0.74762271	0.670727437	0.657667471	0.677405021	0.654519231	0.686577276	0.70890268	0.714390226	0.068924231	0.037587586	0.044493338	0.058998919	0.050818701	0.042754219	0.043286584	0.054413313	0.055449952	0.07780866	6	6	6	6	6	6	6	6	6	6
ZM009-01	D	26/04/2021	vert:tot	0.517411048	0.738335678	0.749453048	0.666872904	0.65391923	0.666621414	0.634022297	0.654229025	0.695241448	0.704730705	0.04085322	0.04750367	0.045325293	0.074802397	0.035080373	0.06464948	0.053609901	0.075123278	0.04627034	0.045786818	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	19/03/2021	vert:tot	0.718098913	0.689821786	0.608310916	0.62876437	0.59260292	0.55339469	0.511470075	0.538189773	0.685139663	0.513747916	0.088942358	0.100027572	0.138803379	0.09772019	0.08814517	0.013740395	NA	NA	0.330242704	0.08389999	6	6	3	3	3	2	1	1	2	2
ZM009-02	A	26/03/2021	vert:tot	0.679681046	0.70458179	0.691402751	0.581288165	0.527565331	0.577727718	0.538489829	0.398032708	0.682674985	0.213961239	0.047919714	0.101195717	0.078489322	0.078985514	0.027652919	0.108208996	0.065187125	0.065773736	0.181820215	0.103071268	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	02/04/2021	vert:tot	0.790278623	0.77303704	0.730996915	0.704213359	0.682423918	0.673424152	0.707663741	0.691000638	0.764727628	0.54982555	0.017110054	0.072535812	0.090416232	0.070985682	0.089908195	0.11290075	0.082890011	0.079039032	0.099081858	0.1208935	6	6	6	6	6	6	6	6	5	5
ZM009-02	A	09/04/2021	vert:tot	0.765796111	0.743463986	0.707609364	0.640012798	0.635854336	0.60213183	0.605429452	0.654337637	0.685085793	0.662233365	0.047035762	0.093082079	0.078180679	0.080063613	0.081807678	0.102361603	0.097098601	0.132212009	0.138192883	0.110555158	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	16/04/2021	vert:tot	0.790269596	0.768824092	0.74473483	0.671029491	0.668082644	0.654512055	0.657000691	0.685958463	0.703367524	0.713424708	0.015951328	0.058164264	0.073841623	0.03286871	0.039248947	0.038973456	0.055444364	0.063520918	0.065406661	0.050667455	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	26/04/2021	vert:tot	0.776584023	0.765555312	0.724681019	0.659832813	0.662142875	0.670747484	0.667389797	0.692129563	0.70411524	0.709592378	0.031787493	0.052208806	0.069497454	0.026312577	0.034563924	0.03354802	0.030026707	0.059068186	0.046144951	0.035927294	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	19/03/2021	vert:tot	0.61377	0.714031858	0.648196556	0.810590671	NA	NA	NA	NA	0.749228735	NA	0.14022258	0.100385949	0.055199365	NA	NA	NA	NA	NA	NA	NA	3	4	4	1	0	0	0	0	1	0
ZM009-02	B	26/03/2021	vert:tot	0.652398818	0.644133485	0.600876637	0.539497305	0.528300112	0.62255936	0.550191979	0.534713471	0.809747477	0.173776558	0.080454817	0.099890094	0.048268769	0.075726785	0.081567763	0.107327327	0.160143784	0.278133854	0.054724009	0.061906059	6	6	6	6	6	4	6	3	6	6
ZM009-02	B	02/04/2021	vert:tot	0.704574103	0.781663068	0.718445309	0.708705077	0.681293246	0.684132668	0.707259728	0.634469888	0.730146702	0.548174421	0.058664553	0.055408258	0.043568278	0.089739464	0.103873894	0.150938304	0.124542235	0.135472395	0.112612669	0.129870176	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	09/04/2021	vert:tot	0.641246684	0.744044624	0.704143344	0.674819885	0.640838291	0.618204996	0.625404067	0.597096725	0.629935155	0.567920453	0.065269006	0.064067323	0.088672019	0.084973647	0.104918632	0.092153671	0.095453769	0.080524494	0.070933098	0.10645883	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	16/04/2021	vert:tot	0.680063358	0.76594846	0.730552717	0.701647266	0.681835552	0.675032521	0.680408266	0.682075585	0.712820441	0.682057243	0.047711644	0.055190265	0.034325888	0.025933788	0.04853883	0.054513755	0.062706391	0.062007433	0.058573298	0.067946598	6	6	6	6	6	6	6	6	6	6
