plant_id	face	date	type	mean01	mean02	mean03	mean04	mean05	mean06	mean07	mean08	mean09	mean10	sd01	sd02	sd03	sd04	sd05	sd06	sd07	sd08	sd09	sd10	n01	n02	n03	n04	n05	n06	n07	n08	n09	n10
ZM009-02	A	09/04/2021	lat:vert	0.310200053	0.364067394	0.427160843	0.581060825	0.595120733	0.706845734	0.688566919	0.58768556	0.517552933	0.552130801	0.085474262	0.183941878	0.152871066	0.178734658	0.211166004	0.331844299	0.281625298	0.354497818	0.352161787	0.306990993	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	16/04/2021	lat:vert	0.265810558	0.306852553	0.353752044	0.493182229	0.501242627	0.532573347	0.531863007	0.46857798	0.433439161	0.407905465	0.024974068	0.097963716	0.133631531	0.07194914	0.090439438	0.095284435	0.139739731	0.139808484	0.151494905	0.105266788	6	6	6	6	6	6	6	6	6	6
ZM009-02	A	26/04/2021	lat:vert	0.289476066	0.311544541	0.390335416	0.517536087	0.513684247	0.493868837	0.500882638	0.454081079	0.425529515	0.412405188	0.052385556	0.093478262	0.130798621	0.060226353	0.079127835	0.071938896	0.06692277	0.130817922	0.097427335	0.074637314	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	19/03/2021	lat:vert	0.686528781	0.418973966	0.551871885	0.233653346	NA	NA	NA	NA	0.33467881	NA	0.37931078	0.175379993	0.143423614	NA	NA	NA	NA	NA	NA	NA	3	4	4	1	0	0	0	0	1	0
ZM009-02	B	26/03/2021	lat:vert	0.550256282	0.586777882	0.673217576	0.880577328	0.927535416	0.642189137	0.981949424	1.517730213	0.239635992	5.474221143	0.170721097	0.266920464	0.134365744	0.231741675	0.272974449	0.278755054	0.703213982	1.86850922	0.08339603	2.485016304	6	6	6	6	6	4	6	3	6	6
ZM009-02	B	02/04/2021	lat:vert	0.428001313	0.284508474	0.396040901	0.429998174	0.503220968	0.532628481	0.449458625	0.660025514	0.398552444	0.913431726	0.125847788	0.087858163	0.082180156	0.180493765	0.28074958	0.391734474	0.245610955	0.478140803	0.228215207	0.46079651	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	09/04/2021	lat:vert	0.573949255	0.352952158	0.439770783	0.503116323	0.603488279	0.651512947	0.631990091	0.700196248	0.603548419	0.812485202	0.171883033	0.125081273	0.187907412	0.204356404	0.318938417	0.275937526	0.262577047	0.226754027	0.172697123	0.337347453	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	16/04/2021	lat:vert	0.476729649	0.311385785	0.371422088	0.426895753	0.47274643	0.489609871	0.480140335	0.476499946	0.411229058	0.478214677	0.107734526	0.097102304	0.066316712	0.054529001	0.103220829	0.12239108	0.136300342	0.137266274	0.122512427	0.14554221	6	6	6	6	6	6	6	6	6	6
ZM009-02	B	26/04/2021	lat:vert	0.617900834	0.331689482	0.367174717	0.41614637	0.466967552	0.491879021	0.445668081	0.467932768	0.393842115	0.440906412	0.045830705	0.107328648	0.0461985	0.013448209	0.095425898	0.095512636	0.116948007	0.115352673	0.087293239	0.066519512	6	6	6	6	6	6	6	6	6	6
ZM009-02	C	19/03/2021	lat:vert	0.496439911	0.199114065	0.356839993	0.361849344	0.388000212	NA	NA	NA	0.11198679	NA	0.431456509	NA	NA	NA	NA	NA	NA	NA	0.034153454	NA	2	1	1	1	1	0	0	0	2	0
ZM009-02	C	26/03/2021	lat:vert	0.469709236	0.330451869	0.313491432	0.53638911	0.56654291	0.563845492	0.96808534	0.574125656	0.613837667	4.300189111	0.30366304	0.239680227	0.145527469	0.284841662	0.278635964	0.26860599	0.310373704	0.074973467	0.691404531	1.662959432	3	6	6	6	6	5	4	4	6	6
ZM009-02	C	02/04/2021	lat:vert	0.414925014	0.257164165	0.259126478	0.31786798	0.373490902	0.375104276	0.521975616	0.445789717	0.450094221	1.261979902	0.129290415	0.044170177	0.060431657	0.110745314	0.161759511	0.215421231	0.224204023	0.19315986	0.415179825	0.961468058	6	6	6	6	6	6	6	6	6	6
ZM009-02	C	09/04/2021	lat:vert	0.563366403	0.331231101	0.321703581	0.403577009	0.4167183	0.510619008	0.653811375	0.635958901	0.63726627	0.85577023	0.140769928	0.128925198	0.10445975	0.134508629	0.106508287	0.076498933	0.132991113	0.218291652	0.254685047	0.306856299	6	6	6	6	6	6	6	6	6	6
ZM009-02	C	16/04/2021	lat:vert	0.519312101	0.267102109	0.295309816	0.338164992	0.366351885	0.423631023	0.533607808	0.498882557	0.453144556	0.490130349	0.162694577	0.042708037	0.067623674	0.116354689	0.07515277	0.093890872	0.13490343	0.100273872	0.063033888	0.115815212	6	6	6	6	6	6	6	6	6	6
ZM009-02	C	26/04/2021	lat:vert	0.907424003	0.287092711	0.300593879	0.358538326	0.37970524	0.411453649	0.504878074	0.441078017	0.449206564	0.499193085	0.147463896	0.056123502	0.046736978	0.110841356	0.067837977	0.065728577	0.087992792	0.072070231	0.052129207	0.100732279	6	6	6	6	6	6	6	6	6	6
ZM009-02	D	19/03/2021	lat:vert	0.693773014	0.489397812	0.502491032	0.302622896	NA	NA	NA	NA	0.499988739	1.06890253	0.272029855	0.235444633	0.3320049	0.062792074	NA	NA	NA	NA	NA	0.221698308	4	5	4	3	0	0	0	0	1	2
ZM009-02	D	26/03/2021	lat:vert	0.789640017	0.449688275	0.463901759	0.603915943	0.785459661	1.188492849	1.040731572	1.105165002	0.442000147	3.902273792	0.446186259	0.16207203	0.260151122	0.294692649	0.339020825	0.378597386	0.296606602	0.204604289	0.288824708	1.330976781	6	6	6	6	6	6	4	3	6	6
ZM009-02	D	02/04/2021	lat:vert	0.676150429	0.293923867	0.262979926	0.342776023	0.483126179	0.376737226	0.348291151	0.362950643	0.357745885	2.656882765	0.388811105	0.094701001	0.093144955	0.120395693	0.197597347	0.115204627	0.123754492	0.191115461	0.247378684	3.468625708	6	6	6	6	6	6	6	6	6	6
ZM009-02	D	09/04/2021	lat:vert	0.786503204	0.362486204	0.341858811	0.452577603	0.547097426	0.575589323	0.535338845	0.504984875	0.446283798	0.525399901	0.307996152	0.125551109	0.095404877	0.072391461	0.164311779	0.148459108	0.153227599	0.197711886	0.038455635	0.188625308	6	6	6	6	6	6	6	6	6	6
ZM009-02	D	16/04/2021	lat:vert	0.890772367	0.319663	0.292319623	0.389589161	0.435291495	0.488973701	0.478621318	0.407496758	0.390542916	0.383789474	0.389315389	0.075137195	0.045240896	0.071322653	0.119070787	0.07026549	0.097442997	0.072765208	0.079794066	0.06667624	6	6	6	6	6	6	6	6	6	6
ZM009-02	D	26/04/2021	lat:vert	0.912537857	0.317044381	0.30708544	0.414482967	0.455093927	0.452133399	0.461171558	0.413943766	0.392548974	0.392090933	0.27083518	0.078936266	0.048991772	0.070766937	0.1071295	0.05971345	0.049671931	0.06837965	0.059496334	0.08293461	6	6	6	6	6	6	6	6	6	6
ZM009-03	A	19/03/2021	lat:vert	0.274236424	0.55501523	0.553162533	0.597066746	0.872760992	0.713853778	NA	NA	0.247149745	0.557603503	0.061961265	0.19664221	0.328335516	0.251804503	0.171622841	NA	NA	NA	0.089014394	NA	5	5	5	4	3	1	0	0	2	1
ZM009-03	A	26/03/2021	lat:vert	0.653541472	0.711534143	0.547079993	0.567110911	0.677046388	0.658997151	0.910391885	1.014091382	0.686691062	4.527004784	0.24204527	0.20176673	0.119605698	0.183225027	0.142760068	0.255624621	0.42897073	0.428975836	0.407869444	2.824668764	6	6	6	6	6	5	6	6	6	6
ZM009-03	A	02/04/2021	lat:vert	0.465638021	0.494899504	0.504140898	0.502325375	0.580510729	0.592456924	0.685845654	0.562343367	0.425563874	1.050682876	0.159880897	0.092216908	0.170552871	0.16354865	0.190017207	0.255743397	0.349844457	0.273906006	0.35347548	0.391217408	6	6	6	6	6	6	6	6	6	6
ZM009-03	A	09/04/2021	lat:vert	0.450948497	0.459795748	0.497654656	0.518646645	0.641568179	0.706390748	0.745454095	0.717204067	0.699237559	0.863700562	0.240883333	0.179080427	0.131401923	0.189465288	0.269819526	0.17953194	0.243754144	0.449623108	0.402848635	0.714377992	6	6	6	6	6	6	6	6	6	6
ZM009-03	A	16/04/2021	lat:vert	0.41535866	0.351599376	0.391042674	0.40129932	0.499568779	0.508505297	0.56083079	0.479124787	0.498509213	0.477045686	0.214313588	0.086447097	0.092843789	0.12808925	0.120694356	0.081801373	0.077507646	0.074763366	0.060186927	0.130672902	6	6	6	6	6	6	6	6	6	6
ZM009-03	A	26/04/2021	lat:vert	0.482175685	0.330800082	0.391484468	0.387863041	0.446948455	0.486651763	0.521860321	0.440274355	0.459139839	0.424441051	0.261936989	0.063273572	0.064752148	0.130374998	0.141497297	0.103085827	0.067109289	0.075842257	0.077085695	0.114180861	6	6	6	6	6	6	6	6	6	6
