image_id	face	date	type	decile1	decile2	decile3	decile4	decile5	decile6	decile7	decile8	decile9	decile10
ZM009-01713	B	09/04/2021	lateral	3043	2018	6273	3607	4795	1207	1323	1064	799	1083
ZM009-01713	B	16/04/2021	lateral	3004	4662	10083	4137	6200	1898	2709	2720	2327	16861
ZM009-01713	B	26/04/2021	lateral	3417	5451	15624	7802	13734	14049	18405	21853	21872	37220
ZM009-01713	C	19/03/2021	lateral	25	151	526	40	4	24	8	15	27	313
ZM009-01713	C	26/03/2021	lateral	91	394	580	1404	407	435	567	478	576	14800
ZM009-01713	C	02/04/2021	lateral	389	984	1546	3920	1275	1664	1862	1142	336	6548
ZM009-01713	C	09/04/2021	lateral	1151	908	1608	3659	2713	3107	3565	3938	4857	10747
ZM009-01713	C	16/04/2021	lateral	1159	794	1716	4186	2890	3571	4362	5246	10334	22200
ZM009-01713	C	26/04/2021	lateral	1940	2440	5627	6598	8941	9951	10993	10144	14926	34389
ZM009-01713	D	19/03/2021	lateral	328	797	1360	448	324	304	27	0	153	72
ZM009-01713	D	26/03/2021	lateral	1038	2148	4921	3329	2421	2095	1738	232	395	12067
ZM009-01713	D	02/04/2021	lateral	1013	4373	9448	10282	7224	5739	5520	872	1174	1714
ZM009-01713	D	09/04/2021	lateral	1485	4829	9429	12042	9796	9250	11990	7373	8461	6593
ZM009-01713	D	16/04/2021	lateral	1619	5038	9971	12337	10952	10147	13549	10698	11879	24482
ZM009-01713	D	26/04/2021	lateral	1547	4164	9518	12596	13261	11401	15495	12928	11621	31478
ZM009-01714	A	19/03/2021	lateral	2801	1608	2362	1424	3920	6727	947	371	223	2434
ZM009-01714	A	26/03/2021	lateral	3811	2106	1473	961	659	487	178	163	337	2831
ZM009-01714	A	02/04/2021	lateral	11187	26712	18292	15429	16341	8814	9127	10272	5301	2571
ZM009-01714	A	09/04/2021	lateral	11809	29653	22239	19248	15524	14672	14467	17521	21662	18189
ZM009-01714	A	16/04/2021	lateral	6466	18652	17972	20587	24439	21576	27028	29560	36101	40272
ZM009-01714	A	26/04/2021	lateral	7642	14358	16243	21418	20090	21850	21324	25136	35055	39885
ZM009-01714	B	19/03/2021	lateral	299	272	235	103	94	54	0	8	33	15
ZM009-01714	B	26/03/2021	lateral	108	1757	1161	542	397	956	152	227	216	2363
ZM009-01714	B	02/04/2021	lateral	1054	13706	13990	8848	9547	3140	3499	2398	5796	9910
ZM009-01714	B	09/04/2021	lateral	3910	15967	17505	13312	10101	9525	12321	8166	13121	22792
ZM009-01714	B	16/04/2021	lateral	2217	13169	14705	17543	30022	21069	29221	24791	29623	40417
ZM009-01714	B	26/04/2021	lateral	4111	8360	13196	16268	24554	22770	26442	19907	27140	39929
ZM009-01714	C	19/03/2021	lateral	38	37	13	127	215	207	50	8	81	39
ZM009-01714	C	26/03/2021	lateral	106	603	888	524	647	421	66	132	91	3695
ZM009-01714	C	02/04/2021	lateral	648	4574	9002	8701	4328	1439	1440	790	184	4679
ZM009-01714	C	09/04/2021	lateral	3112	8706	13204	11542	9417	6488	8215	8331	6549	20517
ZM009-01714	C	16/04/2021	lateral	2285	4963	9403	12669	18751	29484	31324	20829	20956	38108
ZM009-01714	C	26/04/2021	lateral	3220	4415	8127	8214	12932	20047	24345	16873	17289	38203
ZM009-01714	D	19/03/2021	lateral	11	42	341	842	61	13	8	3	165	249
ZM009-01714	D	26/03/2021	lateral	341	1250	1399	1603	1991	1390	603	742	516	2159
ZM009-01714	D	02/04/2021	lateral	1658	9326	14904	13176	12778	12865	9254	7059	2386	9592
ZM009-01714	D	09/04/2021	lateral	4449	13262	21279	17967	14960	13949	13552	17124	19978	32334
ZM009-01714	D	16/04/2021	lateral	1805	6717	13800	24503	22945	30589	22816	33041	30178	38072
ZM009-01714	D	26/04/2021	lateral	2603	6270	12610	20393	19465	23009	16904	28873	29589	42843
ZM009-01715	A	19/03/2021	lateral	1148	99	668	2972	4730	4428	3073	962	178	64
ZM009-01715	A	26/03/2021	lateral	7944	2391	2574	3237	3253	3246	1667	1265	516	18106
ZM009-01715	A	02/04/2021	lateral	11428	9690	8990	10593	11443	14284	7897	3129	1246	3038
ZM009-01715	A	09/04/2021	lateral	7128	8605	7904	13127	14357	19812	13582	15895	18656	21191
ZM009-01715	A	16/04/2021	lateral	7503	7905	7443	11709	15795	22179	15940	22473	22330	32624
ZM009-01715	A	26/04/2021	lateral	5569	9283	9463	12108	13093	19476	13058	20484	23862	37007
ZM009-01715	B	19/03/2021	lateral	120	15	652	256	150	130	59	16	58	79
ZM009-01715	B	26/03/2021	lateral	1679	3845	6850	7439	5706	2370	549	546	1154	13147
ZM009-01715	B	02/04/2021	lateral	2511	5954	12016	13048	12476	8350	5816	4025	5272	10668
ZM009-01715	B	09/04/2021	lateral	3939	5998	12330	18463	16705	12133	10933	9470	15953	19780
ZM009-01715	B	16/04/2021	lateral	3001	5031	12750	18658	20503	13335	12773	9991	16854	31139
ZM009-01715	B	26/04/2021	lateral	3025	5148	10455	16231	17024	13731	10465	10102	14998	32213
ZM009-01715	C	19/03/2021	lateral	13	97	55	277	570	455	254	68	84	56
ZM009-01715	C	26/03/2021	lateral	336	1481	1627	2290	3396	3096	1632	223	204	13656
ZM009-01715	C	02/04/2021	lateral	816	4031	6255	10471	11245	13572	10519	5225	884	9260
ZM009-01715	C	09/04/2021	lateral	2282	4014	6932	12551	16545	15335	16502	19891	21432	18076
ZM009-01715	C	16/04/2021	lateral	1625	4255	10782	14984	21236	18383	19499	19827	26387	30990
ZM009-01715	C	26/04/2021	lateral	2738	3539	5267	11579	14643	15394	19249	20362	23102	33794
ZM009-01715	D	19/03/2021	lateral	56	559	1086	1854	4361	2524	534	135	36	143
ZM009-01715	D	26/03/2021	lateral	1516	2757	2730	4426	2517	540	590	682	304	11328
ZM009-01715	D	02/04/2021	lateral	1378	5606	7138	9179	4466	5021	3161	1641	1884	3731
