plotId	timePoint	S_Height_cm	yPred	sd_yPred	lwr	upr	outlier
1	2020-02-14T00:00:00Z	334.5375	472.7630420534309	143.40239808055068	-244.24894834932252	1189.7750324561844	0
1	2020-02-15T00:00:00Z	64.68	430.2772714660081	125.74582741097231	-198.45186558885348	1059.0064085208696	0
1	2020-02-16T00:00:00Z	1796.2725	391.49980183517386	111.04701250738232	-163.7352607017378	946.7348643720854	1
1	2020-02-17T00:00:00Z	70.3725	356.34803945875535	99.10739522163816	-139.18893664943545	851.8850155669461	0
1	2020-02-18T00:00:00Z	75.4875	324.7393906345794	89.73493240366165	-123.93527138372883	773.4140526528877	0
1	2020-02-19T00:00:00Z	82.5	296.59126166047275	82.739636189112	-117.10691928508726	710.2894426060327	0
1	2020-02-20T00:00:00Z	101.97	271.8210588342623	77.92513653036445	-117.80462381755996	661.4467414860846	0
1	2020-02-21T00:00:00Z	109.065	250.34618845377491	75.0758879564251	-125.03325132835062	625.7256282359004	0
1	2020-02-22T00:00:00Z	127.4625	232.08405681683737	73.94175264648892	-137.62470641560722	601.792820049282	0
1	2020-02-24T00:00:00Z	157.6575	204.86763496491918	75.5729249712962	-172.9969898915618	582.7322598214001	0
1	2020-02-25T00:00:00Z	171.105	195.74815734559218	77.58862181771494	-192.19495174298254	583.6912664341669	0
1	2020-02-26T00:00:00Z	194.205	189.61672273389672	79.8475604721459	-209.6210796268328	588.8545250946263	0
1	2020-02-28T00:00:00Z	220.11	192.80642657652055	84.23318292733099	-228.35948806013437	613.9723412131755	0
1	2020-02-29T00:00:00Z	233.64	201.66286320772636	86.20955284014074	-229.38490099297738	632.7106274084301	0
1	2020-03-02T00:00:00Z	256.4925	230.20560669385142	89.50895811771461	-217.33918389472163	677.7503972824245	0
1	2020-03-03T00:00:00Z	270.6	248.41459387034098	90.812965737046	-205.65023481488902	702.479422555571	0
1	2020-03-04T00:00:00Z	285.2025	268.2637782168288	91.90679923827834	-191.27021797456285	727.7977744082204	0
1	2020-03-06T00:00:00Z	309.045	309.92809906293974	93.61816592066991	-158.16273054040983	778.0189286662893	0
1	2020-03-07T00:00:00Z	327.69	330.2659158841331	94.34278473096056	-141.44800777066968	801.979839538936	0
1	2020-03-08T00:00:00Z	354.0075	349.28929051846535	95.06774596951799	-126.0494393291246	824.6280203660554	0
1	2020-03-11T00:00:00Z	392.6175	403.51028089640835	97.84490044765951	-85.71422134188919	892.7347831347058	0
1	2020-03-13T00:00:00Z	442.4475	442.7602794630964	99.48319176180965	-54.655679345951796	940.1762382721447	0
1	2020-03-14T00:00:00Z	464.0625	462.81688025714277	99.89938943384503	-36.680066912082395	962.3138274263679	0
1	2020-03-18T00:00:00Z	529.8975	541.3706156094518	96.86653219291998	57.03795464485188	1025.7032765740516	0
1	2020-03-20T00:00:00Z	570.735	576.9138758541455	91.82722456679397	117.77775302017568	1036.0499986881155	0
1	2020-03-22T00:00:00Z	628.0725	609.5036432317336	85.27898032546763	183.10874160439545	1035.8985448590718	0
1	2020-03-24T00:00:00Z	685.575	640.9470991233666	80.89746633015872	236.45976747257293	1045.4344307741603	0
1	2020-03-25T00:00:00Z	688.38	656.1867318631416	80.59689542247395	253.20225475077189	1059.1712089755115	0
1	2020-03-26T00:00:00Z	696.7125	671.0712254902014	82.05942685225726	260.7740912289151	1081.3683597514878	0
1	2020-03-27T00:00:00Z	702.24	685.5752732730306	85.60985688378246	257.5259888541183	1113.6245576919428	0
1	2020-03-28T00:00:00Z	705.1275	699.6735684801135	91.5372409228922	241.98736386565258	1157.3597730945744	0
1	2020-03-29T00:00:00Z	710.985	713.3408043799348	100.10563248993604	212.81264193025453	1213.868966829615	0
1	2020-03-30T00:00:00Z	716.0175	726.5516742409787	111.56524525553283	168.72544796331465	1284.377900518643	0
1	2020-03-31T00:00:00Z	721.9575	739.2808713317298	126.16147554958063	108.47349358382667	1370.088249079633	0
1	2020-04-01T00:00:00Z	721.4625	751.5030889206726	144.14093854733295	30.798396184007743	1472.2077816573374	0
2	2020-02-14T00:00:00Z	67.65	368.0948745054392	132.93716672593132	-296.5909591242174	1032.7807081350957	0
2	2020-02-15T00:00:00Z	82.4175	355.4362034845485	116.18171612658601	-225.4723771483815	936.3447841174785	0
2	2020-02-16T00:00:00Z	1655.28	344.6823147877692	102.27871386500931	-166.71125453727734	856.0758841128157	1
2	2020-02-17T00:00:00Z	125.3175	335.7847862430005	91.03752729265734	-119.40285022028621	790.9724227062873	0
2	2020-02-18T00:00:00Z	150.315	328.6951956781416	82.27393154687886	-82.67446205625271	740.064853412536	0
2	2020-02-19T00:00:00Z	164.4225	323.3651209210918	75.80541139568376	-55.66193605732707	702.3921778995107	0
2	2020-02-20T00:00:00Z	196.7625	319.74613979975027	71.44232061265912	-37.4654632635453	676.9577428630458	0
2	2020-02-21T00:00:00Z	206.415	317.78983014201634	68.97464381485703	-27.083388932268804	662.6630492163015	0
2	2020-02-22T00:00:00Z	219.615	317.44776977578914	68.15645972324391	-23.334528840430437	658.2300683920087	0
2	2020-02-23T00:00:00Z	243.4575	318.6715365289681	68.69321642534828	-24.794545597773322	662.1376186557095	0
2	2020-02-24T00:00:00Z	299.0625	321.41270822945233	70.23807392682333	-29.777661404664343	672.6030778635691	0
2	2020-02-25T00:00:00Z	323.1	325.62286270514113	72.40046692404708	-36.37947191509426	687.6251973253766	0
2	2020-02-26T00:00:00Z	344.685	331.32214519849794	74.76753563260162	-42.51553296451016	705.159823361506	0
